id,k,d,a,gpm,xpm,win
1815106122,6,10,9,313,375,0
1815106122,6,10,9,313,375,0
1815107780,6,4,19,456,484,1
1815107780,6,4,19,456,484,1
1815107904,2,12,7,272,352,0
1815107904,2,12,7,272,352,0
1815108872,3,11,5,168,124,0
1815108872,3,11,5,168,124,0
1815109421,12,4,11,430,399,1
1815109421,12,4,11,430,399,1
1815109854,2,5,10,285,340,0
1815109854,2,5,10,285,340,0
1815111093,1,0,3,381,383,1
1815111093,1,0,3,381,383,1
1815112562,1,18,7,346,407,0
1815112562,1,18,7,346,407,0
1815113993,12,2,8,444,438,1
1815113993,12,2,8,444,438,1
1815114812,4,12,18,343,415,0
1815114812,4,12,18,343,415,0
1815117894,7,10,19,360,436,1
1815117894,7,10,19,360,436,1
1815119466,1,9,11,299,317,0
1815119466,1,9,11,299,317,0
1815119958,5,9,17,334,313,1
1815119958,5,9,17,334,313,1
1815120684,8,5,6,337,367,0
1815120684,8,5,6,337,367,0
1815121341,6,11,35,381,451,1
1815121341,6,11,35,381,451,1
1815121376,6,7,22,347,468,1
1815121376,6,7,22,347,468,1
1815122976,2,13,15,358,495,0
1815122976,2,13,15,358,495,0
1815123077,11,5,13,346,453,0
1815123077,11,5,13,346,453,0
1815099451,0,4,8,305,259,1
1815099451,0,4,8,305,259,1
1815099731,8,5,13,339,450,0
1815099731,8,5,13,339,450,0
1815100023,4,12,7,236,236,0
1815100023,4,12,7,236,236,0
1815105263,16,9,30,473,542,1
1815105263,16,9,30,473,542,1
1815106791,15,9,23,533,475,0
1815106791,15,9,23,533,475,0
1815107392,3,7,19,393,493,1
1815107392,3,7,19,393,493,1
1815108573,7,4,15,510,642,1
1815108573,7,4,15,510,642,1
1815109153,1,10,6,308,364,0
1815109153,1,10,6,308,364,0
1815109288,0,14,4,175,177,0
1815109288,0,14,4,175,177,0
1815110104,9,9,8,353,419,0
1815110104,9,9,8,353,419,0
1815110763,10,6,23,490,651,1
1815110763,10,6,23,490,651,1
1815111253,2,9,10,281,270,0
1815111253,2,9,10,281,270,0
1815111257,2,6,15,403,504,1
1815111257,2,6,15,403,504,1
1815112516,3,7,14,382,372,1
1815112516,3,7,14,382,372,1
1815112654,15,8,18,482,541,0
1815112654,15,8,18,482,541,0
1815113127,0,7,21,358,371,1
1815113127,0,7,21,358,371,1
1815114043,11,10,20,380,478,1
1815114043,11,10,20,380,478,1
1815114387,2,10,10,292,341,0
1815114387,2,10,10,292,341,0
1815114596,6,10,20,380,526,0
1815114596,6,10,20,380,526,0
1815116050,2,10,16,353,352,1
1815116050,2,10,16,353,352,1
1815116775,12,5,14,347,382,0
1815116775,12,5,14,347,382,0
1815116884,4,8,5,299,389,0
1815116884,4,8,5,299,389,0
1815117269,3,1,8,352,293,1
1815117269,3,1,8,352,293,1
1815117497,6,5,10,376,505,0
1815117497,6,5,10,376,505,0
1815117791,2,9,20,322,419,1
1815117791,2,9,20,322,419,1
1815118824,8,7,18,418,469,1
1815118824,8,7,18,418,469,1
1815118882,1,18,12,233,259,0
1815118882,1,18,12,233,259,0
1815119944,14,7,20,461,581,1
1815119944,14,7,20,461,581,1
1815120698,3,10,15,280,320,0
1815120698,3,10,15,280,320,0
1815120942,6,8,8,448,627,0
1815120942,6,8,8,448,627,0
1815121539,4,10,13,356,404,1
1815121539,4,10,13,356,404,1
1815122575,11,10,12,367,536,0
1815122575,11,10,12,367,536,0
1815098717,5,5,23,408,480,1
1815098717,5,5,23,408,480,1
1815098746,5,7,28,441,557,1
1815098746,5,7,28,441,557,1
1815098762,2,12,13,272,317,0
1815098762,2,12,13,272,317,0
1815098822,6,9,10,343,414,0
1815098822,6,9,10,343,414,0
1815098826,4,3,8,336,337,1
1815098826,4,3,8,336,337,1
1815098941,10,13,19,355,477,0
1815098941,10,13,19,355,477,0
1815099020,3,10,14,302,396,0
1815099020,3,10,14,302,396,0
1815099060,5,14,11,338,470,0
1815099060,5,14,11,338,470,0
1815099122,17,5,24,534,737,1
1815099122,17,5,24,534,737,1
1815099234,7,7,31,404,462,1
1815099234,7,7,31,404,462,1
1815099257,4,10,15,372,397,1
1815099257,4,10,15,372,397,1
1815099263,7,9,12,333,356,0
1815099263,7,9,12,333,356,0
1815099541,5,3,8,381,388,1
1815099541,5,3,8,381,388,1
1815099986,5,14,25,395,546,1
1815099986,5,14,25,395,546,1
1815100158,19,3,10,611,551,1
1815100158,19,3,10,611,551,1
1815100177,4,9,12,331,483,0
1815100177,4,9,12,331,483,0
1815100198,11,14,25,372,506,0
1815100198,11,14,25,372,506,0
1815100200,8,1,15,412,415,1
1815100200,8,1,15,412,415,1
1815100376,3,12,11,309,395,0
1815100376,3,12,11,309,395,0
1815100410,10,7,17,465,517,1
1815100410,10,7,17,465,517,1
1815100839,5,18,10,257,251,0
1815100839,5,18,10,257,251,0
1815105199,5,9,11,284,348,0
1815105199,5,9,11,284,348,0
1815105247,1,8,9,279,276,1
1815105247,1,8,9,279,276,1
1815105586,2,11,19,311,254,1
1815105586,2,11,19,311,254,1
1815105628,15,10,29,430,559,1
1815105628,15,10,29,430,559,1
1815105737,6,13,12,311,354,0
1815105737,6,13,12,311,354,0
1815105852,5,6,8,404,474,1
1815105852,5,6,8,404,474,1
1815105862,16,7,17,422,462,1
1815105862,16,7,17,422,462,1
1815105864,6,8,7,285,295,0
1815105864,6,8,7,285,295,0
1815105895,8,4,23,451,624,1
1815105895,8,4,23,451,624,1
1815105942,9,9,21,472,660,1
1815105942,9,9,21,472,660,1
1815106078,6,7,23,408,538,1
1815106078,6,7,23,408,538,1
1815106249,6,8,18,410,442,1
1815106249,6,8,18,410,442,1
1815106372,1,8,10,265,331,0
1815106372,1,8,10,265,331,0
1815106473,4,9,16,337,420,0
1815106473,4,9,16,337,420,0
1815106504,7,7,10,402,479,0
1815106504,7,7,10,402,479,0
1815106694,2,13,3,315,286,0
1815106694,2,13,3,315,286,0
1815106843,7,7,16,439,506,1
1815106843,7,7,16,439,506,1
1815106972,18,17,26,534,545,1
1815106972,18,17,26,534,545,1
1815107017,10,5,25,483,626,1
1815107017,10,5,25,483,626,1
1815107059,5,0,14,336,464,1
1815107059,5,0,14,336,464,1
1815107210,20,6,29,502,489,1
1815107210,20,6,29,502,489,1
1815107313,4,13,19,314,343,0
1815107313,4,13,19,314,343,0
1815107393,3,15,17,218,246,0
1815107393,3,15,17,218,246,0
1815107634,8,7,15,357,508,0
1815107634,8,7,15,357,508,0
1815107691,12,17,33,463,497,0
1815107691,12,17,33,463,497,0
1815107857,4,4,15,377,420,1
1815107857,4,4,15,377,420,1
1815107916,3,11,21,307,365,0
1815107916,3,11,21,307,365,0
1815107949,2,8,7,308,267,1
1815107949,2,8,7,308,267,1
1815108030,2,10,6,270,287,0
1815108030,2,10,6,270,287,0
1815108116,9,5,11,363,469,0
1815108116,9,5,11,363,469,0
1815108151,8,5,26,533,531,1
1815108151,8,5,26,533,531,1
1815108192,12,13,27,526,479,0
1815108192,12,13,27,526,479,0
1815108264,4,12,23,315,487,0
1815108264,4,12,23,315,487,0
1815108487,7,5,23,380,467,1
1815108487,7,5,23,380,467,1
1815108508,7,16,16,264,269,0
1815108508,7,16,16,264,269,0
1815108987,7,2,13,369,387,1
1815108987,7,2,13,369,387,1
1815109101,4,11,7,374,438,0
1815109101,4,11,7,374,438,0
1815109267,12,9,18,540,614,1
1815109267,12,9,18,540,614,1
1815109378,16,11,17,443,552,1
1815109378,16,11,17,443,552,1
1815109418,7,9,16,421,608,1
1815109418,7,9,16,421,608,1
1815109499,8,10,24,399,522,1
1815109499,8,10,24,399,522,1
1815109624,3,15,36,335,446,0
1815109624,3,15,36,335,446,0
1815110661,12,12,13,306,381,0
1815110661,12,12,13,306,381,0
1815110895,6,10,7,344,360,0
1815110895,6,10,7,344,360,0
1815111044,2,6,3,259,245,0
1815111044,2,6,3,259,245,0
1815111118,6,15,18,368,472,0
1815111118,6,15,18,368,472,0
1815111139,11,7,20,424,584,1
1815111139,11,7,20,424,584,1
1815111173,4,8,23,341,512,0
1815111173,4,8,23,341,512,0
