id,k,d,a,gpm,xpm,win
1815099214,0,11,11,205,207,0
1815099214,0,11,11,205,207,0
1815099847,11,6,26,462,607,1
1815099847,11,6,26,462,607,1
1815100144,7,15,19,384,404,1
1815100144,7,15,19,384,404,1
1815100763,6,15,21,290,369,1
1815100763,6,15,21,290,369,1
1815105820,4,4,13,276,329,0
1815105820,4,4,13,276,329,0
1815106595,1,5,7,335,246,1
1815106595,1,5,7,335,246,1
1815111838,7,16,22,337,380,1
1815111838,7,16,22,337,380,1
1815112502,3,15,21,233,233,0
1815112502,3,15,21,233,233,0
1815114012,0,4,0,212,246,0
1815114012,0,4,0,212,246,0
1815114978,0,8,7,186,217,0
1815114978,0,8,7,186,217,0
1815110832,2,5,11,323,394,0
1815110832,2,5,11,323,394,0
1815112230,9,12,13,351,405,0
1815112230,9,12,13,351,405,0
1815112622,2,10,26,307,388,1
1815112622,2,10,26,307,388,1
1815112787,4,11,11,282,318,0
1815112787,4,11,11,282,318,0
1815113893,1,11,11,222,230,0
1815113893,1,11,11,222,230,0
1815118856,9,10,19,310,349,0
1815118856,9,10,19,310,349,0
1815120524,4,7,11,299,323,0
1815120524,4,7,11,299,323,0
1815121187,1,7,9,258,231,1
1815121187,1,7,9,258,231,1
1815122113,7,9,11,256,319,0
1815122113,7,9,11,256,319,0
1815122851,5,8,6,360,316,0
1815122851,5,8,6,360,316,0
1815098823,5,8,13,309,466,0
1815098823,5,8,13,309,466,0
1815099193,11,4,22,379,371,1
1815099193,11,4,22,379,371,1
1815099400,1,10,16,314,306,1
1815099400,1,10,16,314,306,1
1815099897,3,7,9,289,388,0
1815099897,3,7,9,289,388,0
1815100287,1,5,17,310,323,1
1815100287,1,5,17,310,323,1
1815100487,1,5,15,310,250,1
1815100487,1,5,15,310,250,1
1815105834,3,10,13,317,427,0
1815105834,3,10,13,317,427,0
1815105942,6,13,19,330,327,1
1815105942,6,13,19,330,327,1
1815106025,3,8,15,262,337,0
1815106025,3,8,15,262,337,0
1815106565,2,1,9,346,285,1
1815106565,2,1,9,346,285,1
