id,k,d,a,gpm,xpm,win
1815099196,1,18,17,274,331,1
1815099196,1,18,17,274,331,1
1815100081,5,13,17,421,437,1
1815100081,5,13,17,421,437,1
1815100494,3,11,10,268,408,0
1815100494,3,11,10,268,408,0
1815100779,5,14,24,376,376,1
1815100779,5,14,24,376,376,1
1815105760,3,4,19,376,463,1
1815105760,3,4,19,376,463,1
1815106195,6,5,17,451,519,1
1815106195,6,5,17,451,519,1
1815106211,4,19,7,274,302,0
1815106211,4,19,7,274,302,0
1815106732,4,15,14,261,205,0
1815106732,4,15,14,261,205,0
1815107813,4,6,9,375,299,1
1815107813,4,6,9,375,299,1
1815113063,5,12,13,316,361,0
1815113063,5,12,13,316,361,0
1815115364,1,11,14,192,182,0
1815115364,1,11,14,192,182,0
1815117152,4,7,6,214,180,0
1815117152,4,7,6,214,180,0
1815118075,3,11,8,273,199,0
1815118075,3,11,8,273,199,0
1815119362,11,6,18,421,436,1
1815119362,11,6,18,421,436,1
1815120653,2,15,8,248,229,0
1815120653,2,15,8,248,229,0
1815121196,6,22,3,257,212,0
1815121196,6,22,3,257,212,0
1815121376,6,13,20,377,479,0
1815121376,6,13,20,377,479,0
1815099970,1,9,14,327,269,1
1815099970,1,9,14,327,269,1
1815105185,1,11,6,196,215,0
1815105185,1,11,6,196,215,0
1815105492,8,5,8,444,390,1
1815105492,8,5,8,444,390,1
1815105664,10,11,16,318,320,0
1815105664,10,11,16,318,320,0
1815105708,1,10,23,353,341,1
1815105708,1,10,23,353,341,1
1815106739,12,9,14,388,373,1
1815106739,12,9,14,388,373,1
1815109329,11,8,21,386,481,1
1815109329,11,8,21,386,481,1
1815109498,10,9,10,435,368,1
1815109498,10,9,10,435,368,1
1815110712,0,12,18,295,341,1
1815110712,0,12,18,295,341,1
1815111500,8,11,12,361,356,1
1815111500,8,11,12,361,356,1
1815111880,3,6,11,285,275,1
1815111880,3,6,11,285,275,1
1815112563,8,11,17,356,396,0
1815112563,8,11,17,356,396,0
1815113844,2,8,9,234,257,0
1815113844,2,8,9,234,257,0
1815114171,3,15,11,313,345,0
1815114171,3,15,11,313,345,0
1815115798,3,13,15,336,219,1
1815115798,3,13,15,336,219,1
1815116140,5,13,8,268,301,0
1815116140,5,13,8,268,301,0
1815116153,6,7,14,526,485,1
1815116153,6,7,14,526,485,1
1815116678,3,10,8,329,310,1
1815116678,3,10,8,329,310,1
1815117485,5,10,18,339,328,1
1815117485,5,10,18,339,328,1
1815117764,2,6,12,372,304,1
1815117764,2,6,12,372,304,1
1815118168,1,8,10,244,241,0
1815118168,1,8,10,244,241,0
1815119203,11,6,12,475,387,1
1815119203,11,6,12,475,387,1
1815119449,5,15,17,348,296,1
1815119449,5,15,17,348,296,1
1815119600,0,11,10,218,195,0
1815119600,0,11,10,218,195,0
1815119636,2,14,19,263,221,0
1815119636,2,14,19,263,221,0
1815120543,2,9,6,224,290,0
1815120543,2,9,6,224,290,0
1815121591,10,19,22,462,534,1
1815121591,10,19,22,462,534,1
1815121753,2,9,12,259,222,0
1815121753,2,9,12,259,222,0
1815122380,6,12,15,298,367,0
1815122380,6,12,15,298,367,0
1815123205,6,12,13,282,240,0
1815123205,6,12,13,282,240,0
1815098728,0,1,5,360,202,1
1815098728,0,1,5,360,202,1
1815098763,8,8,21,419,470,1
1815098763,8,8,21,419,470,1
1815098962,11,17,24,398,520,0
1815098962,11,17,24,398,520,0
1815099352,1,10,3,266,184,0
1815099352,1,10,3,266,184,0
1815099467,4,12,3,278,301,0
1815099467,4,12,3,278,301,0
1815099541,5,7,6,345,378,0
1815099541,5,7,6,345,378,0
1815099760,6,10,14,386,382,1
1815099760,6,10,14,386,382,1
1815099799,1,11,12,336,306,1
1815099799,1,11,12,336,306,1
1815099868,8,10,11,376,281,1
1815099868,8,10,11,376,281,1
1815099935,10,17,18,299,338,0
1815099935,10,17,18,299,338,0
1815100120,5,10,17,361,429,0
1815100120,5,10,17,361,429,0
1815100177,2,12,6,257,305,0
1815100177,2,12,6,257,305,0
1815100316,0,14,5,242,251,0
1815100316,0,14,5,242,251,0
1815100541,3,13,6,253,213,0
1815100541,3,13,6,253,213,0
1815100714,13,12,12,394,430,0
1815100714,13,12,12,394,430,0
1815105503,6,12,15,429,461,1
1815105503,6,12,15,429,461,1
1815105790,1,12,2,212,201,0
1815105790,1,12,2,212,201,0
1815105889,13,3,22,446,447,1
1815105889,13,3,22,446,447,1
1815106047,9,5,18,334,362,1
1815106047,9,5,18,334,362,1
1815106078,9,13,10,343,363,1
1815106078,9,13,10,343,363,1
1815106177,4,9,5,317,316,0
1815106177,4,9,5,317,316,0
1815106300,4,6,10,263,310,0
1815106300,4,6,10,263,310,0
1815106480,2,3,11,368,250,1
1815106480,2,3,11,368,250,1
1815106792,0,16,7,231,253,0
1815106792,0,16,7,231,253,0
1815106794,3,9,20,327,265,1
1815106794,3,9,20,327,265,1
