id,k,d,a,gpm,xpm,win
1815100727,3,11,10,354,422,0
1815100727,3,11,10,354,422,0
1815105760,7,12,11,339,423,0
1815105760,7,12,11,339,423,0
1815105786,6,12,8,383,484,0
1815105786,6,12,8,383,484,0
1815106287,15,4,18,515,671,1
1815106287,15,4,18,515,671,1
1815107062,10,21,16,508,469,0
1815107062,10,21,16,508,469,0
1815107439,15,5,14,556,618,1
1815107439,15,5,14,556,618,1
1815109718,9,16,15,384,503,1
1815109718,9,16,15,384,503,1
1815110721,3,9,2,338,367,0
1815110721,3,9,2,338,367,0
1815112349,4,7,4,366,424,1
1815112349,4,7,4,366,424,1
1815112562,9,5,20,494,642,1
1815112562,9,5,20,494,642,1
1815114091,12,7,11,527,591,1
1815114091,12,7,11,527,591,1
1815114361,1,12,7,288,379,0
1815114361,1,12,7,288,379,0
1815114732,4,7,16,334,354,0
1815114732,4,7,16,334,354,0
1815114978,3,10,3,333,368,0
1815114978,3,10,3,333,368,0
1815115364,11,6,10,544,566,1
1815115364,11,6,10,544,566,1
1815116006,11,13,11,409,591,0
1815116006,11,13,11,409,591,0
1815116043,5,3,13,507,625,1
1815116043,5,3,13,507,625,1
1815117237,7,8,11,395,468,1
1815117237,7,8,11,395,468,1
1815118115,4,9,15,422,465,1
1815118115,4,9,15,422,465,1
1815118138,12,7,20,529,643,1
1815118138,12,7,20,529,643,1
1815118857,7,9,23,411,585,1
1815118857,7,9,23,411,585,1
1815119031,9,12,11,423,593,0
1815119031,9,12,11,423,593,0
1815119304,14,8,17,558,622,0
1815119304,14,8,17,558,622,0
1815119343,0,5,4,163,123,0
1815119343,0,5,4,163,123,0
1815121196,14,6,18,461,628,1
1815121196,14,6,18,461,628,1
1815123130,1,9,10,317,449,0
1815123130,1,9,10,317,449,0
1815100838,5,4,14,489,551,1
1815100838,5,4,14,489,551,1
1815105267,13,6,17,577,632,1
1815105267,13,6,17,577,632,1
1815105643,8,13,12,394,399,0
1815105643,8,13,12,394,399,0
1815105993,4,8,9,371,266,1
1815105993,4,8,9,371,266,1
1815106575,15,8,16,499,591,1
1815106575,15,8,16,499,591,1
1815108728,4,10,3,307,241,0
1815108728,4,10,3,307,241,0
1815108812,6,3,11,519,608,1
1815108812,6,3,11,519,608,1
1815109153,5,8,10,414,544,1
1815109153,5,8,10,414,544,1
1815110216,3,10,1,367,392,0
1815110216,3,10,1,367,392,0
1815112217,13,7,12,507,652,1
1815112217,13,7,12,507,652,1
1815113278,8,12,11,322,404,1
1815113278,8,12,11,322,404,1
1815113590,18,5,21,632,763,1
1815113590,18,5,21,632,763,1
1815113787,11,5,3,360,410,0
1815113787,11,5,3,360,410,0
1815114011,8,3,14,537,572,1
1815114011,8,3,14,537,572,1
1815114043,10,15,11,408,553,0
1815114043,10,15,11,408,553,0
1815114668,8,6,17,497,689,1
1815114668,8,6,17,497,689,1
1815115897,6,11,4,360,537,0
1815115897,6,11,4,360,537,0
1815116365,9,1,9,555,540,1
1815116365,9,1,9,555,540,1
1815118236,31,8,29,641,452,1
1815118236,31,8,29,641,452,1
1815119469,4,15,4,314,338,0
1815119469,4,15,4,314,338,0
1815119927,22,14,14,455,574,0
1815119927,22,14,14,455,574,0
1815121618,5,5,10,420,398,1
1815121618,5,5,10,420,398,1
1815098864,10,8,18,388,539,0
1815098864,10,8,18,388,539,0
1815098979,9,10,11,320,456,0
1815098979,9,10,11,320,456,0
1815099150,18,13,22,449,607,1
1815099150,18,13,22,449,607,1
1815099589,23,8,30,672,648,1
1815099589,23,8,30,672,648,1
1815099799,22,5,19,527,606,1
1815099799,22,5,19,527,606,1
1815099897,18,11,20,551,602,1
1815099897,18,11,20,551,602,1
1815099935,5,13,11,336,511,0
1815099935,5,13,11,336,511,0
1815100027,9,8,5,365,477,0
1815100027,9,8,5,365,477,0
1815100122,0,6,3,203,211,0
1815100122,0,6,3,203,211,0
1815100328,6,14,9,373,407,0
1815100328,6,14,9,373,407,0
1815100603,8,11,5,346,482,0
1815100603,8,11,5,346,482,0
1815100797,16,8,30,645,658,1
1815100797,16,8,30,645,658,1
1815105413,18,1,13,529,627,1
1815105413,18,1,13,529,627,1
1815105561,5,12,21,353,407,1
1815105561,5,12,21,353,407,1
1815105669,7,6,25,428,503,1
1815105669,7,6,25,428,503,1
1815105893,8,9,6,398,653,0
1815105893,8,9,6,398,653,0
1815106153,9,5,12,441,390,1
1815106153,9,5,12,441,390,1
1815106343,10,3,16,429,433,1
1815106343,10,3,16,429,433,1
1815106463,24,13,19,449,482,1
1815106463,24,13,19,449,482,1
1815106473,2,8,5,283,431,0
1815106473,2,8,5,283,431,0
1815106480,1,8,1,183,200,0
1815106480,1,8,1,183,200,0
1815106551,7,14,12,338,516,0
1815106551,7,14,12,338,516,0
1815106562,16,16,22,400,486,0
1815106562,16,16,22,400,486,0
1815106926,6,5,4,408,600,0
