id,k,d,a,gpm,xpm,win
1815100727,1,2,2,209,83,1
1815100727,1,2,2,209,83,1
1815100823,4,4,3,276,223,1
1815100823,4,4,3,276,223,1
1815105232,9,10,11,428,507,0
1815105232,9,10,11,428,507,0
1815107560,3,11,12,309,350,1
1815107560,3,11,12,309,350,1
1815107582,3,7,2,287,252,0
1815107582,3,7,2,287,252,0
1815108454,3,5,6,250,312,0
1815108454,3,5,6,250,312,0
1815109442,2,9,2,183,221,0
1815109442,2,9,2,183,221,0
1815109752,5,10,7,357,377,1
1815109752,5,10,7,357,377,1
1815109872,3,2,6,330,304,1
1815109872,3,2,6,330,304,1
1815109885,21,8,18,608,461,1
1815109885,21,8,18,608,461,1
1815110866,1,5,2,215,256,0
1815110866,1,5,2,215,256,0
1815110973,10,8,13,469,626,0
1815110973,10,8,13,469,626,0
1815111853,4,10,4,264,308,0
1815111853,4,10,4,264,308,0
1815111993,2,13,5,296,216,0
1815111993,2,13,5,296,216,0
1815112715,9,4,7,428,586,1
1815112715,9,4,7,428,586,1
1815113007,4,14,9,277,300,0
1815113007,4,14,9,277,300,0
1815113029,5,6,16,364,490,0
1815113029,5,6,16,364,490,0
1815113067,23,8,7,511,563,0
1815113067,23,8,7,511,563,0
1815113363,6,6,9,328,366,0
1815113363,6,6,9,328,366,0
1815113773,7,4,11,323,369,1
1815113773,7,4,11,323,369,1
1815114012,2,0,10,383,315,1
1815114012,2,0,10,383,315,1
1815115377,9,10,15,340,436,0
1815115377,9,10,15,340,436,0
1815117152,2,6,7,200,202,0
1815117152,2,6,7,200,202,0
1815117979,4,7,9,255,302,0
1815117979,4,7,9,255,302,0
1815118115,10,6,12,348,372,0
1815118115,10,6,12,348,372,0
1815118123,0,5,4,258,212,1
1815118123,0,5,4,258,212,1
1815118124,4,5,6,336,358,1
1815118124,4,5,6,336,358,1
1815118441,2,9,12,211,261,0
1815118441,2,9,12,211,261,0
1815119304,7,10,8,279,286,0
1815119304,7,10,8,279,286,0
1815119466,4,3,10,354,286,1
1815119466,4,3,10,354,286,1
1815120129,11,6,20,553,557,1
1815120129,11,6,20,553,557,1
1815120131,4,8,22,305,319,1
