id,k,d,a,gpm,xpm,win
1815099145,3,4,14,262,335,0
1815099145,3,4,14,262,335,0
1815100779,8,8,16,324,341,1
1815100779,8,8,16,324,341,1
1815106653,9,13,12,270,339,0
1815106653,9,13,12,270,339,0
1815108036,5,2,13,377,510,1
1815108036,5,2,13,377,510,1
1815108053,5,9,15,240,286,0
1815108053,5,9,15,240,286,0
1815108190,7,3,8,414,397,1
1815108190,7,3,8,414,397,1
1815108195,5,11,11,258,295,0
1815108195,5,11,11,258,295,0
1815108454,15,5,12,479,481,1
1815108454,15,5,12,479,481,1
1815109133,8,7,14,313,387,0
1815109133,8,7,14,313,387,0
1815110182,13,7,11,344,315,1
1815110182,13,7,11,344,315,1
1815110450,6,14,17,268,351,1
1815110450,6,14,17,268,351,1
1815111494,11,10,12,306,387,1
1815111494,11,10,12,306,387,1
1815113759,6,6,6,349,399,1
1815113759,6,6,6,349,399,1
1815113993,8,11,6,389,407,0
1815113993,8,11,6,389,407,0
1815115132,3,13,9,236,284,0
1815115132,3,13,9,236,284,0
1815115149,5,9,8,341,345,1
1815115149,5,9,8,341,345,1
1815116088,13,6,9,414,492,1
1815116088,13,6,9,414,492,1
1815118075,4,12,2,267,242,0
1815118075,4,12,2,267,242,0
1815118126,7,14,17,314,329,1
1815118126,7,14,17,314,329,1
1815118893,22,10,12,547,655,1
1815118893,22,10,12,547,655,1
1815120132,3,6,16,322,339,1
1815120132,3,6,16,322,339,1
1815120240,7,9,3,303,354,0
1815120240,7,9,3,303,354,0
1815120684,12,7,11,385,334,1
1815120684,12,7,11,385,334,1
1815122758,9,7,16,396,553,0
1815122758,9,7,16,396,553,0
1815098869,5,13,16,244,307,0
1815098869,5,13,16,244,307,0
1815100365,13,12,16,312,386,0
1815100365,13,12,16,312,386,0
1815106161,7,11,18,365,456,0
1815106161,7,11,18,365,456,0
1815106739,9,9,7,318,342,0
1815106739,9,9,7,318,342,0
1815107389,14,9,17,316,411,0
1815107389,14,9,17,316,411,0
1815109185,5,9,14,276,341,0
1815109185,5,9,14,276,341,0
1815109345,6,3,9,386,378,1
1815109345,6,3,9,386,378,1
1815110720,5,7,20,324,350,1
1815110720,5,7,20,324,350,1
1815111673,9,10,4,357,341,0
1815111673,9,10,4,357,341,0
1815112230,6,13,11,342,475,1
1815112230,6,13,11,342,475,1
1815112366,11,16,10,332,452,1
1815112366,11,16,10,332,452,1
1815112895,12,10,17,350,538,1
1815112895,12,10,17,350,538,1
1815113060,9,16,22,418,472,1
1815113060,9,16,22,418,472,1
1815113386,1,3,13,297,246,1
1815113386,1,3,13,297,246,1
1815114043,5,9,16,229,258,0
1815114043,5,9,16,229,258,0
1815114295,6,3,5,410,372,1
1815114295,6,3,5,410,372,1
1815114631,11,9,11,472,496,1
1815114631,11,9,11,472,496,1
1815115049,6,10,8,264,294,0
1815115049,6,10,8,264,294,0
1815115054,8,9,27,334,338,1
1815115054,8,9,27,334,338,1
1815116560,1,6,4,214,192,0
1815116560,1,6,4,214,192,0
1815116918,16,7,14,424,552,1
1815116918,16,7,14,424,552,1
1815117791,12,8,7,432,539,0
1815117791,12,8,7,432,539,0
1815118625,15,12,16,361,413,1
1815118625,15,12,16,361,413,1
1815120524,3,8,15,330,322,1
1815120524,3,8,15,330,322,1
1815121591,17,9,12,333,375,0
1815121591,17,9,12,333,375,0
1815122113,5,12,5,344,345,1
1815122113,5,12,5,344,345,1
1815122392,4,10,14,227,211,0
1815122392,4,10,14,227,211,0
1815122837,7,11,14,334,421,1
1815122837,7,11,14,334,421,1
1815098789,12,7,18,333,423,0
1815098789,12,7,18,333,423,0
1815099415,23,12,26,370,472,0
1815099415,23,12,26,370,472,0
1815099541,6,6,6,317,375,0
1815099541,6,6,6,317,375,0
1815099651,11,15,19,361,431,0
1815099651,11,15,19,361,431,0
1815099763,0,14,10,152,187,0
1815099763,0,14,10,152,187,0
1815099814,8,12,15,296,310,0
1815099814,8,12,15,296,310,0
1815099922,4,19,17,252,324,0
1815099922,4,19,17,252,324,0
1815100120,7,7,10,303,449,0
1815100120,7,7,10,303,449,0
1815100376,9,10,9,230,268,0
1815100376,9,10,9,230,268,0
1815100430,1,5,14,294,332,1
1815100430,1,5,14,294,332,1
1815100443,8,11,12,340,416,0
1815100443,8,11,12,340,416,0
1815100508,9,10,13,325,454,0
1815100508,9,10,13,325,454,0
1815100747,1,12,6,275,333,0
1815100747,1,12,6,275,333,0
1815105332,15,9,13,428,497,1
1815105332,15,9,13,428,497,1
1815105537,13,8,7,391,494,1
1815105537,13,8,7,391,494,1
1815105599,3,9,2,188,170,0
1815105599,3,9,2,188,170,0
1815105736,23,8,16,405,502,1
1815105736,23,8,16,405,502,1
1815105744,8,4,17,316,465,1
1815105744,8,4,17,316,465,1
1815105799,7,6,15,282,404,0
1815105799,7,6,15,282,404,0
1815106082,4,11,9,247,282,0
1815106082,4,11,9,247,282,0
1815106243,9,7,11,346,412,0
1815106243,9,7,11,346,412,0
1815106317,1,12,9,219,192,0
1815106317,1,12,9,219,192,0
1815106341,6,11,8,226,479,0
1815106341,6,11,8,226,479,0
1815106467,4,9,10,206,242,0
1815106467,4,9,10,206,242,0
1815106474,1,3,7,277,300,1
1815106474,1,3,7,277,300,1
1815106630,24,5,8,641,589,1
1815106630,24,5,8,641,589,1
1815106788,3,8,14,318,261,1
1815106788,3,8,14,318,261,1
1815106870,7,10,11,268,404,0
1815106870,7,10,11,268,404,0
1815107078,6,13,13,326,484,0
1815107078,6,13,13,326,484,0
1815107471,9,4,34,316,544,0
1815107471,9,4,34,316,544,0
1815107496,8,13,22,285,518,0
1815107496,8,13,22,285,518,0
1815108065,14,12,16,463,550,0
1815108065,14,12,16,463,550,0
1815108150,15,3,12,390,451,1
1815108150,15,3,12,390,451,1
1815108508,2,15,15,285,399,1
1815108508,2,15,15,285,399,1
1815108541,12,7,19,422,675,1
1815108541,12,7,19,422,675,1
1815108605,12,14,15,291,386,0
1815108605,12,14,15,291,386,0
1815108659,6,12,16,274,320,1
1815108659,6,12,16,274,320,1
1815108699,23,10,23,510,685,1
1815108699,23,10,23,510,685,1
1815108945,5,7,26,317,522,1
1815108945,5,7,26,317,522,1
1815109086,14,6,28,351,511,1
1815109086,14,6,28,351,511,1
1815109175,2,14,16,254,312,1
1815109175,2,14,16,254,312,1
1815109312,16,11,8,462,690,0
1815109312,16,11,8,462,690,0
1815109318,3,8,23,260,341,0
1815109318,3,8,23,260,341,0
1815109320,3,0,1,413,365,1
1815109320,3,0,1,413,365,1
1815109326,2,9,11,311,315,1
1815109326,2,9,11,311,315,1
1815109430,4,11,8,246,337,0
1815109430,4,11,8,246,337,0
1815109459,6,14,11,300,429,0
1815109459,6,14,11,300,429,0
1815109499,11,15,6,355,479,0
1815109499,11,15,6,355,479,0
1815109657,24,6,15,554,712,1
1815109657,24,6,15,554,712,1
1815109764,5,10,18,353,470,1
1815109764,5,10,18,353,470,1
1815109824,3,13,14,272,409,0
1815109824,3,13,14,272,409,0
1815110232,11,12,12,288,403,0
1815110232,11,12,12,288,403,0
1815110410,5,11,28,347,464,1
1815110410,5,11,28,347,464,1
1815110445,8,13,5,385,453,0
1815110445,8,13,5,385,453,0
1815110538,8,11,11,376,347,0
1815110538,8,11,11,376,347,0
1815110539,16,9,20,522,682,1
1815110539,16,9,20,522,682,1
1815110732,5,8,1,252,271,0
1815110732,5,8,1,252,271,0
1815110774,1,9,2,159,169,0
1815110774,1,9,2,159,169,0
1815110789,7,10,12,314,423,0
1815110789,7,10,12,314,423,0
1815110795,1,12,2,223,191,0
1815110795,1,12,2,223,191,0
1815110984,14,9,22,307,434,1
1815110984,14,9,22,307,434,1
1815111173,2,19,13,288,278,1
1815111173,2,19,13,288,278,1
1815111320,11,6,11,413,502,1
1815111320,11,6,11,413,502,1
1815111596,0,3,0,100,0,0
1815111596,0,3,0,100,0,0
1815111683,1,7,2,167,144,0
1815111683,1,7,2,167,144,0
1815111734,3,11,3,265,261,0
1815111734,3,11,3,265,261,0
1815111869,1,7,5,169,161,0
1815111869,1,7,5,169,161,0
1815111941,3,10,6,193,268,0
1815111941,3,10,6,193,268,0
1815111994,14,12,22,385,503,1
1815111994,14,12,22,385,503,1
1815112381,2,19,20,274,397,0
1815112381,2,19,20,274,397,0
1815112418,35,9,28,514,480,1
1815112418,35,9,28,514,480,1
1815112884,15,11,26,381,604,1
1815112884,15,11,26,381,604,1
1815112952,7,15,11,327,484,0
1815112952,7,15,11,327,484,0
1815113162,1,18,21,274,292,1
1815113162,1,18,21,274,292,1
1815113198,16,8,16,466,533,1
1815113198,16,8,16,466,533,1
1815113343,3,8,14,342,379,1
1815113343,3,8,14,342,379,1
1815113502,1,10,5,240,186,0
1815113502,1,10,5,240,186,0
1815113515,10,7,23,384,501,1
1815113515,10,7,23,384,501,1
1815113680,7,15,15,327,443,0
1815113680,7,15,15,327,443,0
1815113702,22,13,33,384,445,0
1815113702,22,13,33,384,445,0
1815113822,5,11,14,331,432,1
1815113822,5,11,14,331,432,1
1815113823,8,10,10,301,394,0
1815113823,8,10,10,301,394,0
1815114079,13,10,17,419,510,1
1815114079,13,10,17,419,510,1
1815114463,12,15,17,381,498,1
1815114463,12,15,17,381,498,1
1815114973,2,3,1,242,241,0
1815114973,2,3,1,242,241,0
1815115157,4,8,4,241,194,0
1815115157,4,8,4,241,194,0
1815115185,16,6,21,474,603,1
1815115185,16,6,21,474,603,1
1815115430,18,14,9,559,665,1
1815115430,18,14,9,559,665,1
1815115436,7,13,2,299,310,0
1815115436,7,13,2,299,310,0
1815115477,11,15,11,339,455,0
1815115477,11,15,11,339,455,0
1815115676,5,11,14,396,439,1
1815115676,5,11,14,396,439,1
1815115693,4,13,10,237,270,0
1815115693,4,13,10,237,270,0
1815115706,6,10,14,271,311,0
1815115706,6,10,14,271,311,0
1815115797,19,20,19,413,487,1
1815115797,19,20,19,413,487,1
1815115827,1,6,3,253,344,0
1815115827,1,6,3,253,344,0
1815115899,7,5,10,285,374,0
1815115899,7,5,10,285,374,0
1815116155,4,8,7,281,368,0
1815116155,4,8,7,281,368,0
1815116418,1,6,13,266,391,0
1815116418,1,6,13,266,391,0
