id,k,d,a,gpm,xpm,win
1815098954,12,7,8,445,465,1
1815098954,12,7,8,445,465,1
1815099776,0,12,22,324,367,1
1815099776,0,12,22,324,367,1
1815105974,0,3,0,271,297,0
1815105974,0,3,0,271,297,0
1815106214,3,7,11,290,351,0
1815106214,3,7,11,290,351,0
1815106242,13,14,16,369,431,1
1815106242,13,14,16,369,431,1
1815106732,8,14,8,379,375,0
1815106732,8,14,8,379,375,0
1815106805,5,7,13,317,392,0
1815106805,5,7,13,317,392,0
1815108703,12,11,18,390,593,0
1815108703,12,11,18,390,593,0
1815108872,2,9,5,226,212,0
1815108872,2,9,5,226,212,0
1815109442,3,2,7,330,299,1
1815109442,3,2,7,330,299,1
1815109632,10,8,11,481,620,1
1815109632,10,8,11,481,620,1
1815110721,0,6,5,243,265,0
1815110721,0,6,5,243,265,0
1815110849,10,10,32,418,503,1
1815110849,10,10,32,418,503,1
1815110866,0,7,4,205,167,0
1815110866,0,7,4,205,167,0
1815112505,6,9,20,431,549,1
1815112505,6,9,20,431,549,1
1815112715,10,9,17,512,588,1
1815112715,10,9,17,512,588,1
1815113029,4,13,16,316,359,0
1815113029,4,13,16,316,359,0
1815113151,2,11,7,383,492,0
1815113151,2,11,7,383,492,0
1815113474,8,6,15,421,469,1
1815113474,8,6,15,421,469,1
1815113791,0,7,8,294,388,0
1815113791,0,7,8,294,388,0
1815114640,2,5,1,277,231,0
1815114640,2,5,1,277,231,0
1815114784,6,11,15,345,405,0
1815114784,6,11,15,345,405,0
1815116006,9,8,23,423,673,1
1815116006,9,8,23,423,673,1
1815119376,12,6,10,551,656,1
1815119376,12,6,10,551,656,1
1815120043,1,11,8,362,435,0
1815120043,1,11,8,362,435,0
1815120385,5,12,12,455,585,0
1815120385,5,12,12,455,585,0
1815121341,13,18,22,433,452,1
1815121341,13,18,22,433,452,1
1815122435,4,3,8,505,508,1
1815122435,4,3,8,505,508,1
1815122846,7,7,3,260,237,0
1815122846,7,7,3,260,237,0
1815099829,5,13,12,333,487,0
1815099829,5,13,12,333,487,0
1815099861,11,10,6,380,451,0
1815099861,11,10,6,380,451,0
1815099948,3,12,8,319,462,0
1815099948,3,12,8,319,462,0
1815100247,19,6,20,561,756,1
1815100247,19,6,20,561,756,1
1815100838,2,7,8,292,367,0
1815100838,2,7,8,292,367,0
1815105267,3,13,5,316,391,0
1815105267,3,13,5,316,391,0
1815106602,9,15,11,309,344,0
1815106602,9,15,11,309,344,0
1815109555,5,6,5,436,541,0
1815109555,5,6,5,436,541,0
1815109821,3,5,7,375,263,1
1815109821,3,5,7,375,263,1
1815111253,8,3,14,530,545,1
1815111253,8,3,14,530,545,1
1815113200,3,9,6,299,361,0
1815113200,3,9,6,299,361,0
1815113331,5,12,19,362,451,1
1815113331,5,12,19,362,451,1
1815113590,4,11,12,331,353,0
1815113590,4,11,12,331,353,0
