id,k,d,a,gpm,xpm,win
1815098804,16,8,13,544,699,1
1815098804,16,8,13,544,699,1
1815100081,18,14,17,445,619,0
1815100081,18,14,17,445,619,0
1815100494,17,5,13,616,764,1
1815100494,17,5,13,616,764,1
1815105360,11,5,11,563,570,1
1815105360,11,5,11,563,570,1
1815105385,9,3,10,516,530,1
1815105385,9,3,10,516,530,1
1815105494,21,6,9,606,657,1
1815105494,21,6,9,606,657,1
1815105958,12,3,8,621,592,1
1815105958,12,3,8,621,592,1
1815106472,6,10,2,351,393,0
1815106472,6,10,2,351,393,0
1815106540,9,13,2,384,481,0
1815106540,9,13,2,384,481,0
1815107097,6,6,10,331,507,0
1815107097,6,6,10,331,507,0
1815107560,27,7,7,679,695,1
1815107560,27,7,7,679,695,1
1815107582,0,10,5,194,194,0
1815107582,0,10,5,194,194,0
1815107780,4,9,3,382,440,0
1815107780,4,9,3,382,440,0
1815108053,17,6,11,409,590,0
1815108053,17,6,11,409,590,0
1815108195,9,4,15,449,563,1
1815108195,9,4,15,449,563,1
1815108505,8,6,16,479,561,1
1815108505,8,6,16,479,561,1
1815109596,2,6,4,322,352,0
1815109596,2,6,4,322,352,0
1815110437,6,2,14,499,494,1
1815110437,6,2,14,499,494,1
1815111331,13,10,11,492,589,0
1815111331,13,10,11,492,589,0
1815111397,5,3,3,560,598,1
1815111397,5,3,3,560,598,1
1815113007,5,9,5,336,435,0
1815113007,5,9,5,336,435,0
1815113186,4,11,4,295,277,0
1815113186,4,11,4,295,277,0
1815113773,9,5,16,522,606,1
1815113773,9,5,16,522,606,1
1815115149,1,7,4,227,245,0
1815115149,1,7,4,227,245,0
1815115378,10,11,18,500,600,1
1815115378,10,11,18,500,600,1
1815116043,8,8,11,511,601,1
1815116043,8,8,11,511,601,1
1815116786,6,9,2,361,389,0
1815116786,6,9,2,361,389,0
1815117237,6,9,10,315,388,0
1815117237,6,9,10,315,388,0
1815117916,7,6,8,467,445,1
1815117916,7,6,8,467,445,1
1815118123,4,4,4,293,332,0
1815118123,4,4,4,293,332,0
1815118155,12,8,13,490,614,1
1815118155,12,8,13,490,614,1
1815118441,7,5,8,408,451,1
