id,k,d,a,gpm,xpm,win
1815099196,14,4,24,425,488,0
1815099196,14,4,24,425,488,0
1815100823,3,1,9,473,424,1
1815100823,3,1,9,473,424,1
1815105360,14,3,12,576,639,1
1815105360,14,3,12,576,639,1
1815105547,5,11,5,391,475,0
1815105547,5,11,5,391,475,0
1815105631,6,14,22,389,458,0
1815105631,6,14,22,389,458,0
1815105760,9,2,6,404,488,0
1815105760,9,2,6,404,488,0
1815105974,0,5,0,159,145,0
1815105974,0,5,0,159,145,0
1815106195,7,8,11,431,496,0
1815106195,7,8,11,431,496,0
1815108036,7,10,8,430,411,0
1815108036,7,10,8,430,411,0
1815108961,11,8,20,500,558,1
1815108961,11,8,20,500,558,1
1815108996,9,12,19,398,509,0
1815108996,9,12,19,398,509,0
1815109435,18,6,12,613,727,1
1815109435,18,6,12,613,727,1
1815109513,3,9,7,304,319,0
1815109513,3,9,7,304,319,0
1815109718,15,8,19,505,503,0
1815109718,15,8,19,505,503,0
1815109957,21,4,10,641,658,1
1815109957,21,4,10,641,658,1
1815111494,10,3,9,453,562,1
1815111494,10,3,9,453,562,1
1815112250,7,3,19,598,678,1
1815112250,7,3,19,598,678,1
1815112494,5,13,3,243,237,0
1815112494,5,13,3,243,237,0
1815112562,3,9,2,290,274,0
1815112562,3,9,2,290,274,0
1815113063,11,10,7,419,460,0
1815113063,11,10,7,419,460,0
1815113993,6,5,5,447,515,0
1815113993,6,5,5,447,515,0
1815114012,3,3,2,229,233,0
1815114012,3,3,2,229,233,0
1815114732,11,7,9,390,394,0
1815114732,11,7,9,390,394,0
1815115320,7,9,13,437,454,1
1815115320,7,9,13,437,454,1
1815115828,6,6,4,337,346,0
1815115828,6,6,4,337,346,0
1815116051,11,1,9,607,427,1
1815116051,11,1,9,607,427,1
1815117979,7,4,6,510,451,1
1815117979,7,4,6,510,451,1
1815118115,7,8,12,324,401,0
1815118115,7,8,12,324,401,0
1815118466,2,7,5,284,290,0
1815118466,2,7,5,284,290,0
1815119152,1,5,8,232,263,0
1815119152,1,5,8,232,263,0
1815119958,0,11,6,222,233,0
1815119958,0,11,6,222,233,0
1815120132,8,5,7,306,297,0
1815120132,8,5,7,306,297,0
1815121225,10,10,9,412,461,0
1815121225,10,10,9,412,461,0
1815121604,9,17,18,391,474,1
1815121604,9,17,18,391,474,1
1815121900,9,13,5,412,467,0
1815121900,9,13,5,412,467,0
1815122373,5,8,11,282,321,0
1815122373,5,8,11,282,321,0
1815122435,0,10,8,243,272,0
1815122435,0,10,8,243,272,0
1815122976,11,8,9,435,511,0
1815122976,11,8,9,435,511,0
1815123009,8,8,14,436,496,1
1815123009,8,8,14,436,496,1
1815123046,3,10,9,305,389,0
1815123046,3,10,9,305,389,0
