id,k,d,a,gpm,xpm,win
1815099098,7,2,19,473,495,1
1815099098,7,2,19,473,495,1
1815099663,14,10,19,556,502,1
1815099663,14,10,19,556,502,1
1815099776,21,9,32,645,728,1
1815099776,21,9,32,645,728,1
1815105368,19,4,22,634,726,1
1815105368,19,4,22,634,726,1
1815106211,4,8,14,379,451,0
1815106211,4,8,14,379,451,0
1815108190,8,4,7,511,537,1
1815108190,8,4,7,511,537,1
1815108703,21,14,17,524,604,0
1815108703,21,14,17,524,604,0
1815109238,5,10,28,433,502,1
1815109238,5,10,28,433,502,1
1815109752,4,13,16,301,358,0
1815109752,4,13,16,301,358,0
1815111923,14,10,15,484,508,0
1815111923,14,10,15,484,508,0
1815112494,12,4,21,596,752,1
1815112494,12,4,21,596,752,1
1815112502,8,7,19,586,655,1
1815112502,8,7,19,586,655,1
1815114035,3,8,6,327,385,0
1815114035,3,8,6,327,385,0
1815114361,11,6,20,524,587,1
1815114361,11,6,20,524,587,1
1815115377,8,10,24,472,558,1
1815115377,8,10,24,472,558,1
1815119466,1,8,13,256,275,0
1815119466,1,8,13,256,275,0
1815120865,2,8,13,419,382,1
1815120865,2,8,13,419,382,1
1815121225,4,4,9,366,417,0
1815121225,4,4,9,366,417,0
1815121226,6,10,18,428,528,1
1815121226,6,10,18,428,528,1
1815122694,8,6,22,463,604,0
1815122694,8,6,22,463,604,0
1815122976,11,18,12,381,444,0
1815122976,11,18,12,381,444,0
1815098869,5,12,33,420,483,1
1815098869,5,12,33,420,483,1
1815099273,19,4,21,660,740,1
1815099273,19,4,21,660,740,1
1815099284,3,8,6,334,405,0
1815099284,3,8,6,334,405,0
1815099451,1,8,3,250,226,0
1815099451,1,8,3,250,226,0
1815099829,15,4,20,566,677,1
1815099829,15,4,20,566,677,1
1815099861,4,9,9,337,451,0
1815099861,4,9,9,337,451,0
1815100023,6,5,10,454,494,0
1815100023,6,5,10,454,494,0
1815100460,16,6,17,549,635,1
1815100460,16,6,17,549,635,1
1815100532,9,9,24,456,456,1
1815100532,9,9,24,456,456,1
1815100680,10,3,10,600,593,1
1815100680,10,3,10,600,593,1
1815105185,19,6,21,662,700,1
1815105185,19,6,21,662,700,1
1815105263,22,8,13,546,544,1
1815105263,22,8,13,546,544,1
1815105531,11,9,32,474,686,1
1815105531,11,9,32,474,686,1
1815105863,13,12,27,500,639,1
1815105863,13,12,27,500,639,1
1815106828,22,6,26,739,684,1
1815106828,22,6,26,739,684,1
1815106912,8,8,14,403,527,0
1815106912,8,8,14,403,527,0
1815107389,5,10,27,493,645,1
1815107389,5,10,27,493,645,1
1815107480,20,5,19,665,704,1
1815107480,20,5,19,665,704,1
1815108129,8,4,19,553,599,1
1815108129,8,4,19,553,599,1
1815108335,10,6,29,525,610,1
1815108335,10,6,29,525,610,1
1815108573,21,4,16,693,838,1
1815108573,21,4,16,693,838,1
1815111586,6,10,31,428,504,1
1815111586,6,10,31,428,504,1
1815112366,9,12,32,488,507,1
1815112366,9,12,32,488,507,1
1815112529,13,9,33,439,540,0
1815112529,13,9,33,439,540,0
1815112787,5,7,8,458,531,0
1815112787,5,7,8,458,531,0
1815113127,12,1,24,565,694,1
1815113127,12,1,24,565,694,1
1815114102,11,8,13,482,654,0
1815114102,11,8,13,482,654,0
1815114947,4,0,14,489,427,1
1815114947,4,0,14,489,427,1
1815115545,3,5,0,374,287,0
1815115545,3,5,0,374,287,0
1815115691,3,7,12,296,278,0
1815115691,3,7,12,296,278,0
1815116852,9,6,12,487,480,1
1815116852,9,6,12,487,480,1
1815117485,33,5,9,729,544,1
1815117485,33,5,9,729,544,1
1815119531,18,9,21,565,657,0
1815119531,18,9,21,565,657,0
1815119600,3,9,9,423,436,0
1815119600,3,9,9,423,436,0
1815119863,6,9,14,405,389,0
1815119863,6,9,14,405,389,0
1815120269,12,10,6,536,730,0
1815120269,12,10,6,536,730,0
1815120931,18,11,19,614,608,1
1815120931,18,11,19,614,608,1
1815098746,7,2,18,560,633,1
1815098746,7,2,18,560,633,1
1815099073,9,3,29,458,521,1
1815099073,9,3,29,458,521,1
1815099144,0,1,0,195,1,1
1815099144,0,1,0,195,1,1
1815099300,2,13,16,317,330,1
1815099300,2,13,16,317,330,1
1815099427,3,11,10,359,414,0
1815099427,3,11,10,359,414,0
1815099867,10,10,17,394,476,1
1815099867,10,10,17,394,476,1
1815099947,9,12,18,450,536,0
1815099947,9,12,18,450,536,0
1815100011,5,9,19,426,526,1
1815100011,5,9,19,426,526,1
1815100026,6,12,12,362,442,0
1815100026,6,12,12,362,442,0
1815100109,9,9,17,409,490,1
1815100109,9,9,17,409,490,1
1815100177,7,5,26,440,494,1
1815100177,7,5,26,440,494,1
1815100302,3,10,17,358,416,0
1815100302,3,10,17,358,416,0
1815100487,9,3,17,518,550,1
1815100487,9,3,17,518,550,1
1815100711,10,11,17,360,417,0
1815100711,10,11,17,360,417,0
1815100810,4,5,16,324,318,1
1815100810,4,5,16,324,318,1
1815100853,5,2,9,390,308,1
1815100853,5,2,9,390,308,1
1815105167,11,6,13,473,613,1
1815105167,11,6,13,473,613,1
1815105210,6,5,19,338,334,1
1815105210,6,5,19,338,334,1
1815105642,27,6,11,680,586,1
1815105642,27,6,11,680,586,1
1815105699,8,10,33,422,570,0
1815105699,8,10,33,422,570,0
1815105896,11,5,14,451,570,1
1815105896,11,5,14,451,570,1
1815105924,2,7,8,252,308,0
1815105924,2,7,8,252,308,0
1815106077,7,5,21,407,480,1
1815106077,7,5,21,407,480,1
1815106478,7,12,24,326,415,0
1815106478,7,12,24,326,415,0
1815106505,11,14,17,432,535,0
1815106505,11,14,17,432,535,0
1815106508,2,7,8,216,119,1
1815106508,2,7,8,216,119,1
1815106551,7,10,25,418,555,1
1815106551,7,10,25,418,555,1
1815106621,6,4,19,378,466,1
1815106621,6,4,19,378,466,1
1815106788,5,11,11,275,347,0
1815106788,5,11,11,275,347,0
1815106790,11,8,18,484,432,1
1815106790,11,8,18,484,432,1
1815107017,2,7,12,258,298,0
1815107017,2,7,12,258,298,0
1815107072,5,9,7,422,400,0
1815107072,5,9,7,422,400,0
1815107136,18,5,21,667,727,1
1815107136,18,5,21,667,727,1
1815107471,13,14,32,408,582,1
1815107471,13,14,32,408,582,1
1815107719,0,10,11,327,330,0
1815107719,0,10,11,327,330,0
1815107741,5,12,20,372,500,0
1815107741,5,12,20,372,500,0
1815107893,5,9,21,367,470,0
1815107893,5,9,21,367,470,0
1815108027,17,2,18,583,805,1
1815108027,17,2,18,583,805,1
1815108083,9,2,13,551,525,1
1815108083,9,2,13,551,525,1
1815108175,21,10,37,540,480,1
1815108175,21,10,37,540,480,1
1815108278,13,12,32,493,632,1
1815108278,13,12,32,493,632,1
1815108460,5,7,16,460,525,1
1815108460,5,7,16,460,525,1
1815108472,13,3,24,510,665,1
1815108472,13,3,24,510,665,1
1815108476,8,6,20,442,520,0
1815108476,8,6,20,442,520,0
1815108550,2,11,12,280,398,0
1815108550,2,11,12,280,398,0
1815108739,9,7,26,450,554,1
1815108739,9,7,26,450,554,1
1815108743,3,5,2,310,273,0
1815108743,3,5,2,310,273,0
1815108744,9,5,21,510,685,1
1815108744,9,5,21,510,685,1
1815108778,8,12,16,372,459,0
1815108778,8,12,16,372,459,0
1815108886,11,8,18,508,633,0
1815108886,11,8,18,508,633,0
1815109254,11,4,20,524,548,1
1815109254,11,4,20,524,548,1
1815109443,3,16,17,243,254,0
1815109443,3,16,17,243,254,0
1815109514,11,6,41,348,464,1
1815109514,11,6,41,348,464,1
1815109551,13,14,19,452,598,0
1815109551,13,14,19,452,598,0
1815109620,21,6,17,531,685,1
1815109620,21,6,17,531,685,1
1815109637,14,6,24,579,654,1
1815109637,14,6,24,579,654,1
1815109735,9,7,12,450,574,1
1815109735,9,7,12,450,574,1
1815109781,7,4,22,471,604,1
1815109781,7,4,22,471,604,1
1815110012,9,6,19,385,335,1
1815110012,9,6,19,385,335,1
1815110360,7,8,12,420,523,0
1815110360,7,8,12,420,523,0
1815110368,7,13,7,342,375,0
1815110368,7,13,7,342,375,0
1815110480,10,9,8,386,579,0
1815110480,10,9,8,386,579,0
1815110489,6,5,29,437,547,1
1815110489,6,5,29,437,547,1
1815110492,5,4,16,450,496,1
1815110492,5,4,16,450,496,1
1815110656,9,8,19,553,665,1
1815110656,9,8,19,553,665,1
1815110924,2,11,7,170,150,0
1815110924,2,11,7,170,150,0
1815110960,4,6,4,309,428,0
1815110960,4,6,4,309,428,0
1815111060,5,11,9,368,477,0
1815111060,5,11,9,368,477,0
1815111121,15,4,13,569,599,1
1815111121,15,4,13,569,599,1
1815111140,14,1,8,518,456,1
1815111140,14,1,8,518,456,1
1815111157,9,1,13,409,561,0
1815111157,9,1,13,409,561,0
1815111353,1,2,0,144,64,0
1815111353,1,2,0,144,64,0
1815111389,31,2,15,647,665,1
1815111389,31,2,15,647,665,1
1815111836,8,2,9,507,441,1
1815111836,8,2,9,507,441,1
1815112067,16,5,17,545,627,1
1815112067,16,5,17,545,627,1
1815112650,12,14,17,426,561,0
1815112650,12,14,17,426,561,0
1815112729,4,6,9,460,520,0
1815112729,4,6,9,460,520,0
1815113027,13,4,14,553,629,1
1815113027,13,4,14,553,629,1
1815113082,10,8,22,523,635,1
1815113082,10,8,22,523,635,1
1815113260,13,1,15,494,630,1
1815113260,13,1,15,494,630,1
1815113500,4,7,12,296,364,0
1815113500,4,7,12,296,364,0
1815113585,6,9,24,300,383,1
1815113585,6,9,24,300,383,1
1815113586,11,10,21,365,548,0
1815113586,11,10,21,365,548,0
1815113793,19,6,16,599,827,1
1815113793,19,6,16,599,827,1
1815113807,2,6,13,340,381,1
1815113807,2,6,13,340,381,1
1815113849,14,9,13,514,700,1
1815113849,14,9,13,514,700,1
1815113881,11,9,23,432,567,1
1815113881,11,9,23,432,567,1
1815113894,10,4,8,373,554,1
1815113894,10,4,8,373,554,1
1815114055,3,8,20,377,509,0
1815114055,3,8,20,377,509,0
1815114075,7,10,23,488,502,1
1815114075,7,10,23,488,502,1
1815114134,9,13,14,592,664,1
1815114134,9,13,14,592,664,1
1815114157,20,4,11,618,791,1
1815114157,20,4,11,618,791,1
1815114551,9,15,22,389,520,0
1815114551,9,15,22,389,520,0
1815114623,7,2,21,469,518,1
1815114623,7,2,21,469,518,1
1815114859,6,10,12,417,582,0
1815114859,6,10,12,417,582,0
1815114891,12,4,17,426,595,0
1815114891,12,4,17,426,595,0
1815114958,4,7,4,283,212,0
1815114958,4,7,4,283,212,0
1815115063,16,6,17,620,789,1
1815115063,16,6,17,620,789,1
1815115159,3,10,11,330,235,0
1815115159,3,10,11,330,235,0
1815115227,8,6,26,457,473,1
1815115227,8,6,26,457,473,1
1815115342,14,5,17,444,563,1
1815115342,14,5,17,444,563,1
1815115635,5,18,21,354,466,0
1815115635,5,18,21,354,466,0
1815115693,21,6,9,622,556,1
1815115693,21,6,9,622,556,1
1815116128,3,5,11,351,428,0
1815116128,3,5,11,351,428,0
1815116180,8,5,17,415,524,1
1815116180,8,5,17,415,524,1
1815116203,11,6,25,489,583,1
1815116203,11,6,25,489,583,1
1815116364,6,9,13,316,371,0
1815116364,6,9,13,316,371,0
1815116461,7,3,8,597,617,1
1815116461,7,3,8,597,617,1
1815116471,17,6,17,505,673,1
1815116471,17,6,17,505,673,1
1815116582,11,6,25,470,570,1
1815116582,11,6,25,470,570,1
1815116740,3,10,20,320,466,0
1815116740,3,10,20,320,466,0
1815116829,17,13,33,568,547,1
1815116829,17,13,33,568,547,1
1815116956,12,9,15,518,592,1
1815116956,12,9,15,518,592,1
1815116992,16,5,23,509,614,1
1815116992,16,5,23,509,614,1
1815117034,9,11,18,453,590,0
1815117034,9,11,18,453,590,0
1815117463,2,10,8,243,264,0
1815117463,2,10,8,243,264,0
1815117582,8,6,20,489,586,1
1815117582,8,6,20,489,586,1
1815117919,13,8,17,569,672,1
1815117919,13,8,17,569,672,1
1815118183,14,5,15,474,704,1
1815118183,14,5,15,474,704,1
1815118222,19,2,13,583,605,1
1815118222,19,2,13,583,605,1
1815118237,2,6,12,416,479,1
1815118237,2,6,12,416,479,1
1815118813,6,9,9,287,316,0
1815118813,6,9,9,287,316,0
1815119204,16,9,21,500,578,1
1815119204,16,9,21,500,578,1
1815119268,7,11,6,397,541,0
1815119268,7,11,6,397,541,0
1815119345,14,3,25,486,503,1
1815119345,14,3,25,486,503,1
1815119527,19,5,23,665,731,1
1815119527,19,5,23,665,731,1
1815119705,10,7,16,460,525,1
1815119705,10,7,16,460,525,1
1815119947,10,5,22,592,641,1
1815119947,10,5,22,592,641,1
1815120162,10,8,31,516,669,1
1815120162,10,8,31,516,669,1
1815120540,7,3,20,439,576,1
1815120540,7,3,20,439,576,1
1815120551,9,3,22,401,546,1
1815120551,9,3,22,401,546,1
1815120564,12,6,23,477,605,0
1815120564,12,6,23,477,605,0
1815120832,12,10,9,601,587,1
1815120832,12,10,9,601,587,1
1815120839,30,10,24,544,467,1
1815120839,30,10,24,544,467,1
1815120922,14,8,22,495,548,1
1815120922,14,8,22,495,548,1
1815121319,4,14,5,257,344,0
1815121319,4,14,5,257,344,0
1815121414,3,7,17,249,153,1
1815121414,3,7,17,249,153,1
1815121603,11,3,14,428,537,0
1815121603,11,3,14,428,537,0
1815121803,10,12,22,321,347,0
1815121803,10,12,22,321,347,0
1815121829,6,15,11,344,420,0
1815121829,6,15,11,344,420,0
1815121868,6,10,7,330,317,0
1815121868,6,10,7,330,317,0
1815121885,4,10,5,276,295,0
1815121885,4,10,5,276,295,0
1815121898,8,2,12,442,504,1
1815121898,8,2,12,442,504,1
1815121997,9,5,21,418,549,0
1815121997,9,5,21,418,549,0
1815122077,6,15,28,335,454,0
1815122077,6,15,28,335,454,0
1815122216,16,8,23,470,573,1
1815122216,16,8,23,470,573,1
1815122219,9,0,17,539,602,1
1815122219,9,0,17,539,602,1
1815122525,7,7,9,392,416,0
1815122525,7,7,9,392,416,0
1815122537,10,6,23,446,716,1
1815122537,10,6,23,446,716,1
1815122556,1,14,7,201,220,0
1815122556,1,14,7,201,220,0
1815122886,2,4,16,448,404,1
1815122886,2,4,16,448,404,1
1815122932,13,7,32,605,697,1
1815122932,13,7,32,605,697,1
1815123155,17,5,18,541,635,1
1815123155,17,5,18,541,635,1
1815123258,16,13,16,440,570,0
1815123258,16,13,16,440,570,0
1815123294,16,13,24,452,612,0
1815123294,16,13,24,452,612,0
1815098779,12,9,23,450,485,1
1815098779,12,9,23,450,485,1
1815098800,8,11,16,310,391,0
1815098800,8,11,16,310,391,0
1815098825,9,6,19,446,542,1
1815098825,9,6,19,446,542,1
1815098839,7,12,19,416,539,0
1815098839,7,12,19,416,539,0
1815098919,7,9,12,372,534,0
1815098919,7,9,12,372,534,0
1815099004,22,2,16,616,664,0
1815099004,22,2,16,616,664,0
1815099058,2,14,8,247,284,0
1815099058,2,14,8,247,284,0
1815099191,7,9,19,362,427,0
1815099191,7,9,19,362,427,0
1815099212,27,6,24,592,628,1
1815099212,27,6,24,592,628,1
1815099386,14,7,8,362,485,0
1815099386,14,7,8,362,485,0
1815099733,7,12,23,411,458,1
1815099733,7,12,23,411,458,1
1815099757,11,6,40,476,588,1
1815099757,11,6,40,476,588,1
1815099792,9,6,18,495,634,1
1815099792,9,6,18,495,634,1
1815100483,4,8,21,269,360,0
1815100483,4,8,21,269,360,0
1815100485,13,6,32,503,530,1
1815100485,13,6,32,503,530,1
1815105213,9,4,12,388,453,1
1815105213,9,4,12,388,453,1
1815105309,9,4,26,525,669,1
1815105309,9,4,26,525,669,1
1815105387,6,10,13,397,469,0
1815105387,6,10,13,397,469,0
1815105458,2,8,13,332,458,0
1815105458,2,8,13,332,458,0
1815105545,10,5,23,514,654,1
1815105545,10,5,23,514,654,1
1815105613,4,9,18,365,358,1
1815105613,4,9,18,365,358,1
1815105722,23,4,17,594,698,1
1815105722,23,4,17,594,698,1
1815105746,9,13,19,465,459,1
1815105746,9,13,19,465,459,1
1815105882,9,6,12,421,677,0
1815105882,9,6,12,421,677,0
1815106141,5,16,28,346,490,1
1815106141,5,16,28,346,490,1
