id,k,d,a,gpm,xpm,win
1815098804,5,9,30,453,560,1
1815098804,5,9,30,453,560,1
1815098931,6,9,18,334,416,1
1815098931,6,9,18,334,416,1
1815099145,13,10,11,379,514,0
1815099145,13,10,11,379,514,0
1815100494,13,16,16,319,371,0
1815100494,13,16,16,319,371,0
1815105232,13,10,20,441,514,1
1815105232,13,10,20,441,514,1
1815105657,22,10,23,528,626,1
1815105657,22,10,23,528,626,1
1815105721,7,11,14,365,426,1
1815105721,7,11,14,365,426,1
1815106616,5,8,7,305,363,0
1815106616,5,8,7,305,363,0
1815107097,11,8,12,395,423,1
1815107097,11,8,12,395,423,1
1815108053,7,9,17,286,373,0
1815108053,7,9,17,286,373,0
1815108195,4,9,17,395,459,1
1815108195,4,9,17,395,459,1
1815108505,13,5,23,493,648,1
1815108505,13,5,23,493,648,1
1815109189,1,16,10,208,233,0
1815109189,1,16,10,208,233,0
1815109513,11,5,15,512,444,1
1815109513,11,5,15,512,444,1
1815109854,3,7,22,340,440,1
1815109854,3,7,22,340,440,1
1815110202,4,12,14,320,367,0
1815110202,4,12,14,320,367,0
1815110721,7,5,17,343,458,1
1815110721,7,5,17,343,458,1
1815111124,3,6,19,371,344,1
1815111124,3,6,19,371,344,1
1815111286,3,5,8,388,344,1
1815111286,3,5,8,388,344,1
1815111443,5,12,8,257,294,0
1815111443,5,12,8,257,294,0
1815111940,6,4,14,457,503,1
1815111940,6,4,14,457,503,1
1815112494,4,12,11,223,228,0
1815112494,4,12,11,223,228,0
1815112755,17,7,14,523,613,1
1815112755,17,7,14,523,613,1
1815113007,2,8,18,302,335,1
1815113007,2,8,18,302,335,1
1815113063,1,14,13,223,268,0
1815113063,1,14,13,223,268,0
1815113471,9,13,20,357,515,1
1815113471,9,13,20,357,515,1
1815113859,7,6,5,395,490,0
1815113859,7,6,5,395,490,0
1815113892,12,14,11,396,457,1
1815113892,12,14,11,396,457,1
1815114180,7,1,13,447,454,1
1815114180,7,1,13,447,454,1
1815114614,6,4,20,405,485,1
1815114614,6,4,20,405,485,1
1815114848,0,11,7,182,145,0
1815114848,0,11,7,182,145,0
1815114909,7,9,23,478,654,1
1815114909,7,9,23,478,654,1
1815116249,11,8,15,347,484,0
1815116249,11,8,15,347,484,0
1815117120,15,1,13,617,684,1
1815117120,15,1,13,617,684,1
1815117894,14,12,24,335,433,0
1815117894,14,12,24,335,433,0
1815118857,16,10,10,355,428,0
1815118857,16,10,10,355,428,0
1815120043,8,4,13,407,413,1
1815120043,8,4,13,407,413,1
1815120385,9,15,28,372,522,1
1815120385,9,15,28,372,522,1
1815121225,3,9,9,244,281,0
1815121225,3,9,9,244,281,0
1815121927,5,5,16,322,349,1
1815121927,5,5,16,322,349,1
1815122714,6,12,22,331,351,1
1815122714,6,12,22,331,351,1
1815123046,11,9,21,463,489,1
1815123046,11,9,21,463,489,1
1815098869,8,13,12,277,330,0
1815098869,8,13,12,277,330,0
1815099163,20,5,22,564,692,1
1815099163,20,5,22,564,692,1
1815099716,6,9,22,424,439,1
1815099716,6,9,22,424,439,1
1815100365,8,5,21,353,486,0
1815100365,8,5,21,353,486,0
1815100532,7,6,19,420,440,1
1815100532,7,6,19,420,440,1
1815100590,6,10,15,255,318,0
1815100590,6,10,15,255,318,0
1815105267,9,7,14,387,357,1
1815105267,9,7,14,387,357,1
1815105308,9,7,22,397,529,1
1815105308,9,7,22,397,529,1
1815105398,14,8,24,442,591,1
1815105398,14,8,24,442,591,1
1815105448,7,9,13,315,391,0
1815105448,7,9,13,315,391,0
1815105849,9,15,35,332,491,0
1815105849,9,15,35,332,491,0
1815106675,4,5,17,380,470,1
1815106675,4,5,17,380,470,1
1815106780,5,7,4,208,187,0
1815106780,5,7,4,208,187,0
1815106828,11,14,18,369,568,0
1815106828,11,14,18,369,568,0
1815106997,12,9,21,407,437,1
1815106997,12,9,21,407,437,1
1815107392,11,11,13,335,397,0
1815107392,11,11,13,335,397,0
1815108402,3,10,12,301,324,0
1815108402,3,10,12,301,324,0
1815109079,18,6,25,531,522,1
