id,k,d,a,gpm,xpm,win
1815098837,9,3,13,542,542,1
1815098837,9,3,13,542,542,1
1815098954,16,4,11,637,784,1
1815098954,16,4,11,637,784,1
1815099098,11,10,4,404,537,0
1815099098,11,10,4,404,537,0
1815099515,2,9,7,300,311,0
1815099515,2,9,7,300,311,0
1815099663,11,10,17,495,502,1
1815099663,11,10,17,495,502,1
1815100053,7,1,12,457,449,1
1815100053,7,1,12,457,449,1
1815100592,8,5,1,477,497,0
1815100592,8,5,1,477,497,0
1815100727,8,13,10,354,394,0
1815100727,8,13,10,354,394,0
1815100781,3,10,9,290,321,0
1815100781,3,10,9,290,321,0
1815105321,5,6,10,438,514,1
1815105321,5,6,10,438,514,1
1815105385,1,12,5,328,288,0
1815105385,1,12,5,328,288,0
1815105494,12,14,9,504,754,0
1815105494,12,14,9,504,754,0
1815105547,8,12,12,455,643,0
1815105547,8,12,12,455,643,0
1815105631,4,14,18,465,529,1
1815105631,4,14,18,465,529,1
1815105958,12,0,10,680,667,1
1815105958,12,0,10,680,667,1
1815106287,6,3,22,463,606,1
1815106287,6,3,22,463,606,1
1815106491,15,3,9,627,800,1
1815106491,15,3,9,627,800,1
1815106528,9,12,16,363,436,0
1815106528,9,12,16,363,436,0
1815106616,14,5,9,511,612,1
1815106616,14,5,9,511,612,1
1815106732,1,20,7,339,310,0
1815106732,1,20,7,339,310,0
1815107062,21,7,23,753,469,0
1815107062,21,7,23,753,469,0
1815107185,5,6,14,531,517,1
1815107185,5,6,14,531,517,1
1815107585,15,10,19,559,745,1
1815107585,15,10,19,559,745,1
1815107780,20,3,7,718,793,1
1815107780,20,3,7,718,793,1
1815107813,5,3,6,391,465,0
1815107813,5,3,6,391,465,0
1815108112,20,2,17,613,734,1
1815108112,20,2,17,613,734,1
1815108190,4,4,5,509,526,0
1815108190,4,4,5,509,526,0
1815108195,14,12,14,420,629,0
1815108195,14,12,14,420,629,0
1815108454,6,10,4,367,417,0
1815108454,6,10,4,367,417,0
1815108500,6,10,6,379,445,0
1815108500,6,10,6,379,445,0
1815108505,11,11,6,436,634,0
1815108505,11,11,6,436,634,0
1815108703,20,6,29,619,591,1
1815108703,20,6,29,619,591,1
1815108872,4,9,4,301,330,0
1815108872,4,9,4,301,330,0
1815108927,15,11,9,488,594,0
1815108927,15,11,9,488,594,0
1815109047,21,10,16,639,660,1
1815109047,21,10,16,639,660,1
1815109189,28,5,21,577,727,1
1815109189,28,5,21,577,727,1
1815109218,12,12,11,527,670,1
1815109218,12,12,11,527,670,1
1815109255,5,6,8,341,377,0
1815109255,5,6,8,341,377,0
1815109513,10,11,6,337,339,0
1815109513,10,11,6,337,339,0
1815109621,10,6,16,516,496,0
1815109621,10,6,16,516,496,0
1815109632,20,2,7,624,774,1
1815109632,20,2,7,624,774,1
1815109702,20,15,28,582,444,1
1815109702,20,15,28,582,444,1
1815109752,20,15,7,576,743,0
1815109752,20,15,7,576,743,0
1815110088,19,7,7,613,769,1
1815110088,19,7,7,613,769,1
1815110202,20,7,3,699,913,0
1815110202,20,7,3,699,913,0
1815110203,24,10,11,636,790,1
1815110203,24,10,11,636,790,1
1815110471,19,8,21,589,602,0
1815110471,19,8,21,589,602,0
1815111124,6,5,19,471,593,1
1815111124,6,5,19,471,593,1
1815111838,43,4,16,816,595,1
1815111838,43,4,16,816,595,1
1815111850,8,9,3,372,344,0
1815111850,8,9,3,372,344,0
1815111853,3,7,1,300,295,0
1815111853,3,7,1,300,295,0
1815112400,32,4,19,652,880,1
1815112400,32,4,19,652,880,1
1815112494,26,0,12,733,860,1
1815112494,26,0,12,733,860,1
1815113067,11,10,11,418,475,1
1815113067,11,10,11,418,475,1
1815113471,5,10,16,250,366,0
1815113471,5,10,16,250,366,0
1815113759,23,5,8,711,900,1
1815113759,23,5,8,711,900,1
1815113892,6,12,15,355,478,0
1815113892,6,12,15,355,478,0
1815114012,0,6,4,249,203,0
1815114012,0,6,4,249,203,0
1815114180,2,8,1,194,205,0
1815114180,2,8,1,194,205,0
1815114302,2,8,5,266,151,1
1815114302,2,8,5,266,151,1
1815114361,14,4,18,622,749,1
1815114361,14,4,18,622,749,1
1815114531,6,13,5,426,537,0
1815114531,6,13,5,426,537,0
1815114614,15,8,8,579,818,0
1815114614,15,8,8,579,818,0
1815114640,2,6,2,249,320,0
1815114640,2,6,2,249,320,0
1815114812,10,5,23,462,563,1
1815114812,10,5,23,462,563,1
1815114848,23,3,17,789,718,1
1815114848,23,3,17,789,718,1
1815114909,9,13,15,415,533,0
1815114909,9,13,15,415,533,0
1815114960,29,11,16,632,724,1
1815114960,29,11,16,632,724,1
1815115117,13,3,8,699,635,1
1815115117,13,3,8,699,635,1
1815115377,12,12,20,528,564,1
1815115377,12,12,20,528,564,1
1815115931,11,9,7,451,597,0
1815115931,11,9,7,451,597,0
1815116043,11,2,12,492,537,1
1815116043,11,2,12,492,537,1
1815116051,10,2,10,653,617,1
1815116051,10,2,10,653,617,1
1815116508,10,9,15,445,488,0
1815116508,10,9,15,445,488,0
1815116993,14,1,13,539,684,1
1815116993,14,1,13,539,684,1
1815117139,23,6,10,510,588,0
1815117139,23,6,10,510,588,0
1815117152,4,7,11,402,359,1
1815117152,4,7,11,402,359,1
1815117316,6,10,19,391,503,0
1815117316,6,10,19,391,503,0
1815117882,12,5,22,666,890,1
1815117882,12,5,22,666,890,1
1815117916,6,5,7,462,472,1
1815117916,6,5,7,462,472,1
1815118309,6,4,7,417,560,0
1815118309,6,4,7,417,560,0
1815118564,11,1,16,486,546,1
1815118564,11,1,16,486,546,1
