id,k,d,a,gpm,xpm,win
1815099515,11,1,14,581,597,1
1815099515,11,1,14,581,597,1
1815100763,23,8,14,751,613,0
1815100763,23,8,14,751,613,0
1815105337,13,10,7,564,600,1
1815105337,13,10,7,564,600,1
1815105760,7,14,16,332,299,0
1815105760,7,14,16,332,299,0
1815107582,9,4,14,521,366,1
1815107582,9,4,14,521,366,1
1815107780,5,4,14,607,542,1
1815107780,5,4,14,607,542,1
1815108703,3,13,9,327,405,0
1815108703,3,13,9,327,405,0
1815110866,9,1,13,449,395,1
1815110866,9,1,13,449,395,1
1815111124,10,3,11,585,656,1
1815111124,10,3,11,585,656,1
1815113363,5,5,8,443,555,0
1815113363,5,5,8,443,555,0
1815114057,13,9,14,541,526,1
1815114057,13,9,14,541,526,1
1815116043,4,8,8,281,323,0
1815116043,4,8,8,281,323,0
1815116052,5,8,17,473,576,1
1815116052,5,8,17,473,576,1
1815116460,1,9,6,210,164,0
1815116460,1,9,6,210,164,0
1815118138,29,11,14,728,644,1
1815118138,29,11,14,728,644,1
1815119958,14,4,9,716,740,1
1815119958,14,4,9,716,740,1
1815120653,4,2,10,440,356,1
1815120653,4,2,10,440,356,1
1815120947,6,10,5,360,413,0
1815120947,6,10,5,360,413,0
1815121172,9,6,2,447,453,1
1815121172,9,6,2,447,453,1
1815122222,8,6,10,469,534,0
1815122222,8,6,10,469,534,0
1815099232,9,3,13,454,422,1
1815099232,9,3,13,454,422,1
1815100348,11,6,9,521,665,0
1815100348,11,6,9,521,665,0
1815100556,5,12,15,294,335,0
1815100556,5,12,15,294,335,0
1815100570,15,11,9,515,553,0
1815100570,15,11,9,515,553,0
1815105209,12,9,8,563,540,1
1815105209,12,9,8,563,540,1
1815105356,9,3,9,618,675,1
1815105356,9,3,9,618,675,1
1815106010,12,1,6,683,639,1
1815106010,12,1,6,683,639,1
1815106983,8,12,11,619,515,1
1815106983,8,12,11,619,515,1
1815106997,2,13,5,272,316,0
1815106997,2,13,5,272,316,0
1815107696,0,0,0,494,150,0
1815107696,0,0,0,494,150,0
1815108799,0,7,4,321,434,0
1815108799,0,7,4,321,434,0
1815109079,17,15,10,457,519,0
1815109079,17,15,10,457,519,0
1815109431,14,2,9,752,751,1
1815109431,14,2,9,752,751,1
1815110720,5,10,10,387,483,0
1815110720,5,10,10,387,483,0
1815113619,12,7,16,561,656,1
1815113619,12,7,16,561,656,1
1815114295,9,0,7,565,615,1
1815114295,9,0,7,565,615,1
1815117497,0,9,9,207,209,0
1815117497,0,9,9,207,209,0
1815118236,26,16,26,630,452,1
1815118236,26,16,26,630,452,1
1815120931,14,10,9,584,605,1
1815120931,14,10,9,584,605,1
1815098692,3,11,9,347,359,0
1815098692,3,11,9,347,359,0
1815099139,11,9,10,467,519,1
1815099139,11,9,10,467,519,1
1815099143,4,4,8,356,267,1
1815099143,4,4,8,356,267,1
1815099258,13,20,3,401,442,0
1815099258,13,20,3,401,442,0
1815099270,1,11,5,279,379,0
1815099270,1,11,5,279,379,0
1815099283,9,9,14,451,561,1
1815099283,9,9,14,451,561,1
1815099382,11,1,4,628,690,1
1815099382,11,1,4,628,690,1
1815099388,13,4,18,514,583,1
1815099388,13,4,18,514,583,1
1815099452,4,15,15,272,328,0
1815099452,4,15,15,272,328,0
1815099465,4,11,8,275,267,0
1815099465,4,11,8,275,267,0
1815099528,6,14,12,284,274,0
1815099528,6,14,12,284,274,0
1815099570,6,20,13,296,392,0
1815099570,6,20,13,296,392,0
1815099774,9,5,18,473,526,1
1815099774,9,5,18,473,526,1
1815099799,7,10,10,370,430,0
1815099799,7,10,10,370,430,0
1815099830,20,11,23,540,626,1
1815099830,20,11,23,540,626,1
1815099868,3,1,16,523,525,1
1815099868,3,1,16,523,525,1
1815099987,3,3,5,472,408,1
1815099987,3,3,5,472,408,1
1815100158,0,11,1,295,280,0
1815100158,0,11,1,295,280,0
1815100198,8,16,26,392,479,1
1815100198,8,16,26,392,479,1
1815100244,9,14,15,348,443,0
1815100244,9,14,15,348,443,0
1815100376,8,13,11,355,408,0
1815100376,8,13,11,355,408,0
1815100462,18,5,21,575,627,1
1815100462,18,5,21,575,627,1
1815100571,12,14,11,371,421,1
1815100571,12,14,11,371,421,1
1815100603,1,13,12,266,336,0
1815100603,1,13,12,266,336,0
1815100711,6,10,10,415,343,1
1815100711,6,10,10,415,343,1
1815100716,14,14,13,437,551,0
1815100716,14,14,13,437,551,0
1815100736,6,12,8,491,524,0
1815100736,6,12,8,491,524,0
1815105199,10,5,19,701,870,1
1815105199,10,5,19,701,870,1
1815105400,12,6,16,568,684,1
1815105400,12,6,16,568,684,1
1815105438,11,8,12,470,569,0
1815105438,11,8,12,470,569,0
1815105483,5,15,7,306,334,0
1815105483,5,15,7,306,334,0
1815105493,4,8,9,366,419,0
1815105493,4,8,9,366,419,0
1815105503,4,11,13,357,503,0
1815105503,4,11,13,357,503,0
1815105598,2,16,6,238,240,0
1815105598,2,16,6,238,240,0
1815105628,3,18,14,297,374,0
1815105628,3,18,14,297,374,0
1815105640,15,4,16,544,532,1
1815105640,15,4,16,544,532,1
1815105711,5,6,10,416,439,1
1815105711,5,6,10,416,439,1
1815105744,19,5,14,644,679,1
1815105744,19,5,14,644,679,1
1815105834,4,12,14,322,346,0
1815105834,4,12,14,322,346,0
1815105837,2,12,16,368,317,1
1815105837,2,12,16,368,317,1
1815105937,9,8,9,423,319,1
1815105937,9,8,9,423,319,1
1815106037,12,7,18,399,412,1
1815106037,12,7,18,399,412,1
1815106082,16,6,17,643,620,1
1815106082,16,6,17,643,620,1
1815106218,5,13,9,277,288,0
1815106218,5,13,9,277,288,0
1815106231,4,11,23,291,407,0
1815106231,4,11,23,291,407,0
1815106300,8,7,6,469,516,0
1815106300,8,7,6,469,516,0
1815106464,9,11,11,390,437,0
1815106464,9,11,11,390,437,0
1815106489,2,1,6,346,278,1
1815106489,2,1,6,346,278,1
1815106804,3,6,15,483,503,1
1815106804,3,6,15,483,503,1
1815106857,2,17,24,364,469,1
1815106857,2,17,24,364,469,1
1815106914,26,13,14,572,502,0
1815106914,26,13,14,572,502,0
1815106970,8,11,13,458,476,0
1815106970,8,11,13,458,476,0
1815107049,18,8,10,513,665,0
1815107049,18,8,10,513,665,0
1815107189,5,2,8,431,400,1
1815107189,5,2,8,431,400,1
1815107479,15,10,8,398,509,0
1815107479,15,10,8,398,509,0
1815107506,6,11,18,315,434,0
1815107506,6,11,18,315,434,0
1815107693,15,8,10,534,626,0
1815107693,15,8,10,534,626,0
1815107704,8,7,14,548,561,1
1815107704,8,7,14,548,561,1
1815107725,6,4,11,424,525,1
1815107725,6,4,11,424,525,1
1815107845,1,11,11,273,326,0
1815107845,1,11,11,273,326,0
1815108160,15,13,12,540,586,0
1815108160,15,13,12,540,586,0
1815108466,10,6,18,607,571,1
1815108466,10,6,18,607,571,1
1815108577,6,8,6,282,355,0
1815108577,6,8,6,282,355,0
1815108898,1,11,6,243,199,0
1815108898,1,11,6,243,199,0
1815108925,3,13,7,298,316,0
1815108925,3,13,7,298,316,0
1815109172,9,3,12,610,631,1
1815109172,9,3,12,610,631,1
1815109314,4,1,7,547,565,1
1815109314,4,1,7,547,565,1
1815109331,3,14,10,296,343,0
1815109331,3,14,10,296,343,0
1815109360,6,14,14,360,451,0
1815109360,6,14,14,360,451,0
1815109378,11,17,16,420,459,1
1815109378,11,17,16,420,459,1
1815109484,17,8,13,534,587,1
1815109484,17,8,13,534,587,1
1815109637,9,12,15,377,405,0
1815109637,9,12,15,377,405,0
1815109689,3,5,4,251,252,0
1815109689,3,5,4,251,252,0
1815109764,9,16,9,373,446,0
1815109764,9,16,9,373,446,0
1815109835,7,9,7,507,573,1
1815109835,7,9,7,507,573,1
1815110011,6,9,12,407,574,0
1815110011,6,9,12,407,574,0
1815110147,6,11,14,495,496,1
1815110147,6,11,14,495,496,1
1815110158,4,10,20,353,439,1
1815110158,4,10,20,353,439,1
1815110160,16,6,6,550,568,0
1815110160,16,6,6,550,568,0
1815110258,3,11,7,237,225,0
1815110258,3,11,7,237,225,0
1815110371,6,11,6,317,334,0
1815110371,6,11,6,317,334,0
1815110393,3,17,21,249,271,0
1815110393,3,17,21,249,271,0
1815110445,6,14,5,356,362,0
1815110445,6,14,5,356,362,0
1815110548,2,12,4,201,200,0
1815110548,2,12,4,201,200,0
1815110722,5,5,8,380,365,0
1815110722,5,5,8,380,365,0
1815110959,12,7,15,552,676,1
1815110959,12,7,15,552,676,1
1815110985,0,17,1,197,287,0
1815110985,0,17,1,197,287,0
1815111102,3,10,3,253,259,0
1815111102,3,10,3,253,259,0
1815111212,12,7,20,542,627,1
1815111212,12,7,20,542,627,1
1815111356,5,9,5,396,459,0
1815111356,5,9,5,396,459,0
1815111518,7,7,9,385,441,1
1815111518,7,7,9,385,441,1
1815111543,11,11,15,381,456,0
1815111543,11,11,15,381,456,0
