id,k,d,a,gpm,xpm,win
1815098837,8,8,11,411,372,1
1815098837,8,8,11,411,372,1
1815098954,4,7,6,301,228,1
1815098954,4,7,6,301,228,1
1815099145,8,13,8,331,326,0
1815099145,8,13,8,331,326,0
1815100024,11,7,4,401,340,1
1815100024,11,7,4,401,340,1
1815100576,1,0,0,181,26,0
1815100576,1,0,0,181,26,0
1815100592,5,5,2,267,143,0
1815100592,5,5,2,267,143,0
1815100823,9,3,1,233,259,0
1815100823,9,3,1,233,259,0
1815105470,4,10,8,378,329,0
1815105470,4,10,8,378,329,0
1815105821,11,13,2,293,201,1
1815105821,11,13,2,293,201,1
1815106167,9,13,7,341,296,0
1815106167,9,13,7,341,296,0
1815106472,19,12,7,447,411,1
1815106472,19,12,7,447,411,1
1815106528,9,10,15,305,440,0
1815106528,9,10,15,305,440,0
1815107062,7,18,7,381,330,1
1815107062,7,18,7,381,330,1
1815107185,7,7,2,232,206,0
1815107185,7,7,2,232,206,0
1815107439,4,15,1,280,262,0
1815107439,4,15,1,280,262,0
1815107493,15,14,14,433,507,0
1815107493,15,14,14,433,507,0
1815107796,15,8,9,416,461,1
1815107796,15,8,9,416,461,1
1815108438,10,14,6,413,377,1
1815108438,10,14,6,413,377,1
1815109189,9,17,7,321,336,0
1815109189,9,17,7,321,336,0
1815109435,14,8,9,392,435,1
1815109435,14,8,9,392,435,1
1815109702,18,8,10,380,444,0
1815109702,18,8,10,380,444,0
1815109752,6,14,5,362,355,1
1815109752,6,14,5,362,355,1
1815109872,10,8,9,345,347,1
1815109872,10,8,9,345,347,1
1815109957,8,8,9,444,422,1
1815109957,8,8,9,444,422,1
1815110072,12,2,8,317,367,0
1815110072,12,2,8,317,367,0
1815110088,18,9,8,490,635,0
1815110088,18,9,8,490,635,0
1815110202,3,9,15,278,232,1
1815110202,3,9,15,278,232,1
1815110437,5,8,2,318,272,0
1815110437,5,8,2,318,272,0
1815110721,8,2,8,357,313,1
1815110721,8,2,8,357,313,1
1815111093,3,4,0,312,128,1
1815111093,3,4,0,312,128,1
1815111124,14,7,2,417,337,1
1815111124,14,7,2,417,337,1
1815111838,7,23,11,268,270,0
1815111838,7,23,11,268,270,0
1815112349,7,8,7,390,401,1
1815112349,7,8,7,390,401,1
1815112715,14,19,14,433,463,1
1815112715,14,19,14,433,463,1
1815113063,6,10,11,320,309,1
1815113063,6,10,11,320,309,1
1815113151,10,13,4,459,460,1
1815113151,10,13,4,459,460,1
1815113363,4,6,5,369,232,1
1815113363,4,6,5,369,232,1
1815113471,6,7,4,216,228,0
1815113471,6,7,4,216,228,0
1815113773,14,11,6,326,335,0
1815113773,14,11,6,326,335,0
1815113859,9,7,6,354,294,1
1815113859,9,7,6,354,294,1
1815114057,6,10,3,282,258,1
1815114057,6,10,3,282,258,1
1815114180,3,5,1,258,209,0
1815114180,3,5,1,258,209,0
1815114197,8,13,9,284,381,0
1815114197,8,13,9,284,381,0
1815114542,6,4,6,604,595,1
1815114542,6,4,6,604,595,1
1815114640,2,6,0,136,94,0
1815114640,2,6,0,136,94,0
1815115320,10,14,6,301,365,0
1815115320,10,14,6,301,365,0
1815116508,13,12,11,407,485,1
1815116508,13,12,11,407,485,1
1815117979,10,9,4,411,436,1
1815117979,10,9,4,411,436,1
1815118124,6,16,8,309,232,1
1815118124,6,16,8,309,232,1
1815118857,11,7,9,395,517,1
1815118857,11,7,9,395,517,1
1815119793,15,15,7,375,343,1
1815119793,15,15,7,375,343,1
1815120130,7,5,2,361,295,1
1815120130,7,5,2,361,295,1
1815120963,8,5,5,459,472,1
1815120963,8,5,5,459,472,1
1815121346,3,11,1,324,339,0
1815121346,3,11,1,324,339,0
1815121481,11,4,6,384,314,1
1815121481,11,4,6,384,314,1
1815121692,10,7,5,363,384,1
1815121692,10,7,5,363,384,1
1815121900,7,20,6,296,283,1
1815121900,7,20,6,296,283,1
1815122280,13,5,8,440,487,1
1815122280,13,5,8,440,487,1
1815122758,8,9,9,359,348,1
1815122758,8,9,9,359,348,1
1815123077,8,12,8,336,324,1
1815123077,8,12,8,336,324,1
1815123211,10,18,8,360,422,0
1815123211,10,18,8,360,422,0
1815098821,6,7,4,330,340,1
1815098821,6,7,4,330,340,1
1815099163,3,10,2,289,328,0
1815099163,3,10,2,289,328,0
1815099341,11,14,8,418,429,1
1815099341,11,14,8,418,429,1
1815099861,11,10,9,393,409,1
1815099861,11,10,9,393,409,1
1815099948,11,11,16,454,566,1
1815099948,11,11,16,454,566,1
1815100247,8,6,10,366,320,1
1815100247,8,6,10,366,320,1
1815100348,13,13,8,408,467,1
1815100348,13,13,8,408,467,1
1815100701,7,10,3,280,263,1
1815100701,7,10,3,280,263,1
1815105209,12,10,9,298,310,0
1815105209,12,10,9,298,310,0
1815105308,15,10,12,546,565,1
1815105308,15,10,12,546,565,1
1815105356,17,12,1,327,363,0
1815105356,17,12,1,327,363,0
1815105361,10,16,4,297,256,0
1815105361,10,16,4,297,256,0
1815106997,9,15,7,275,209,0
1815106997,9,15,7,275,209,0
1815107358,7,10,2,296,283,0
1815107358,7,10,2,296,283,0
1815108402,11,13,3,345,321,0
1815108402,11,13,3,345,321,0
1815108573,8,4,3,318,307,1
1815108573,8,4,3,318,307,1
1815108799,7,5,4,287,205,1
1815108799,7,5,4,287,205,1
1815109153,10,13,6,244,249,0
1815109153,10,13,6,244,249,0
1815109387,6,12,7,359,409,0
1815109387,6,12,7,359,409,0
1815109555,14,5,5,390,412,1
1815109555,14,5,5,390,412,1
1815109592,13,6,2,245,293,0
1815109592,13,6,2,245,293,0
1815111011,14,13,6,357,339,0
1815111011,14,13,6,357,339,0
1815111257,8,12,5,301,407,0
1815111257,8,12,5,301,407,0
1815111407,19,12,9,531,513,1
1815111407,19,12,9,531,513,1
1815111531,27,2,9,475,609,1
1815111531,27,2,9,475,609,1
1815111880,24,12,9,429,532,1
1815111880,24,12,9,429,532,1
1815113399,12,7,3,409,311,1
1815113399,12,7,3,409,311,1
1815113455,3,8,2,179,210,0
1815113455,3,8,2,179,210,0
1815114221,10,10,0,457,358,0
1815114221,10,10,0,457,358,0
1815114559,9,13,9,330,310,1
1815114559,9,13,9,330,310,1
1815115585,9,9,5,353,359,1
1815115585,9,9,5,353,359,1
1815116201,4,6,8,356,279,1
1815116201,4,6,8,356,279,1
1815116789,12,13,10,375,385,1
1815116789,12,13,10,375,385,1
1815116918,10,14,6,333,411,0
1815116918,10,14,6,333,411,0
1815117791,12,8,5,279,220,0
1815117791,12,8,5,279,220,0
1815118010,14,10,10,372,474,0
1815118010,14,10,10,372,474,0
1815118204,16,7,3,691,694,0
1815118204,16,7,3,691,694,0
1815118562,5,10,9,353,318,1
1815118562,5,10,9,353,318,1
1815118856,22,9,14,383,357,1
1815118856,22,9,14,383,357,1
1815118946,6,13,6,302,347,0
1815118946,6,13,6,302,347,0
1815120325,2,5,7,244,179,1
1815120325,2,5,7,244,179,1
1815120862,11,13,7,366,381,1
1815120862,11,13,7,366,381,1
1815121042,7,7,3,240,265,0
1815121042,7,7,3,240,265,0
1815121435,12,7,12,342,404,1
1815121435,12,7,12,342,404,1
1815121617,15,15,15,278,197,0
1815121617,15,15,15,278,197,0
1815121626,12,11,9,284,359,0
1815121626,12,11,9,284,359,0
1815122380,13,14,11,310,317,1
1815122380,13,14,11,310,317,1
1815122402,9,13,6,283,212,0
1815122402,9,13,6,283,212,0
1815122593,12,16,14,337,320,1
1815122593,12,16,14,337,320,1
1815098716,7,9,1,223,269,0
1815098716,7,9,1,223,269,0
1815098744,6,13,8,265,337,1
1815098744,6,13,8,265,337,1
1815098747,6,9,5,272,324,1
1815098747,6,9,5,272,324,1
1815098809,12,13,8,500,490,0
1815098809,12,13,8,500,490,0
1815098823,10,16,9,282,281,0
1815098823,10,16,9,282,281,0
1815098845,11,15,5,311,331,1
1815098845,11,15,5,311,331,1
1815098917,13,12,9,320,367,0
1815098917,13,12,9,320,367,0
1815099007,9,13,5,257,275,0
1815099007,9,13,5,257,275,0
1815099034,14,9,9,293,280,1
1815099034,14,9,9,293,280,1
1815099149,12,10,12,319,341,1
1815099149,12,10,12,319,341,1
1815099195,8,9,4,244,214,0
1815099195,8,9,4,244,214,0
1815099257,12,11,3,303,330,0
1815099257,12,11,3,303,330,0
1815099283,8,9,9,334,366,1
1815099283,8,9,9,334,366,1
1815099328,6,5,1,275,294,1
1815099328,6,5,1,275,294,1
1815099369,3,11,0,174,125,0
1815099369,3,11,0,174,125,0
1815099380,5,6,6,293,254,1
1815099380,5,6,6,293,254,1
1815099382,3,12,4,219,206,0
1815099382,3,12,4,219,206,0
1815099581,18,13,10,460,557,0
1815099581,18,13,10,460,557,0
1815099755,7,13,5,244,211,0
1815099755,7,13,5,244,211,0
1815099880,4,6,8,311,272,1
1815099880,4,6,8,311,272,1
1815099896,6,6,3,404,366,1
1815099896,6,6,3,404,366,1
1815099898,10,9,4,241,210,0
1815099898,10,9,4,241,210,0
1815099953,4,3,2,303,119,1
1815099953,4,3,2,303,119,1
1815099986,8,15,8,238,257,0
1815099986,8,15,8,238,257,0
1815100027,9,7,2,293,228,1
1815100027,9,7,2,293,228,1
1815100120,12,14,10,322,523,0
1815100120,12,14,10,322,523,0
1815100178,15,16,5,246,254,0
1815100178,15,16,5,246,254,0
1815100196,13,10,3,317,449,1
1815100196,13,10,3,317,449,1
1815100201,9,10,4,335,270,0
1815100201,9,10,4,335,270,0
1815100207,18,13,8,464,355,1
1815100207,18,13,8,464,355,1
1815100264,13,9,9,380,410,1
1815100264,13,9,9,380,410,1
1815100265,4,7,3,320,225,1
1815100265,4,7,3,320,225,1
1815100326,4,11,0,170,129,0
1815100326,4,11,0,170,129,0
1815100345,11,7,2,251,359,0
1815100345,11,7,2,251,359,0
1815100470,5,6,5,270,234,1
1815100470,5,6,5,270,234,1
1815100543,4,10,10,222,232,0
1815100543,4,10,10,222,232,0
1815100593,15,22,20,386,274,1
1815100593,15,22,20,386,274,1
1815100621,6,11,10,272,256,0
1815100621,6,11,10,272,256,0
1815100722,2,10,2,173,199,0
1815100722,2,10,2,173,199,0
1815100745,20,15,12,539,567,0
1815100745,20,15,12,539,567,0
1815100853,5,7,11,469,331,1
1815100853,5,7,11,469,331,1
1815105167,6,6,6,198,159,0
1815105167,6,6,6,198,159,0
1815105183,9,13,6,347,446,0
1815105183,9,13,6,347,446,0
1815105208,6,12,5,218,273,0
1815105208,6,12,5,218,273,0
1815105247,6,14,4,212,207,0
1815105247,6,14,4,212,207,0
1815105306,2,12,4,252,238,0
1815105306,2,12,4,252,238,0
1815105688,10,10,4,284,427,0
1815105688,10,10,4,284,427,0
1815105742,13,4,6,490,473,1
1815105742,13,4,6,490,473,1
1815105790,9,8,6,316,240,1
1815105790,9,8,6,316,240,1
1815105834,15,14,5,339,293,0
1815105834,15,14,5,339,293,0
1815105893,15,9,2,402,394,0
1815105893,15,9,2,402,394,0
1815105896,9,9,5,229,209,0
1815105896,9,9,5,229,209,0
1815105937,6,9,7,345,349,1
1815105937,6,9,7,345,349,1
1815106008,16,9,3,300,425,1
1815106008,16,9,3,300,425,1
1815106110,2,9,2,173,163,0
1815106110,2,9,2,173,163,0
1815106146,8,10,4,331,324,1
1815106146,8,10,4,331,324,1
1815106250,6,4,4,355,271,1
1815106250,6,4,4,355,271,1
1815106341,19,11,7,386,525,1
1815106341,19,11,7,386,525,1
1815106356,8,8,2,307,260,1
1815106356,8,8,2,307,260,1
1815106411,8,8,5,362,331,1
1815106411,8,8,5,362,331,1
1815106489,3,5,0,202,175,0
1815106489,3,5,0,202,175,0
1815106551,17,13,14,398,364,1
1815106551,17,13,14,398,364,1
1815106562,24,18,11,410,487,0
1815106562,24,18,11,410,487,0
1815106565,15,7,7,489,422,1
1815106565,15,7,7,489,422,1
1815106666,16,11,1,281,255,0
1815106666,16,11,1,281,255,0
1815106904,9,11,10,311,276,1
1815106904,9,11,10,311,276,1
1815106926,7,6,3,388,351,1
1815106926,7,6,3,388,351,1
1815106970,9,12,9,289,247,0
1815106970,9,12,9,289,247,0
1815107012,12,9,10,305,350,0
1815107012,12,9,10,305,350,0
1815107078,8,8,5,314,379,1
1815107078,8,8,5,314,379,1
1815107084,8,7,6,247,294,0
1815107084,8,7,6,247,294,0
1815107189,4,5,2,204,157,0
1815107189,4,5,2,204,157,0
1815107208,23,14,4,388,518,1
1815107208,23,14,4,388,518,1
1815107256,6,21,12,259,309,0
1815107256,6,21,12,259,309,0
1815107405,5,9,2,239,211,0
1815107405,5,9,2,239,211,0
1815107451,8,7,9,530,665,0
1815107451,8,7,9,530,665,0
1815107475,9,9,10,331,443,1
1815107475,9,9,10,331,443,1
1815107634,10,10,8,245,244,0
1815107634,10,10,8,245,244,0
1815107664,11,8,10,310,313,1
1815107664,11,8,10,310,313,1
1815107691,4,16,6,217,205,1
1815107691,4,16,6,217,205,1
1815107821,14,5,7,352,185,1
1815107821,14,5,7,352,185,1
1815107860,10,6,9,319,407,1
1815107860,10,6,9,319,407,1
1815107916,7,13,11,313,394,1
1815107916,7,13,11,313,394,1
1815107923,3,2,8,257,217,1
1815107923,3,2,8,257,217,1
1815108037,8,14,19,448,435,0
1815108037,8,14,19,448,435,0
1815108083,6,3,4,276,116,1
1815108083,6,3,4,276,116,1
1815108100,10,10,9,325,321,0
1815108100,10,10,9,325,321,0
1815108150,5,13,4,350,367,0
1815108150,5,13,4,350,367,0
1815108264,12,13,16,376,357,1
1815108264,12,13,16,376,357,1
1815108310,15,10,6,336,397,0
1815108310,15,10,6,336,397,0
1815108381,5,19,8,275,303,1
1815108381,5,19,8,275,303,1
1815108460,10,8,8,353,362,1
1815108460,10,8,8,353,362,1
1815108508,26,15,6,398,530,1
1815108508,26,15,6,398,530,1
1815108687,13,8,8,432,455,1
1815108687,13,8,8,432,455,1
1815108730,16,8,5,319,299,0
1815108730,16,8,5,319,299,0
1815108908,4,0,4,231,125,1
1815108908,4,0,4,231,125,1
1815109046,4,4,3,400,418,1
1815109046,4,4,3,400,418,1
1815109113,4,8,9,228,233,0
1815109113,4,8,9,228,233,0
1815109172,3,3,1,262,221,1
1815109172,3,3,1,262,221,1
1815109267,11,14,4,340,403,0
1815109267,11,14,4,340,403,0
1815109320,0,1,0,252,65,0
1815109320,0,1,0,252,65,0
1815109541,3,3,2,199,226,0
1815109541,3,3,2,199,226,0
1815109542,17,10,10,365,418,1
1815109542,17,10,10,365,418,1
1815109620,8,9,5,414,424,1
1815109620,8,9,5,414,424,1
1815109719,10,13,5,242,246,0
1815109719,10,13,5,242,246,0
1815109778,10,12,2,274,347,0
1815109778,10,12,2,274,347,0
1815109835,6,17,14,296,339,0
1815109835,6,17,14,296,339,0
1815109853,0,9,4,130,52,0
1815109853,0,9,4,130,52,0
1815109920,7,10,9,347,271,1
1815109920,7,10,9,347,271,1
1815110011,14,9,9,401,454,0
1815110011,14,9,9,401,454,0
1815110039,8,11,9,334,369,1
1815110039,8,11,9,334,369,1
1815110127,8,13,7,327,350,0
1815110127,8,13,7,327,350,0
1815110159,8,10,3,277,316,0
1815110159,8,10,3,277,316,0
1815110160,5,9,7,294,362,0
1815110160,5,9,7,294,362,0
1815110232,21,12,9,342,335,0
1815110232,21,12,9,342,335,0
1815110283,13,11,4,296,267,1
1815110283,13,11,4,296,267,1
1815110360,13,18,8,361,339,0
1815110360,13,18,8,361,339,0
1815110374,8,9,1,550,460,0
1815110374,8,9,1,550,460,0
1815110385,4,13,16,295,360,1
1815110385,4,13,16,295,360,1
1815110393,6,15,11,300,342,0
1815110393,6,15,11,300,342,0
1815110481,0,11,5,212,196,0
1815110481,0,11,5,212,196,0
1815110641,6,4,3,270,185,1
1815110641,6,4,3,270,185,1
1815110658,8,19,8,272,229,0
1815110658,8,19,8,272,229,0
1815110661,28,10,10,430,522,0
1815110661,28,10,10,430,522,0
1815110747,13,16,8,456,426,1
1815110747,13,16,8,456,426,1
1815111055,14,9,10,460,553,1
1815111055,14,9,10,460,553,1
1815111103,2,7,1,244,205,1
1815111103,2,7,1,244,205,1
1815111287,16,12,9,380,472,1
1815111287,16,12,9,380,472,1
1815111368,13,16,6,240,213,0
1815111368,13,16,6,240,213,0
1815111545,8,6,2,252,230,1
1815111545,8,6,2,252,230,1
1815111613,6,6,9,310,379,1
1815111613,6,6,9,310,379,1
1815111630,8,11,13,381,416,0
1815111630,8,11,13,381,416,0
1815111924,5,8,2,192,133,0
1815111924,5,8,2,192,133,0
1815112012,11,9,10,360,386,1
1815112012,11,9,10,360,386,1
1815112033,16,6,6,333,380,1
1815112033,16,6,6,333,380,1
1815112036,9,9,4,267,310,0
1815112036,9,9,4,267,310,0
1815112078,7,13,4,262,287,0
1815112078,7,13,4,262,287,0
1815112148,20,11,7,449,478,0
1815112148,20,11,7,449,478,0
1815112238,9,5,5,317,202,1
1815112238,9,5,5,317,202,1
1815112244,11,10,6,279,297,0
1815112244,11,10,6,279,297,0
1815112289,9,13,7,261,229,0
1815112289,9,13,7,261,229,0
1815112364,6,8,6,233,216,0
1815112364,6,8,6,233,216,0
1815112369,1,3,1,554,73,0
1815112369,1,3,1,554,73,0
1815112383,10,5,2,314,231,1
1815112383,10,5,2,314,231,1
1815112415,5,11,6,246,202,0
1815112415,5,11,6,246,202,0
1815112487,3,2,12,255,300,1
1815112487,3,2,12,255,300,1
1815112552,16,6,14,363,391,0
1815112552,16,6,14,363,391,0
1815112604,4,6,5,201,127,0
1815112604,4,6,5,201,127,0
1815112623,5,4,1,316,202,1
1815112623,5,4,1,316,202,1
1815112706,15,9,13,346,429,1
1815112706,15,9,13,346,429,1
1815112764,15,13,10,364,514,0
1815112764,15,13,10,364,514,0
1815112800,8,22,10,374,391,1
1815112800,8,22,10,374,391,1
1815112818,6,13,6,276,207,1
1815112818,6,13,6,276,207,1
1815112952,0,14,4,198,201,0
1815112952,0,14,4,198,201,0
1815112996,9,6,1,257,333,0
1815112996,9,6,1,257,333,0
1815113020,5,5,2,185,167,0
1815113020,5,5,2,185,167,0
1815113169,14,7,6,298,347,1
1815113169,14,7,6,298,347,1
1815113171,8,12,7,354,372,0
1815113171,8,12,7,354,372,0
1815113187,7,16,11,303,372,0
1815113187,7,16,11,303,372,0
1815113190,7,5,1,349,238,1
1815113190,7,5,1,349,238,1
1815113472,17,12,12,442,444,1
1815113472,17,12,12,442,444,1
1815113500,6,9,2,212,223,0
1815113500,6,9,2,212,223,0
1815113547,12,11,12,381,431,0
1815113547,12,11,12,381,431,0
1815113793,11,8,9,339,306,1
1815113793,11,8,9,339,306,1
1815113823,10,17,7,283,260,0
1815113823,10,17,7,283,260,0
1815113824,3,5,5,376,359,1
1815113824,3,5,5,376,359,1
1815113842,15,16,14,488,564,1
1815113842,15,16,14,488,564,1
1815113945,14,8,8,400,400,1
1815113945,14,8,8,400,400,1
1815114003,5,10,2,323,329,0
1815114003,5,10,2,323,329,0
1815114100,15,11,7,460,512,1
1815114100,15,11,7,460,512,1
1815114134,7,16,6,187,158,0
1815114134,7,16,6,187,158,0
1815114211,2,14,2,281,282,0
1815114211,2,14,2,281,282,0
1815114253,28,18,31,475,392,1
1815114253,28,18,31,475,392,1
1815114356,18,19,5,295,291,0
1815114356,18,19,5,295,291,0
1815114371,10,11,8,329,239,1
1815114371,10,11,8,329,239,1
1815114376,15,15,12,439,414,1
1815114376,15,15,12,439,414,1
1815114435,10,11,12,295,288,0
1815114435,10,11,12,295,288,0
1815114450,10,9,5,337,300,1
1815114450,10,9,5,337,300,1
1815114525,12,22,12,273,155,0
1815114525,12,22,12,273,155,0
1815114539,9,8,4,230,231,0
1815114539,9,8,4,230,231,0
1815114600,10,2,0,267,267,1
1815114600,10,2,0,267,267,1
1815114930,10,12,13,287,302,1
1815114930,10,12,13,287,302,1
1815115102,3,17,6,249,176,1
1815115102,3,17,6,249,176,1
1815115389,15,8,4,271,274,0
1815115389,15,8,4,271,274,0
1815115498,10,11,7,284,349,0
1815115498,10,11,7,284,349,0
1815115650,6,8,16,346,282,1
1815115650,6,8,16,346,282,1
1815115684,13,7,7,374,303,1
1815115684,13,7,7,374,303,1
1815115772,4,17,6,196,175,0
1815115772,4,17,6,196,175,0
1815115861,15,15,9,539,553,0
1815115861,15,15,9,539,553,0
1815115912,12,5,5,356,338,1
1815115912,12,5,5,356,338,1
1815115954,8,13,6,386,473,1
1815115954,8,13,6,386,473,1
1815115982,12,10,5,273,184,0
1815115982,12,10,5,273,184,0
1815116180,12,8,6,275,307,1
1815116180,12,8,6,275,307,1
1815116206,7,6,5,347,313,1
1815116206,7,6,5,347,313,1
1815116293,16,26,18,381,383,0
1815116293,16,26,18,381,383,0
1815116294,7,9,3,267,286,0
1815116294,7,9,3,267,286,0
1815116313,7,1,2,346,387,1
1815116313,7,1,2,346,387,1
1815116324,9,15,7,219,155,0
1815116324,9,15,7,219,155,0
1815116421,0,0,0,731,129,1
1815116421,0,0,0,731,129,1
1815116429,3,1,1,393,215,1
1815116429,3,1,1,393,215,1
1815116447,4,12,16,261,418,0
1815116447,4,12,16,261,418,0
1815116451,17,6,7,376,432,1
1815116451,17,6,7,376,432,1
1815116495,6,18,9,295,231,1
1815116495,6,18,9,295,231,1
1815116497,10,13,23,342,495,1
1815116497,10,13,23,342,495,1
1815116499,5,8,3,353,261,1
1815116499,5,8,3,353,261,1
1815116544,2,7,2,279,274,1
1815116544,2,7,2,279,274,1
1815116582,9,8,4,391,438,0
1815116582,9,8,4,391,438,0
1815116748,12,8,13,299,383,1
1815116748,12,8,13,299,383,1
1815116799,9,8,9,357,384,1
1815116799,9,8,9,357,384,1
1815116843,16,20,10,281,333,0
1815116843,16,20,10,281,333,0
1815116855,7,1,3,408,360,1
1815116855,7,1,3,408,360,1
1815116970,5,4,1,266,113,1
1815116970,5,4,1,266,113,1
1815116973,15,3,11,398,538,1
1815116973,15,3,11,398,538,1
1815116977,13,2,5,379,403,1
1815116977,13,2,5,379,403,1
1815117053,17,6,12,448,495,1
1815117053,17,6,12,448,495,1
1815117129,17,12,16,538,686,1
1815117129,17,12,16,538,686,1
1815117299,12,12,9,309,335,0
1815117299,12,12,9,309,335,0
1815117451,13,6,6,412,472,1
1815117451,13,6,6,412,472,1
1815117490,19,17,5,345,531,0
1815117490,19,17,5,345,531,0
1815117500,10,6,7,299,304,1
1815117500,10,6,7,299,304,1
1815117624,4,9,5,354,284,1
1815117624,4,9,5,354,284,1
1815117635,11,13,4,261,299,0
1815117635,11,13,4,261,299,0
1815117740,16,12,9,386,426,1
1815117740,16,12,9,386,426,1
1815117834,12,16,9,302,272,1
1815117834,12,16,9,302,272,1
1815117919,10,7,8,372,412,1
1815117919,10,7,8,372,412,1
1815118222,11,15,6,268,265,0
1815118222,11,15,6,268,265,0
1815118454,6,6,14,338,328,1
1815118454,6,6,14,338,328,1
1815118481,30,12,23,526,421,0
1815118481,30,12,23,526,421,0
1815118501,13,10,10,342,330,0
1815118501,13,10,10,342,330,0
1815118578,7,18,13,301,271,0
1815118578,7,18,13,301,271,0
1815118581,5,12,12,249,272,0
1815118581,5,12,12,249,272,0
1815118705,16,15,7,474,539,0
1815118705,16,15,7,474,539,0
1815118783,10,14,6,250,265,0
1815118783,10,14,6,250,265,0
1815118880,16,4,11,376,405,1
1815118880,16,4,11,376,405,1
1815119062,11,10,9,400,510,1
1815119062,11,10,9,400,510,1
1815119101,8,4,1,241,223,0
1815119101,8,4,1,241,223,0
1815119316,12,2,1,260,359,0
1815119316,12,2,1,260,359,0
1815119332,17,12,10,354,407,0
1815119332,17,12,10,354,407,0
1815119345,4,20,7,228,224,0
1815119345,4,20,7,228,224,0
1815119377,8,6,5,370,344,1
1815119377,8,6,5,370,344,1
1815119633,22,9,12,464,505,1
1815119633,22,9,12,464,505,1
1815119786,13,7,9,401,402,1
1815119786,13,7,9,401,402,1
1815119829,6,21,8,247,220,0
1815119829,6,21,8,247,220,0
1815119999,10,3,8,314,253,1
1815119999,10,3,8,314,253,1
1815120053,9,12,11,322,262,1
1815120053,9,12,11,322,262,1
1815120081,10,14,3,300,286,0
1815120081,10,14,3,300,286,0
1815120133,2,8,3,260,185,0
1815120133,2,8,3,260,185,0
1815120358,7,6,4,218,193,0
1815120358,7,6,4,218,193,0
1815120490,11,9,7,217,260,0
1815120490,11,9,7,217,260,0
1815120576,5,9,5,216,237,0
