id,k,d,a,gpm,xpm,win
1815100081,6,8,15,466,585,1
1815100081,6,8,15,466,585,1
1815106287,5,11,3,327,358,0
1815106287,5,11,3,327,358,0
1815106653,4,11,15,404,538,1
1815106653,4,11,15,404,538,1
1815107492,22,8,6,667,609,1
1815107492,22,8,6,667,609,1
1815109133,11,4,8,593,663,1
1815109133,11,4,8,593,663,1
1815109872,19,7,10,643,808,1
1815109872,19,7,10,643,808,1
1815110242,13,7,4,564,687,1
1815110242,13,7,4,564,687,1
1815111494,17,5,8,546,607,1
1815111494,17,5,8,546,607,1
1815113791,1,10,2,330,409,0
1815113791,1,10,2,330,409,0
1815113859,3,5,12,392,515,0
1815113859,3,5,12,392,515,0
1815115229,9,7,5,467,630,0
1815115229,9,7,5,467,630,0
1815115378,6,8,6,366,461,0
1815115378,6,8,6,366,461,0
1815115931,12,3,12,595,730,1
1815115931,12,3,12,595,730,1
1815116043,2,8,3,235,210,0
1815116043,2,8,3,235,210,0
1815117916,4,7,4,384,443,0
1815117916,4,7,4,384,443,0
1815118745,7,10,7,359,492,0
1815118745,7,10,7,359,492,0
1815119712,3,4,6,346,479,0
1815119712,3,4,6,346,479,0
1815119958,12,1,7,596,739,1
1815119958,12,1,7,596,739,1
1815121196,7,6,7,349,408,0
1815121196,7,6,7,349,408,0
1815121481,3,14,3,282,305,0
1815121481,3,14,3,282,305,0
1815098739,18,11,7,486,690,0
1815098739,18,11,7,486,690,0
1815098821,13,4,5,428,557,0
1815098821,13,4,5,428,557,0
1815099235,7,7,10,354,470,0
1815099235,7,7,10,354,470,0
1815099273,14,12,6,378,473,0
1815099273,14,12,6,378,473,0
1815100365,12,8,17,427,568,0
1815100365,12,8,17,427,568,0
1815100460,8,7,11,470,629,0
1815100460,8,7,11,470,629,0
1815100570,14,7,17,582,666,1
1815100570,14,7,17,582,666,1
1815106756,7,8,15,551,534,1
1815106756,7,8,15,551,534,1
1815107696,0,0,0,191,92,0
1815107696,0,0,0,191,92,0
1815108631,4,10,4,343,407,0
1815108631,4,10,4,343,407,0
1815108831,3,3,5,262,348,0
1815108831,3,3,5,262,348,0
1815109279,12,8,7,576,666,1
1815109279,12,8,7,576,666,1
1815109498,13,13,6,400,492,0
1815109498,13,13,6,400,492,0
1815109768,8,6,3,456,528,0
1815109768,8,6,3,456,528,0
1815110271,12,9,6,473,553,0
1815110271,12,9,6,473,553,0
1815110720,22,8,9,655,763,1
1815110720,22,8,9,655,763,1
1815111529,28,7,13,744,711,1
1815111529,28,7,13,744,711,1
1815113060,12,4,26,548,627,1
1815113060,12,4,26,548,627,1
1815113127,12,6,5,592,732,1
1815113127,12,6,5,592,732,1
1815113719,17,10,12,559,722,0
1815113719,17,10,12,559,722,0
1815114101,7,8,11,416,561,1
1815114101,7,8,11,416,561,1
1815115545,8,1,1,738,411,1
1815115545,8,1,1,738,411,1
1815116050,6,9,4,399,487,0
1815116050,6,9,4,399,487,0
1815117052,11,8,9,513,583,0
1815117052,11,8,9,513,583,0
1815117101,25,3,13,825,918,1
1815117101,25,3,13,825,918,1
1815117764,12,1,10,686,609,1
1815117764,12,1,10,686,609,1
1815118168,8,5,4,417,462,0
1815118168,8,5,4,417,462,0
1815118679,21,14,8,558,717,0
1815118679,21,14,8,558,717,0
1815119227,10,10,5,416,568,0
1815119227,10,10,5,416,568,0
1815120189,15,4,10,754,884,1
1815120189,15,4,10,754,884,1
1815120537,22,2,5,736,795,1
1815120537,22,2,5,736,795,1
1815120698,8,7,4,468,559,0
1815120698,8,7,4,468,559,0
1815121435,8,12,10,406,535,0
1815121435,8,12,10,406,535,0
1815122489,8,11,6,422,504,0
1815122489,8,11,6,422,504,0
1815098941,5,10,10,392,429,1
1815098941,5,10,10,392,429,1
1815098962,10,15,6,496,515,1
1815098962,10,15,6,496,515,1
1815098979,5,10,5,327,405,0
1815098979,5,10,5,327,405,0
1815099007,14,10,9,411,489,0
1815099007,14,10,9,411,489,0
1815099126,6,12,3,339,380,0
1815099126,6,12,3,339,380,0
1815099195,11,8,6,494,554,0
1815099195,11,8,6,494,554,0
1815099258,8,16,10,382,475,0
1815099258,8,16,10,382,475,0
1815099351,10,13,11,351,441,0
