id,k,d,a,gpm,xpm,win
1815100592,7,3,4,572,598,1
1815100592,7,3,4,572,598,1
1815100727,4,5,8,306,341,0
1815100727,4,5,8,306,341,0
1815109621,4,8,8,428,421,1
1815109621,4,8,8,428,421,1
1815110248,2,13,6,299,342,0
1815110248,2,13,6,299,342,0
1815111838,14,9,10,528,577,0
1815111838,14,9,10,528,577,0
1815114035,6,3,3,523,535,1
1815114035,6,3,3,523,535,1
1815115412,3,9,8,391,426,0
1815115412,3,9,8,391,426,0
1815116051,2,10,5,337,254,0
1815116051,2,10,5,337,254,0
1815120684,9,9,9,492,562,1
1815120684,9,9,9,492,562,1
1815121018,6,7,10,550,548,1
1815121018,6,7,10,550,548,1
1815122961,10,7,11,445,604,0
1815122961,10,7,11,445,604,0
1815123130,7,8,10,432,379,1
1815123130,7,8,10,432,379,1
1815098869,8,8,7,393,564,0
1815098869,8,8,7,393,564,0
1815107358,3,15,2,356,332,0
1815107358,3,15,2,356,332,0
1815111195,14,1,9,745,734,1
1815111195,14,1,9,745,734,1
1815112851,5,4,11,648,658,1
1815112851,5,4,11,648,658,1
1815116201,20,11,8,552,586,0
1815116201,20,11,8,552,586,0
1815120473,0,7,1,278,296,0
1815120473,0,7,1,278,296,0
1815098716,4,6,6,468,500,1
1815098716,4,6,6,468,500,1
1815098746,3,15,2,272,359,0
1815098746,3,15,2,272,359,0
1815099126,12,6,13,537,591,1
1815099126,12,6,13,537,591,1
1815099148,6,7,8,393,578,0
1815099148,6,7,8,393,578,0
1815099368,6,10,5,309,319,0
1815099368,6,10,5,309,319,0
1815099746,3,9,1,304,315,0
1815099746,3,9,1,304,315,0
1815099774,5,7,10,427,429,1
1815099774,5,7,10,427,429,1
1815099814,8,14,12,379,461,0
1815099814,8,14,12,379,461,0
1815099833,8,6,12,492,584,1
1815099833,8,6,12,492,584,1
1815099880,2,12,3,279,287,0
1815099880,2,12,3,279,287,0
1815099891,7,6,16,449,435,1
1815099891,7,6,16,449,435,1
1815105799,8,14,19,332,335,0
1815105799,8,14,19,332,335,0
1815106356,0,6,2,347,381,0
1815106356,0,6,2,347,381,0
1815106411,6,7,5,464,443,1
1815106411,6,7,5,464,443,1
1815106551,5,8,12,405,537,0
1815106551,5,8,12,405,537,0
1815106926,2,12,4,214,208,0
1815106926,2,12,4,214,208,0
1815106934,3,8,5,247,309,0
1815106934,3,8,5,247,309,0
1815106985,14,11,9,500,655,0
1815106985,14,11,9,500,655,0
1815107451,9,5,12,526,617,1
1815107451,9,5,12,526,617,1
1815108005,5,5,10,562,512,1
1815108005,5,5,10,562,512,1
1815108032,3,5,12,384,396,1
1815108032,3,5,12,384,396,1
1815108553,2,4,3,286,294,0
1815108553,2,4,3,286,294,0
1815108699,8,17,9,389,528,0
1815108699,8,17,9,389,528,0
1815108874,9,9,2,401,481,0
1815108874,9,9,2,401,481,0
1815109224,9,6,3,529,591,0
1815109224,9,6,3,529,591,0
1815109241,13,7,12,483,549,1
1815109241,13,7,12,483,549,1
1815109499,2,20,8,300,309,0
1815109499,2,20,8,300,309,0
1815109531,9,7,10,428,379,1
1815109531,9,7,10,428,379,1
1815109767,1,2,4,323,234,1
1815109767,1,2,4,323,234,1
1815109980,7,5,6,446,453,1
1815109980,7,5,6,446,453,1
1815110171,3,14,9,402,488,1
1815110171,3,14,9,402,488,1
1815110723,5,12,8,339,345,1
1815110723,5,12,8,339,345,1
1815111230,13,7,11,545,611,1
1815111230,13,7,11,545,611,1
1815112922,7,1,9,639,624,1
1815112922,7,1,9,639,624,1
1815112930,10,5,9,474,517,0
1815112930,10,5,9,474,517,0
1815113171,2,17,4,276,301,0
1815113171,2,17,4,276,301,0
1815113500,10,5,14,458,511,1
1815113500,10,5,14,458,511,1
1815113717,7,15,9,382,479,0
1815113717,7,15,9,382,479,0
1815114003,1,13,9,288,311,0
1815114003,1,13,9,288,311,0
1815114132,8,9,12,376,436,1
1815114132,8,9,12,376,436,1
1815114355,9,4,9,530,541,1
1815114355,9,4,9,530,541,1
1815114537,14,3,12,634,520,1
1815114537,14,3,12,634,520,1
1815114782,8,11,11,422,480,1
1815114782,8,11,11,422,480,1
1815114803,8,9,5,394,448,0
1815114803,8,9,5,394,448,0
1815115186,6,11,8,309,307,0
1815115186,6,11,8,309,307,0
1815115206,11,12,4,543,711,0
1815115206,11,12,4,543,711,0
1815115285,0,8,2,215,180,0
1815115285,0,8,2,215,180,0
1815115974,6,8,11,471,560,1
1815115974,6,8,11,471,560,1
1815116443,7,7,6,459,455,1
1815116443,7,7,6,459,455,1
1815116578,16,13,15,512,545,1
1815116578,16,13,15,512,545,1
1815116610,11,2,9,591,758,1
1815116610,11,2,9,591,758,1
1815117339,7,9,8,366,416,0
1815117339,7,9,8,366,416,0
1815117460,9,5,12,464,504,1
1815117460,9,5,12,464,504,1
1815117919,7,11,3,373,426,0
1815117919,7,11,3,373,426,0
1815117934,10,11,29,461,639,1
1815117934,10,11,29,461,639,1
1815118250,18,6,6,555,675,1
1815118250,18,6,6,555,675,1
1815118291,5,11,9,455,460,1
1815118291,5,11,9,455,460,1
1815118601,10,8,7,566,671,1
1815118601,10,8,7,566,671,1
1815118633,21,11,10,580,786,0
1815118633,21,11,10,580,786,0
1815118843,8,9,12,468,585,1
1815118843,8,9,12,468,585,1
1815118959,1,17,3,234,245,0
1815118959,1,17,3,234,245,0
1815120451,5,13,5,313,328,0
1815120451,5,13,5,313,328,0
1815120526,2,10,12,336,352,1
1815120526,2,10,12,336,352,1
1815120819,4,10,1,279,201,0
1815120819,4,10,1,279,201,0
1815120868,13,8,4,470,556,1
1815120868,13,8,4,470,556,1
1815121003,12,15,13,432,514,0
1815121003,12,15,13,432,514,0
1815121246,6,6,9,509,564,1
1815121246,6,6,9,509,564,1
1815121319,4,11,3,248,299,0
1815121319,4,11,3,248,299,0
1815121500,4,8,4,338,404,0
1815121500,4,8,4,338,404,0
1815121898,6,7,4,956,408,0
1815121898,6,7,4,956,408,0
1815122303,17,4,13,633,767,1
1815122303,17,4,13,633,767,1
1815122347,11,4,10,514,569,1
1815122347,11,4,10,514,569,1
1815122434,9,11,6,433,480,0
1815122434,9,11,6,433,480,0
1815123108,7,7,15,440,542,1
1815123108,7,7,15,440,542,1
1815123136,10,12,12,414,532,0
1815123136,10,12,12,414,532,0
1815099412,2,13,9,273,296,0
1815099412,2,13,9,273,296,0
1815100573,11,15,20,500,524,1
1815100573,11,15,20,500,524,1
1815105832,8,3,27,548,628,1
1815105832,8,3,27,548,628,1
1815106036,5,3,3,538,389,1
1815106036,5,3,3,538,389,1
1815106434,6,8,8,460,529,0
1815106434,6,8,8,460,529,0
1815106973,1,10,4,329,461,0
1815106973,1,10,4,329,461,0
1815107196,5,3,4,552,459,1
1815107196,5,3,4,552,459,1
1815107231,9,16,16,406,534,0
1815107231,9,16,16,406,534,0
1815107474,7,4,6,479,335,1
1815107474,7,4,6,479,335,1
1815107494,12,10,10,468,555,1
1815107494,12,10,10,468,555,1
1815107545,12,12,11,462,576,0
1815107545,12,12,11,462,576,0
1815107884,4,8,4,316,391,0
1815107884,4,8,4,316,391,0
1815108015,11,14,18,455,562,1
1815108015,11,14,18,455,562,1
1815108132,6,7,4,336,470,0
1815108132,6,7,4,336,470,0
1815109407,4,13,8,364,391,0
1815109407,4,13,8,364,391,0
1815109655,4,7,5,272,361,0
1815109655,4,7,5,272,361,0
1815109914,3,9,4,343,430,0
1815109914,3,9,4,343,430,0
1815110448,9,6,4,521,562,1
1815110448,9,6,4,521,562,1
1815110473,3,6,4,421,524,0
1815110473,3,6,4,421,524,0
1815110816,3,9,7,445,474,1
1815110816,3,9,7,445,474,1
1815110961,17,11,9,587,674,1
1815110961,17,11,9,587,674,1
1815111408,12,8,12,507,524,1
1815111408,12,8,12,507,524,1
1815111815,5,15,16,399,467,0
1815111815,5,15,16,399,467,0
1815112801,4,14,7,332,464,0
1815112801,4,14,7,332,464,0
1815112816,11,10,4,372,362,0
1815112816,11,10,4,372,362,0
1815113527,4,9,8,285,300,0
1815113527,4,9,8,285,300,0
1815114223,5,14,5,288,345,0
1815114223,5,14,5,288,345,0
1815114232,4,6,2,386,322,1
1815114232,4,6,2,386,322,1
1815114499,19,8,10,614,587,0
1815114499,19,8,10,614,587,0
1815114594,3,9,10,388,367,0
1815114594,3,9,10,388,367,0
1815114611,11,8,8,440,467,0
1815114611,11,8,8,440,467,0
1815114811,12,14,13,496,456,1
1815114811,12,14,13,496,456,1
1815115340,5,10,10,396,430,1
1815115340,5,10,10,396,430,1
1815116063,2,6,7,405,405,1
1815116063,2,6,7,405,405,1
1815116110,9,11,21,489,572,1
1815116110,9,11,21,489,572,1
1815116574,6,9,11,370,427,0
1815116574,6,9,11,370,427,0
1815116626,2,12,6,211,203,0
1815116626,2,12,6,211,203,0
1815116661,4,17,13,372,470,1
1815116661,4,17,13,372,470,1
1815117992,5,17,14,412,497,0
1815117992,5,17,14,412,497,0
1815118152,7,13,5,536,529,1
1815118152,7,13,5,536,529,1
1815118386,4,14,14,265,336,0
1815118386,4,14,14,265,336,0
1815118838,2,13,7,314,400,0
1815118838,2,13,7,314,400,0
1815119097,7,16,8,397,360,1
1815119097,7,16,8,397,360,1
1815119189,6,6,7,505,468,1
1815119189,6,6,7,505,468,1
1815119646,3,12,5,329,348,0
1815119646,3,12,5,329,348,0
1815120887,2,7,6,479,494,1
1815120887,2,7,6,479,494,1
1815121980,3,16,6,348,405,0
1815121980,3,16,6,348,405,0
1815122013,2,7,7,441,500,1
