id,k,d,a,gpm,xpm,win
1815100024,3,4,7,311,429,0
1815100024,3,4,7,311,429,0
1815105494,6,11,8,347,466,0
1815105494,6,11,8,347,466,0
1815106287,3,6,10,231,291,0
1815106287,3,6,10,231,291,0
1815106732,0,6,30,452,606,1
1815106732,0,6,30,452,606,1
1815106976,10,8,8,409,465,1
1815106976,10,8,8,409,465,1
1815107097,3,8,15,266,376,0
1815107097,3,8,15,266,376,0
1815107560,5,8,18,330,411,0
1815107560,5,8,18,330,411,0
1815109218,2,7,11,285,381,0
1815109218,2,7,11,285,381,0
1815109872,5,8,8,366,415,0
1815109872,5,8,8,366,415,0
1815110471,8,13,18,268,367,0
1815110471,8,13,18,268,367,0
1815114228,0,4,1,121,75,0
1815114228,0,4,1,121,75,0
1815114361,1,1,0,186,36,1
1815114361,1,1,0,186,36,1
1815114909,3,8,21,363,493,1
1815114909,3,8,21,363,493,1
1815120131,5,5,22,330,418,1
1815120131,5,5,22,330,418,1
1815122222,3,5,20,421,491,1
1815122222,3,5,20,421,491,1
1815122517,3,4,28,452,570,1
1815122517,3,4,28,452,570,1
1815123124,9,9,27,532,653,1
1815123124,9,9,27,532,653,1
1815098821,0,12,9,178,231,0
1815098821,0,12,9,178,231,0
1815105973,2,14,18,255,354,0
1815105973,2,14,18,255,354,0
1815105993,1,4,4,207,206,0
1815105993,1,4,4,207,206,0
1815110478,6,11,14,295,376,0
1815110478,6,11,14,295,376,0
1815110502,5,6,12,358,452,1
1815110502,5,6,12,358,452,1
1815110559,8,7,19,439,501,1
1815110559,8,7,19,439,501,1
1815110763,5,6,24,413,561,1
1815110763,5,6,24,413,561,1
1815111597,2,9,10,244,264,0
1815111597,2,9,10,244,264,0
1815111673,7,4,11,442,470,1
1815111673,7,4,11,442,470,1
1815112576,2,9,17,305,346,0
1815112576,2,9,17,305,346,0
1815112851,5,5,18,424,478,1
1815112851,5,5,18,424,478,1
1815113787,2,8,4,220,225,0
1815113787,2,8,4,220,225,0
1815114224,11,3,17,531,601,1
1815114224,11,3,17,531,601,1
1815115047,4,7,8,368,432,0
1815115047,4,7,8,368,432,0
1815115565,9,9,18,337,476,0
1815115565,9,9,18,337,476,0
1815116126,1,7,19,370,491,1
1815116126,1,7,19,370,491,1
1815117327,4,8,12,310,368,0
1815117327,4,8,12,310,368,0
1815120339,5,3,9,360,336,1
1815120339,5,3,9,360,336,1
1815121093,0,5,8,249,330,0
1815121093,0,5,8,249,330,0
1815122402,11,6,17,483,604,1
1815122402,11,6,17,483,604,1
1815122578,1,5,16,338,335,1
1815122578,1,5,16,338,335,1
1815122931,10,12,24,350,435,0
1815122931,10,12,24,350,435,0
1815098664,4,10,20,368,457,1
1815098664,4,10,20,368,457,1
1815098716,1,9,5,268,325,0
1815098716,1,9,5,268,325,0
1815098719,0,11,11,226,287,0
1815098719,0,11,11,226,287,0
1815098826,3,3,9,349,358,1
1815098826,3,3,9,349,358,1
1815099139,6,5,12,312,456,0
1815099139,6,5,12,312,456,0
1815099218,5,4,20,372,393,1
1815099218,5,4,20,372,393,1
1815099388,8,5,15,511,609,1
1815099388,8,5,15,511,609,1
1815099452,3,13,22,299,428,0
1815099452,3,13,22,299,428,0
1815099558,2,7,24,401,533,1
1815099558,2,7,24,401,533,1
1815099609,0,12,7,238,308,0
1815099609,0,12,7,238,308,0
1815099830,9,16,30,391,595,0
1815099830,9,16,30,391,595,0
1815100196,4,8,19,320,456,0
1815100196,4,8,19,320,456,0
1815100305,2,9,13,324,399,0
1815100305,2,9,13,324,399,0
1815100378,0,16,14,208,216,0
1815100378,0,16,14,208,216,0
1815100430,3,14,12,306,374,0
1815100430,3,14,12,306,374,0
1815100711,2,11,24,306,304,1
1815100711,2,11,24,306,304,1
1815105498,9,5,35,396,514,1
1815105498,9,5,35,396,514,1
1815105499,5,14,19,353,448,0
1815105499,5,14,19,353,448,0
1815105711,4,10,10,296,391,0
1815105711,4,10,10,296,391,0
1815106030,3,3,17,427,491,1
1815106030,3,3,17,427,491,1
1815106489,1,5,2,160,138,0
1815106489,1,5,2,160,138,0
1815106553,3,8,14,325,388,1
1815106553,3,8,14,325,388,1
1815106972,3,10,28,403,548,1
1815106972,3,10,28,403,548,1
1815107281,8,2,24,392,534,1
1815107281,8,2,24,392,534,1
1815107405,8,2,9,394,400,1
1815107405,8,2,9,394,400,1
1815107576,3,5,8,265,317,0
1815107576,3,5,8,265,317,0
1815107881,4,8,24,378,475,1
1815107881,4,8,24,378,475,1
1815108054,6,3,14,381,519,1
1815108054,6,3,14,381,519,1
1815108065,10,14,18,476,588,0
1815108065,10,14,18,476,588,0
1815108523,6,4,30,385,447,1
1815108523,6,4,30,385,447,1
1815108541,3,8,14,363,426,1
1815108541,3,8,14,363,426,1
1815108558,7,9,22,355,508,0
1815108558,7,9,22,355,508,0
