id,k,d,a,gpm,xpm,win
1815100053,5,9,1,328,288,0
1815100053,5,9,1,328,288,0
1815105321,6,8,7,283,290,0
1815105321,6,8,7,283,290,0
1815105385,3,9,4,390,452,0
1815105385,3,9,4,390,452,0
1815105821,5,16,10,350,321,0
1815105821,5,16,10,350,321,0
1815105880,18,9,23,484,587,0
1815105880,18,9,23,484,587,0
1815106976,8,10,1,302,301,0
1815106976,8,10,1,302,301,0
1815109718,12,6,20,610,503,1
1815109718,12,6,20,610,503,1
1815109957,8,7,8,497,641,0
1815109957,8,7,8,497,641,0
1815110849,16,13,11,595,507,0
1815110849,16,13,11,595,507,0
1815110866,3,11,3,224,212,0
1815110866,3,11,3,224,212,0
1815111198,20,5,3,651,796,0
1815111198,20,5,3,651,796,0
1815111494,16,4,11,527,595,0
1815111494,16,4,11,527,595,0
1815111940,9,5,7,443,536,1
1815111940,9,5,7,443,536,1
1815112587,7,1,12,473,613,1
1815112587,7,1,12,473,613,1
1815114302,5,7,7,336,379,0
1815114302,5,7,7,336,379,0
1815114542,7,7,12,413,545,1
1815114542,7,7,12,413,545,1
1815114978,10,1,12,550,634,1
1815114978,10,1,12,550,634,1
1815115132,9,2,16,420,460,1
1815115132,9,2,16,420,460,1
1815116051,0,7,6,239,199,0
1815116051,0,7,6,239,199,0
1815117725,3,13,6,267,310,0
1815117725,3,13,6,267,310,0
1815117845,8,6,16,479,604,1
1815117845,8,6,16,479,604,1
1815120417,10,7,5,520,610,1
1815120417,10,7,5,520,610,1
1815121196,5,11,7,263,328,0
1815121196,5,11,7,263,328,0
1815121294,15,10,13,536,676,1
1815121294,15,10,13,536,676,1
1815121376,10,10,23,406,479,0
1815121376,10,10,23,406,479,0
1815121604,16,13,25,439,542,0
1815121604,16,13,25,439,542,0
1815122917,16,13,17,472,511,0
1815122917,16,13,17,472,511,0
1815122961,13,6,13,554,680,1
1815122961,13,6,13,554,680,1
1815099163,0,13,8,283,366,0
1815099163,0,13,8,283,366,0
1815100635,17,12,21,594,485,1
1815100635,17,12,21,594,485,1
1815100680,5,8,4,301,296,0
1815100680,5,8,4,301,296,0
1815105263,8,12,16,406,543,0
1815105263,8,12,16,406,543,0
1815106091,6,7,13,458,692,0
1815106091,6,7,13,458,692,0
1815106791,6,11,25,443,475,1
1815106791,6,11,25,443,475,1
1815106912,12,12,6,473,479,0
1815106912,12,12,6,473,479,0
1815107985,2,6,5,495,487,0
1815107985,2,6,5,495,487,0
1815108812,13,2,6,461,438,1
1815108812,13,2,6,461,438,1
1815109153,8,9,7,389,425,0
1815109153,8,9,7,389,425,0
1815111625,17,3,20,632,664,1
1815111625,17,3,20,632,664,1
1815111823,13,10,20,563,483,0
1815111823,13,10,20,563,483,0
1815112514,17,6,10,677,802,1
1815112514,17,6,10,677,802,1
1815112787,4,10,7,376,426,0
1815112787,4,10,7,376,426,0
1815114596,24,8,18,476,532,0
1815114596,24,8,18,476,532,0
1815114947,0,4,0,276,357,0
1815114947,0,4,0,276,357,0
1815115565,9,7,22,514,630,1
1815115565,9,7,22,514,630,1
1815115632,10,8,8,383,538,0
1815115632,10,8,8,383,538,0
1815115897,5,8,7,376,470,0
1815115897,5,8,7,376,470,0
1815117214,5,8,13,448,570,1
1815117214,5,8,13,448,570,1
1815117269,7,3,4,527,520,1
