id,k,d,a,gpm,xpm,win
1815100779,8,7,21,526,686,1
1815100779,8,7,21,526,686,1
1815105321,7,8,9,428,513,0
1815105321,7,8,9,428,513,0
1815105547,6,5,19,481,647,1
1815105547,6,5,19,481,647,1
1815105657,3,15,14,380,474,0
1815105657,3,15,14,380,474,0
1815105880,16,8,27,521,560,0
1815105880,16,8,27,521,560,0
1815107062,2,11,3,212,146,0
1815107062,2,11,3,212,146,0
1815109421,12,4,14,594,532,1
1815109421,12,4,14,594,532,1
1815111331,24,8,17,669,589,1
1815111331,24,8,17,669,589,1
1815114531,2,11,2,243,231,0
1815114531,2,11,2,243,231,0
1815114732,13,9,5,526,396,1
1815114732,13,9,5,526,396,1
1815114812,9,11,14,518,563,1
1815114812,9,11,14,518,563,1
1815114848,2,8,3,372,302,1
1815114848,2,8,3,372,302,1
1815115320,11,10,7,401,577,0
1815115320,11,10,7,401,577,0
1815116460,4,3,14,389,355,1
1815116460,4,3,14,389,355,1
1815116508,15,16,10,501,500,0
1815116508,15,16,10,501,500,0
1815119152,2,6,18,303,429,0
1815119152,2,6,18,303,429,0
1815121135,13,2,4,606,573,1
1815121135,13,2,4,606,573,1
1815121196,20,0,14,569,776,1
1815121196,20,0,14,569,776,1
1815121225,13,5,12,580,599,1
1815121225,13,5,12,580,599,1
1815122373,4,11,13,400,576,0
1815122373,4,11,13,400,576,0
1815122714,13,6,18,546,612,1
1815122714,13,6,18,546,612,1
1815123211,12,10,25,518,575,1
1815123211,12,10,25,518,575,1
1815098739,3,11,15,469,594,0
1815098739,3,11,15,469,594,0
1815098985,16,8,19,565,630,1
1815098985,16,8,19,565,630,1
1815099705,11,9,15,537,593,1
1815099705,11,9,15,537,593,1
1815099730,3,7,10,364,459,0
1815099730,3,7,10,364,459,0
1815105209,1,10,15,321,343,0
1815105209,1,10,15,321,343,0
1815105492,17,4,7,672,660,1
1815105492,17,4,7,672,660,1
1815106759,16,3,8,620,513,1
1815106759,16,3,8,620,513,1
1815107480,10,9,15,434,532,0
1815107480,10,9,15,434,532,0
1815109279,10,8,16,573,663,1
1815109279,10,8,16,573,663,1
1815109287,7,10,16,461,530,0
1815109287,7,10,16,461,530,0
1815109329,2,14,13,337,297,1
1815109329,2,14,13,337,297,1
1815109768,13,2,15,647,716,1
1815109768,13,2,15,647,716,1
1815110524,12,4,8,456,523,0
1815110524,12,4,8,456,523,0
1815111597,12,6,3,378,398,0
1815111597,12,6,3,378,398,0
1815112895,21,13,17,543,555,1
1815112895,21,13,17,543,555,1
1815114159,10,10,14,523,573,1
1815114159,10,10,14,523,573,1
1815115433,10,14,20,582,647,1
1815115433,10,14,20,582,647,1
1815116126,7,13,16,371,393,0
1815116126,7,13,16,371,393,0
1815116140,5,13,16,361,372,0
1815116140,5,13,16,361,372,0
1815116775,7,7,11,449,572,0
1815116775,7,7,11,449,572,0
1815119531,8,13,14,497,561,1
1815119531,8,13,14,497,561,1
1815120237,7,4,8,452,333,1
1815120237,7,4,8,452,333,1
1815121314,7,1,5,582,371,1
1815121314,7,1,5,582,371,1
1815121626,3,15,12,195,216,0
1815121626,3,15,12,195,216,0
1815098711,6,6,20,454,535,1
1815098711,6,6,20,454,535,1
1815098789,9,9,16,394,507,0
1815098789,9,9,16,394,507,0
1815098841,18,10,19,510,625,1
1815098841,18,10,19,510,625,1
1815098933,0,8,4,181,116,0
1815098933,0,8,4,181,116,0
1815099059,9,12,18,403,530,0
1815099059,9,12,18,403,530,0
1815099061,7,4,9,560,642,1
1815099061,7,4,9,560,642,1
1815099137,4,2,7,420,336,1
1815099137,4,2,7,420,336,1
1815099143,7,4,4,376,299,1
1815099143,7,4,4,376,299,1
1815099330,5,8,12,403,496,0
1815099330,5,8,12,403,496,0
1815099339,3,10,4,277,262,0
1815099339,3,10,4,277,262,0
1815099352,2,3,8,497,396,1
1815099352,2,3,8,497,396,1
1815099465,14,4,7,495,682,0
1815099465,14,4,7,495,682,0
1815099530,5,6,21,500,714,1
1815099530,5,6,21,500,714,1
1815099613,12,11,12,389,460,0
1815099613,12,11,12,389,460,0
1815099773,5,8,15,377,431,1
1815099773,5,8,15,377,431,1
1815099862,6,13,23,416,494,1
1815099862,6,13,23,416,494,1
1815099935,14,10,18,338,449,0
1815099935,14,10,18,338,449,0
1815099947,7,13,21,350,294,1
1815099947,7,13,21,350,294,1
1815100012,3,8,7,274,243,0
1815100012,3,8,7,274,243,0
1815100090,5,10,19,395,449,1
1815100090,5,10,19,395,449,1
1815100122,8,5,11,521,437,1
1815100122,8,5,11,521,437,1
1815100207,3,14,5,298,270,0
1815100207,3,14,5,298,270,0
1815100462,4,12,14,320,419,0
1815100462,4,12,14,320,419,0
1815100595,11,12,20,386,432,1
1815100595,11,12,20,386,432,1
1815100653,6,13,15,325,379,0
1815100653,6,13,15,325,379,0
1815100745,20,10,17,582,568,1
1815100745,20,10,17,582,568,1
1815105210,9,9,15,522,610,1
1815105210,9,9,15,522,610,1
1815105243,10,8,18,471,591,1
1815105243,10,8,18,471,591,1
1815105369,16,3,6,579,629,1
1815105369,16,3,6,579,629,1
1815105400,6,11,13,480,521,1
1815105400,6,11,13,480,521,1
1815105490,0,10,3,188,177,0
1815105490,0,10,3,188,177,0
1815105496,16,3,6,374,440,0
1815105496,16,3,6,374,440,0
1815105503,21,12,10,595,744,0
1815105503,21,12,10,595,744,0
1815105640,12,12,13,482,546,0
1815105640,12,12,13,482,546,0
1815105688,19,3,3,703,615,1
1815105688,19,3,3,703,615,1
1815105719,0,7,2,230,197,0
1815105719,0,7,2,230,197,0
1815105736,4,13,4,465,493,0
1815105736,4,13,4,465,493,0
1815105743,11,0,12,533,549,1
1815105743,11,0,12,533,549,1
1815105800,5,5,14,336,417,1
1815105800,5,5,14,336,417,1
1815105837,4,11,8,319,370,0
1815105837,4,11,8,319,370,0
1815105864,4,10,11,369,485,0
1815105864,4,10,11,369,485,0
1815106025,16,3,20,542,669,1
1815106025,16,3,20,542,669,1
1815106077,5,1,9,397,454,1
1815106077,5,1,9,397,454,1
1815106377,2,14,8,356,324,0
1815106377,2,14,8,356,324,0
1815106384,6,15,22,379,513,0
1815106384,6,15,22,379,513,0
1815106421,13,15,25,429,506,0
1815106421,13,15,25,429,506,0
1815106551,16,12,23,581,556,1
1815106551,16,12,23,581,556,1
1815106603,20,7,7,581,654,1
1815106603,20,7,7,581,654,1
1815106666,4,6,13,384,515,0
1815106666,4,6,13,384,515,0
