id,k,d,a,gpm,xpm,win
1815099145,3,2,12,358,333,1
1815099145,3,2,12,358,333,1
1815099663,1,11,9,211,337,0
1815099663,1,11,9,211,337,0
1815100727,2,7,8,360,368,1
1815100727,2,7,8,360,368,1
1815111286,2,4,6,370,310,1
1815111286,2,4,6,370,310,1
1815111443,0,9,4,310,349,0
1815111443,0,9,4,310,349,0
1815114784,6,7,18,327,392,1
1815114784,6,7,18,327,392,1
1815114978,2,4,7,298,275,1
1815114978,2,4,7,298,275,1
1815115320,0,18,4,171,232,0
1815115320,0,18,4,171,232,0
1815118075,2,4,13,449,382,1
1815118075,2,4,13,449,382,1
1815118115,1,5,12,350,370,0
1815118115,1,5,12,350,370,0
1815118587,0,10,14,310,430,1
1815118587,0,10,14,310,430,1
1815099373,0,4,3,202,210,0
1815099373,0,4,3,202,210,0
1815100532,1,7,20,326,355,1
1815100532,1,7,20,326,355,1
1815105308,5,11,7,297,373,0
1815105308,5,11,7,297,373,0
1815106433,0,3,9,309,422,1
1815106433,0,3,9,309,422,1
1815110104,2,4,9,402,492,1
1815110104,2,4,9,402,492,1
1815112514,2,3,19,368,553,1
1815112514,2,3,19,368,553,1
1815112654,4,8,13,285,512,0
1815112654,4,8,13,285,512,0
1815114390,6,6,8,287,417,0
1815114390,6,6,8,287,417,0
1815115183,0,9,7,260,242,0
1815115183,0,9,7,260,242,0
1815098701,8,2,14,367,472,1
1815098701,8,2,14,367,472,1
1815098852,3,8,9,318,289,1
1815098852,3,8,9,318,289,1
1815099532,2,11,17,325,430,1
1815099532,2,11,17,325,430,1
1815100012,4,9,4,263,222,0
1815100012,4,9,4,263,222,0
1815100653,2,7,15,324,483,1
1815100653,2,7,15,324,483,1
1815100722,1,9,5,214,222,0
1815100722,1,9,5,214,222,0
1815105183,1,15,6,258,334,0
1815105183,1,15,6,258,334,0
1815105280,0,2,2,291,244,1
1815105280,0,2,2,291,244,1
1815105511,4,1,2,375,323,1
1815105511,4,1,2,375,323,1
1815106025,4,5,12,372,533,1
1815106025,4,5,12,372,533,1
1815106126,7,10,23,430,585,1
1815106126,7,10,23,430,585,1
1815106356,1,10,4,181,212,0
1815106356,1,10,4,181,212,0
1815106592,3,12,10,261,354,0
1815106592,3,12,10,261,354,0
1815106802,4,5,7,338,297,1
1815106802,4,5,7,338,297,1
1815106870,3,8,22,318,448,1
1815106870,3,8,22,318,448,1
1815107421,3,10,7,286,317,1
1815107421,3,10,7,286,317,1
1815107479,3,6,10,319,405,1
1815107479,3,6,10,319,405,1
1815107559,6,4,7,299,462,0
1815107559,6,4,7,299,462,0
1815107882,4,6,10,336,400,1
1815107882,4,6,10,336,400,1
1815108523,2,12,7,301,304,0
1815108523,2,12,7,301,304,0
1815108558,3,4,12,316,406,1
1815108558,3,4,12,316,406,1
1815108633,1,3,3,203,217,0
1815108633,1,3,3,203,217,0
1815108940,3,6,12,299,334,1
1815108940,3,6,12,299,334,1
1815109023,6,11,17,363,426,1
1815109023,6,11,17,363,426,1
1815109224,0,10,7,267,395,0
1815109224,0,10,7,267,395,0
1815109239,4,6,4,313,354,0
1815109239,4,6,4,313,354,0
1815109389,3,6,9,361,450,0
1815109389,3,6,9,361,450,0
1815109459,1,10,6,200,261,0
1815109459,1,10,6,200,261,0
1815109502,3,12,6,255,336,0
1815109502,3,12,6,255,336,0
1815109689,3,5,7,411,279,1
1815109689,3,5,7,411,279,1
1815110087,1,13,9,330,317,1
1815110087,1,13,9,330,317,1
1815110160,0,5,2,235,232,1
1815110160,0,5,2,235,232,1
1815110422,0,10,5,209,265,0
1815110422,0,10,5,209,265,0
1815110964,4,6,7,331,381,1
1815110964,4,6,7,331,381,1
1815111672,5,8,17,537,441,1
1815111672,5,8,17,537,441,1
1815111678,2,6,8,278,315,0
1815111678,2,6,8,278,315,0
1815111710,15,6,11,405,596,1
1815111710,15,6,11,405,596,1
1815111852,0,6,16,315,331,1
1815111852,0,6,16,315,331,1
1815112718,6,16,17,324,452,0
1815112718,6,16,17,324,452,0
1815112729,1,3,3,226,118,1
1815112729,1,3,3,226,118,1
1815112865,1,2,12,314,355,1
1815112865,1,2,12,314,355,1
1815113064,4,10,16,302,460,0
1815113064,4,10,16,302,460,0
1815113169,4,6,24,389,413,1
1815113169,4,6,24,389,413,1
1815114136,13,5,16,439,507,1
1815114136,13,5,16,439,507,1
1815114525,0,11,8,256,289,1
1815114525,0,11,8,256,289,1
1815115019,8,2,10,339,496,1
1815115019,8,2,10,339,496,1
1815115051,2,2,12,480,516,1
1815115051,2,2,12,480,516,1
1815115089,6,11,21,394,498,1
1815115089,6,11,21,394,498,1
1815115295,2,6,6,324,291,1
1815115295,2,6,6,324,291,1
1815115445,3,8,9,347,472,1
1815115445,3,8,9,347,472,1
1815115638,2,7,13,313,345,1
1815115638,2,7,13,313,345,1
1815115817,0,5,4,400,367,1
1815115817,0,5,4,400,367,1
1815116364,2,8,1,209,239,0
1815116364,2,8,1,209,239,0
1815116578,8,7,17,651,517,1
1815116578,8,7,17,651,517,1
1815116700,6,2,7,428,406,1
1815116700,6,2,7,428,406,1
1815116933,0,5,7,216,248,0
1815116933,0,5,7,216,248,0
1815117170,5,13,5,221,211,0
1815117170,5,13,5,221,211,0
1815117339,2,3,11,322,434,1
1815117339,2,3,11,322,434,1
1815118049,2,8,12,272,381,1
1815118049,2,8,12,272,381,1
1815119593,2,16,9,271,319,1
1815119593,2,16,9,271,319,1
1815119653,4,5,15,350,399,1
1815119653,4,5,15,350,399,1
1815119888,3,5,9,263,384,0
1815119888,3,5,9,263,384,0
1815119968,4,6,8,264,386,0
1815119968,4,6,8,264,386,0
1815120063,4,2,5,385,336,1
1815120063,4,2,5,385,336,1
1815120175,1,11,8,218,243,0
1815120175,1,11,8,218,243,0
1815120190,3,8,16,291,498,1
1815120190,3,8,16,291,498,1
1815120358,5,3,6,310,306,1
1815120358,5,3,6,310,306,1
1815120474,0,9,6,214,233,1
1815120474,0,9,6,214,233,1
1815121570,2,8,5,317,319,0
1815121570,2,8,5,317,319,0
1815121771,4,7,10,312,412,1
1815121771,4,7,10,312,412,1
1815121842,1,14,7,203,221,0
1815121842,1,14,7,203,221,0
1815121898,0,1,1,197,121,0
1815121898,0,1,1,197,121,0
1815121931,5,6,20,442,511,1
1815121931,5,6,20,442,511,1
1815122145,1,12,3,191,215,0
1815122145,1,12,3,191,215,0
1815122279,4,8,4,304,367,0
1815122279,4,8,4,304,367,0
1815122449,0,0,14,263,400,1
1815122449,0,0,14,263,400,1
1815122756,7,6,19,392,455,1
1815122756,7,6,19,392,455,1
1815098801,0,6,8,371,475,0
1815098801,0,6,8,371,475,0
1815099036,7,5,14,381,491,1
1815099036,7,5,14,381,491,1
1815099175,2,12,10,285,285,1
1815099175,2,12,10,285,285,1
1815099499,2,10,7,247,294,0
1815099499,2,10,7,247,294,0
1815099757,7,7,21,352,386,1
1815099757,7,7,21,352,386,1
1815100121,3,7,11,355,354,1
1815100121,3,7,11,355,354,1
1815100529,0,6,3,228,291,0
1815100529,0,6,3,228,291,0
1815105336,3,4,14,424,433,1
1815105336,3,4,14,424,433,1
1815105656,0,9,17,305,387,1
1815105656,0,9,17,305,387,1
1815105746,6,7,8,394,331,1
1815105746,6,7,8,394,331,1
1815106039,1,7,16,274,320,1
1815106039,1,7,16,274,320,1
1815106142,1,8,21,350,399,1
1815106142,1,8,21,350,399,1
1815106320,1,10,9,313,450,1
1815106320,1,10,9,313,450,1
1815106423,3,15,9,299,289,0
1815106423,3,15,9,299,289,0
1815106836,1,5,6,222,294,0
1815106836,1,5,6,222,294,0
1815107583,0,7,3,157,147,0
1815107583,0,7,3,157,147,0
1815107597,0,9,3,181,242,0
1815107597,0,9,3,181,242,0
1815108128,9,14,16,345,450,1
1815108128,9,14,16,345,450,1
1815108441,5,6,14,351,375,1
1815108441,5,6,14,351,375,1
1815109010,6,7,19,357,488,1
1815109010,6,7,19,357,488,1
1815109258,1,8,2,177,203,0
1815109258,1,8,2,177,203,0
1815109777,0,3,5,284,331,1
1815109777,0,3,5,284,331,1
1815110184,0,12,8,205,199,0
1815110184,0,12,8,205,199,0
1815111066,1,9,2,244,298,1
1815111066,1,9,2,244,298,1
1815111493,1,11,6,273,411,0
1815111493,1,11,6,273,411,0
1815111503,8,2,12,381,595,1
1815111503,8,2,12,381,595,1
1815112268,0,1,15,212,393,0
1815112268,0,1,15,212,393,0
1815112370,4,5,13,346,451,1
1815112370,4,5,13,346,451,1
1815112503,2,12,8,283,356,0
1815112503,2,12,8,283,356,0
1815112643,6,0,12,384,339,1
1815112643,6,0,12,384,339,1
1815112732,2,9,13,325,334,1
1815112732,2,9,13,325,334,1
1815113978,3,16,8,295,381,1
1815113978,3,16,8,295,381,1
1815114312,0,11,4,236,268,0
1815114312,0,11,4,236,268,0
1815114375,4,5,15,349,386,1
1815114375,4,5,15,349,386,1
1815114573,1,5,2,260,308,1
1815114573,1,5,2,260,308,1
1815115008,5,5,7,282,375,1
1815115008,5,5,7,282,375,1
1815115127,5,5,10,303,419,0
1815115127,5,5,10,303,419,0
1815115266,5,12,14,410,431,0
1815115266,5,12,14,410,431,0
1815115692,2,17,12,262,256,0
1815115692,2,17,12,262,256,0
1815115927,4,8,24,350,398,1
1815115927,4,8,24,350,398,1
1815116085,2,10,10,283,423,0
1815116085,2,10,10,283,423,0
1815116127,2,4,17,385,481,1
1815116127,2,4,17,385,481,1
1815116151,2,9,14,309,486,0
1815116151,2,9,14,309,486,0
1815116406,3,10,14,316,348,1
1815116406,3,10,14,316,348,1
1815116510,1,8,20,369,401,1
1815116510,1,8,20,369,401,1
1815116609,4,2,8,392,506,1
1815116609,4,2,8,392,506,1
1815117032,0,1,5,271,305,1
1815117032,0,1,5,271,305,1
1815117349,1,8,1,202,183,0
1815117349,1,8,1,202,183,0
1815118064,0,5,7,218,295,0
1815118064,0,5,7,218,295,0
1815118663,8,7,21,402,574,0
1815118663,8,7,21,402,574,0
1815119257,2,8,8,233,216,0
1815119257,2,8,8,233,216,0
1815119506,2,9,1,266,228,0
1815119506,2,9,1,266,228,0
1815119583,1,10,11,226,268,0
1815119583,1,10,11,226,268,0
1815119627,0,4,0,286,297,0
1815119627,0,4,0,286,297,0
1815119880,0,11,9,191,226,0
1815119880,0,11,9,191,226,0
1815120484,4,9,5,258,307,0
1815120484,4,9,5,258,307,0
1815120525,3,4,8,284,320,1
1815120525,3,4,8,284,320,1
1815120784,2,6,0,238,245,0
1815120784,2,6,0,238,245,0
1815121381,2,10,12,289,354,0
1815121381,2,10,12,289,354,0
1815121654,0,14,2,268,319,0
1815121654,0,14,2,268,319,0
1815121859,2,11,18,340,425,1
1815121859,2,11,18,340,425,1
1815121961,1,7,0,228,206,0
1815121961,1,7,0,228,206,0
1815122116,1,7,8,191,217,0
1815122116,1,7,8,191,217,0
1815122329,3,5,8,298,397,1
1815122329,3,5,8,298,397,1
1815122401,1,2,6,350,398,1
1815122401,1,2,6,350,398,1
1815122558,1,4,9,338,248,1
1815122558,1,4,9,338,248,1
1815122956,4,11,12,252,323,0
1815122956,4,11,12,252,323,0
1815123006,6,9,18,370,534,1
1815123006,6,9,18,370,534,1
1815123020,3,3,5,310,211,1
1815123020,3,3,5,310,211,1
1815123026,1,11,13,219,343,0
1815123026,1,11,13,219,343,0
1815099597,3,7,17,385,466,1
1815099597,3,7,17,385,466,1
1815106387,5,5,6,242,322,0
1815106387,5,5,6,242,322,0
1815107973,0,6,10,277,315,1
1815107973,0,6,10,277,315,1
1815108299,1,5,2,307,237,1
1815108299,1,5,2,307,237,1
1815108641,4,6,6,433,295,1
1815108641,4,6,6,433,295,1
1815109122,2,5,7,358,355,1
1815109122,2,5,7,358,355,1
1815116381,0,4,7,295,329,1
1815116381,0,4,7,295,329,1
1815117685,3,2,8,476,236,1
1815117685,3,2,8,476,236,1
