id,k,d,a,gpm,xpm,win
1815099515,4,6,5,437,485,0
1815099515,4,6,5,437,485,0
1815105974,7,0,3,596,306,1
1815105974,7,0,3,596,306,1
1815106805,12,6,18,518,607,1
1815106805,12,6,18,518,607,1
1815108454,7,2,2,492,562,1
1815108454,7,2,2,492,562,1
1815108500,8,9,7,445,420,1
1815108500,8,9,7,445,420,1
1815109255,4,6,9,358,368,0
1815109255,4,6,9,358,368,0
1815109717,12,11,12,500,552,0
1815109717,12,11,12,500,552,0
1815110450,17,9,23,595,552,1
1815110450,17,9,23,595,552,1
1815111594,1,15,3,214,188,0
1815111594,1,15,3,214,188,0
1815111609,6,10,11,400,574,0
1815111609,6,10,11,400,574,0
1815111838,4,19,13,266,324,0
1815111838,4,19,13,266,324,0
1815111850,6,5,12,478,313,1
1815111850,6,5,12,478,313,1
1815111940,7,2,9,563,641,1
1815111940,7,2,9,563,641,1
1815112349,12,2,9,492,581,1
1815112349,12,2,9,492,581,1
1815112502,11,7,2,510,711,0
1815112502,11,7,2,510,711,0
1815118155,9,13,16,495,608,1
1815118155,9,13,16,495,608,1
1815118857,7,7,10,501,596,1
1815118857,7,7,10,501,596,1
1815120131,3,10,8,259,320,0
1815120131,3,10,8,259,320,0
1815100365,14,11,16,513,593,1
1815100365,14,11,16,513,593,1
1815105664,4,11,7,522,557,1
1815105664,4,11,7,522,557,1
1815105708,8,4,19,441,437,1
1815105708,8,4,19,441,437,1
1815112230,19,12,11,598,619,0
1815112230,19,12,11,598,619,0
1815113893,5,6,11,512,484,1
1815113893,5,6,11,512,484,1
1815114011,4,12,11,415,444,0
1815114011,4,12,11,415,444,0
1815115897,9,7,9,551,688,1
1815115897,9,7,9,551,688,1
1815116884,23,1,12,818,832,1
1815116884,23,1,12,818,832,1
1815117764,1,5,5,299,345,0
1815117764,1,5,5,299,345,0
1815118549,9,5,11,520,605,1
1815118549,9,5,11,520,605,1
1815120698,1,12,7,328,371,0
1815120698,1,12,7,328,371,0
1815121539,6,10,9,476,571,1
1815121539,6,10,9,476,571,1
1815121617,6,15,9,403,539,0
1815121617,6,15,9,403,539,0
1815098692,10,7,14,507,552,1
1815098692,10,7,14,507,552,1
1815098845,13,7,19,563,475,1
1815098845,13,7,19,563,475,1
1815099005,1,9,8,290,340,0
1815099005,1,9,8,290,340,0
1815099263,6,8,10,452,512,1
1815099263,6,8,10,452,512,1
1815099271,5,5,17,549,561,1
1815099271,5,5,17,549,561,1
1815099338,1,11,7,311,321,0
1815099338,1,11,7,311,321,0
1815099351,4,17,18,303,428,0
1815099351,4,17,18,303,428,0
1815099437,18,10,23,494,607,1
1815099437,18,10,23,494,607,1
1815099477,11,2,9,684,617,1
1815099477,11,2,9,684,617,1
1815099581,25,10,8,633,793,1
1815099581,25,10,8,633,793,1
1815099612,5,15,15,300,388,0
1815099612,5,15,15,300,388,0
1815099773,11,10,5,436,521,0
1815099773,11,10,5,436,521,0
1815100345,2,8,1,277,300,0
1815100345,2,8,1,277,300,0
1815100531,12,6,9,516,641,1
1815100531,12,6,9,516,641,1
1815100593,7,12,14,287,347,0
1815100593,7,12,14,287,347,0
1815100841,5,12,14,304,347,0
1815100841,5,12,14,304,347,0
1815105169,8,12,10,389,530,0
1815105169,8,12,10,389,530,0
1815105210,5,8,10,428,448,1
1815105210,5,8,10,428,448,1
1815105445,11,11,9,455,446,1
1815105445,11,11,9,455,446,1
1815105498,11,7,15,524,565,1
1815105498,11,7,15,524,565,1
1815105586,12,9,8,369,421,0
1815105586,12,9,8,369,421,0
1815105837,5,10,6,235,259,0
1815105837,5,10,6,235,259,0
1815106047,0,12,4,212,243,0
1815106047,0,12,4,212,243,0
1815106077,14,0,6,707,819,1
1815106077,14,0,6,707,819,1
1815106249,2,7,2,289,208,1
1815106249,2,7,2,289,208,1
1815106250,10,5,6,506,500,1
1815106250,10,5,6,506,500,1
1815106622,7,4,5,443,560,1
1815106622,7,4,5,443,560,1
1815106665,11,6,14,583,720,1
1815106665,11,6,14,583,720,1
1815106754,8,9,6,620,576,1
1815106754,8,9,6,620,576,1
1815106945,5,11,11,494,502,1
1815106945,5,11,11,494,502,1
1815106970,7,6,10,599,651,1
1815106970,7,6,10,599,651,1
1815107090,7,12,5,367,409,0
1815107090,7,12,5,367,409,0
1815107136,5,10,8,410,460,1
1815107136,5,10,8,410,460,1
1815107141,16,0,8,625,679,1
1815107141,16,0,8,625,679,1
1815107283,9,14,13,373,499,0
1815107283,9,14,13,373,499,0
1815107381,12,6,23,543,662,1
1815107381,12,6,23,543,662,1
1815107476,10,11,12,444,598,0
1815107476,10,11,12,444,598,0
1815107705,8,8,18,390,445,0
1815107705,8,8,18,390,445,0
1815107795,31,6,13,693,571,1
1815107795,31,6,13,693,571,1
1815108013,4,11,8,300,333,0
1815108013,4,11,8,300,333,0
1815108263,2,11,4,238,206,0
1815108263,2,11,4,238,206,0
1815108503,10,5,8,452,520,1
1815108503,10,5,8,452,520,1
1815108608,10,3,5,494,599,1
1815108608,10,3,5,494,599,1
1815108908,5,3,8,432,470,1
1815108908,5,3,8,432,470,1
1815108945,11,11,17,434,573,0
1815108945,11,11,17,434,573,0
1815108976,2,13,11,250,286,0
1815108976,2,13,11,250,286,0
1815109066,3,11,6,392,465,0
1815109066,3,11,6,392,465,0
1815109267,4,12,14,260,293,0
1815109267,4,12,14,260,293,0
1815109344,3,7,8,372,404,1
1815109344,3,7,8,372,404,1
1815109580,10,5,10,515,618,0
1815109580,10,5,10,515,618,0
1815109689,8,2,6,541,440,1
1815109689,8,2,6,541,440,1
1815109823,9,11,7,473,563,1
1815109823,9,11,7,473,563,1
1815110061,1,14,2,220,248,0
1815110061,1,14,2,220,248,0
1815110171,13,5,3,554,560,1
1815110171,13,5,3,554,560,1
1815110299,1,9,3,382,313,1
1815110299,1,9,3,382,313,1
1815110513,26,5,20,672,726,1
1815110513,26,5,20,672,726,1
1815110539,1,11,5,262,254,0
1815110539,1,11,5,262,254,0
1815110547,18,8,13,547,668,1
1815110547,18,8,13,547,668,1
1815110678,11,10,20,448,560,1
1815110678,11,10,20,448,560,1
1815110829,4,15,5,391,434,0
1815110829,4,15,5,391,434,0
1815110922,10,5,16,508,542,1
1815110922,10,5,16,508,542,1
1815110974,11,13,11,511,596,0
1815110974,11,13,11,511,596,0
1815110996,4,13,4,254,224,0
1815110996,4,13,4,254,224,0
1815111102,13,4,13,480,451,1
1815111102,13,4,13,480,451,1
1815111629,5,14,8,429,524,0
1815111629,5,14,8,429,524,0
1815111656,4,12,14,371,535,0
1815111656,4,12,14,371,535,0
1815111677,5,18,13,381,400,0
1815111677,5,18,13,381,400,0
1815111781,5,12,10,338,452,0
1815111781,5,12,10,338,452,0
1815111824,3,16,7,262,281,0
1815111824,3,16,7,262,281,0
1815111852,8,10,9,430,535,0
1815111852,8,10,9,430,535,0
1815111962,5,14,11,353,437,0
1815111962,5,14,11,353,437,0
1815111994,13,12,27,479,636,1
1815111994,13,12,27,479,636,1
1815111996,2,14,6,274,341,0
1815111996,2,14,6,274,341,0
1815112148,12,10,15,446,476,1
1815112148,12,10,15,446,476,1
1815112160,12,3,11,673,753,1
1815112160,12,3,11,673,753,1
1815112163,3,6,16,430,435,1
1815112163,3,6,16,430,435,1
1815112238,11,1,11,529,469,1
1815112238,11,1,11,529,469,1
1815112289,10,7,3,413,671,0
1815112289,10,7,3,413,671,0
1815112415,5,8,8,336,416,0
1815112415,5,8,8,336,416,0
1815112560,6,13,5,288,307,0
1815112560,6,13,5,288,307,0
1815112800,8,13,6,343,429,0
1815112800,8,13,6,343,429,0
1815112930,14,6,8,550,632,1
1815112930,14,6,8,550,632,1
1815112998,2,13,7,301,329,0
1815112998,2,13,7,301,329,0
1815113094,6,5,18,414,521,1
1815113094,6,5,18,414,521,1
1815113118,7,8,12,460,506,1
1815113118,7,8,12,460,506,1
1815113191,18,2,3,739,724,1
1815113191,18,2,3,739,724,1
1815113260,7,11,6,375,404,0
1815113260,7,11,6,375,404,0
1815113341,3,10,4,329,418,0
1815113341,3,10,4,329,418,0
1815113502,0,5,2,176,118,0
1815113502,0,5,2,176,118,0
1815113546,28,5,10,727,708,1
1815113546,28,5,10,727,708,1
1815113708,2,7,2,221,221,0
1815113708,2,7,2,221,221,0
1815113772,4,13,8,279,247,0
