id,k,d,a,gpm,xpm,win
1815098931,8,7,10,309,411,0
1815098931,8,7,10,309,411,0
1815099214,6,11,16,354,415,1
1815099214,6,11,16,354,415,1
1815100081,9,12,15,369,498,0
1815100081,9,12,15,369,498,0
1815100576,0,1,1,237,60,0
1815100576,0,1,1,237,60,0
1815100592,4,6,3,330,385,0
1815100592,4,6,3,330,385,0
1815100823,2,9,5,190,168,0
1815100823,2,9,5,190,168,0
1815106167,6,9,9,283,262,0
1815106167,6,9,9,283,262,0
1815107796,4,14,12,295,343,1
1815107796,4,14,12,295,343,1
1815107813,7,3,14,472,505,1
1815107813,7,3,14,472,505,1
1815108232,33,11,14,629,727,1
1815108232,33,11,14,629,727,1
1815108505,14,14,4,391,444,0
1815108505,14,14,4,391,444,0
1815109047,10,13,25,326,413,0
1815109047,10,13,25,326,413,0
1815109442,9,4,4,403,394,1
1815109442,9,4,4,403,394,1
1815109596,1,10,7,241,281,0
1815109596,1,10,7,241,281,0
1815109621,9,7,21,398,487,0
1815109621,9,7,21,398,487,0
1815110471,20,13,8,437,543,0
1815110471,20,13,8,437,543,0
1815111838,11,17,11,377,537,0
1815111838,11,17,11,377,537,0
1815112562,9,3,15,455,453,1
1815112562,9,3,15,455,453,1
1815113773,1,14,8,237,257,0
1815113773,1,14,8,237,257,0
1815114035,7,3,14,460,447,1
1815114035,7,3,14,460,447,1
1815114302,4,11,9,295,385,0
1815114302,4,11,9,295,385,0
1815114361,6,7,8,416,474,1
1815114361,6,7,8,416,474,1
1815114730,7,10,21,362,423,1
1815114730,7,10,21,362,423,1
1815114960,11,15,18,387,588,0
1815114960,11,15,18,387,588,0
1815115117,11,3,10,548,453,1
1815115117,11,3,10,548,453,1
1815115149,4,4,4,252,258,0
1815115149,4,4,4,252,258,0
1815115229,13,7,24,426,545,1
1815115229,13,7,24,426,545,1
1815115828,2,7,13,370,365,1
1815115828,2,7,13,370,365,1
1815116052,19,14,9,448,570,0
1815116052,19,14,9,448,570,0
1815116508,20,14,8,446,486,1
1815116508,20,14,8,446,486,1
1815116786,6,7,15,383,272,1
1815116786,6,7,15,383,272,1
1815116993,1,9,16,221,325,0
1815116993,1,9,16,221,325,0
1815117139,2,13,6,262,310,0
1815117139,2,13,6,262,310,0
1815118124,7,9,13,390,481,1
1815118124,7,9,13,390,481,1
1815118587,18,12,21,424,578,0
1815118587,18,12,21,424,578,0
1815119048,15,10,12,483,476,1
1815119048,15,10,12,483,476,1
1815119712,1,13,8,224,279,0
1815119712,1,13,8,224,279,0
1815120417,20,7,10,556,613,1
1815120417,20,7,10,556,613,1
1815120653,19,4,3,556,519,1
1815120653,19,4,3,556,519,1
1815122373,17,8,15,550,685,1
1815122373,17,8,15,550,685,1
1815122694,8,12,14,374,421,1
1815122694,8,12,14,374,421,1
1815098910,16,11,20,397,559,0
1815098910,16,11,20,397,559,0
1815099341,10,15,27,483,648,1
1815099341,10,15,27,483,648,1
1815099545,13,5,10,458,512,1
1815099545,13,5,10,458,512,1
1815099650,3,11,10,289,324,0
1815099650,3,11,10,289,324,0
1815099731,14,13,10,400,510,0
1815099731,14,13,10,400,510,0
1815100572,2,10,8,230,245,0
1815100572,2,10,8,230,245,0
1815100775,12,0,7,575,407,1
1815100775,12,0,7,575,407,1
1815105361,6,8,20,370,436,1
1815105361,6,8,20,370,436,1
1815105424,6,10,23,354,494,1
1815105424,6,10,23,354,494,1
1815105448,20,4,16,620,610,1
1815105448,20,4,16,620,610,1
1815105531,22,6,20,535,601,1
1815105531,22,6,20,535,601,1
1815105973,8,14,21,321,407,0
1815105973,8,14,21,321,407,0
1815106739,9,11,10,352,452,0
1815106739,9,11,10,352,452,0
1815106828,17,12,20,429,526,1
1815106828,17,12,20,429,526,1
1815107318,14,15,21,328,408,0
1815107318,14,15,21,328,408,0
1815108506,20,10,21,553,600,1
1815108506,20,10,21,553,600,1
1815108631,4,11,6,234,266,0
1815108631,4,11,6,234,266,0
1815108728,28,3,3,673,694,1
1815108728,28,3,3,673,694,1
1815109387,7,9,12,427,432,1
1815109387,7,9,12,427,432,1
1815109431,11,13,2,347,307,0
1815109431,11,13,2,347,307,0
1815109555,4,8,4,284,305,0
1815109555,4,8,4,284,305,0
1815109887,4,8,10,259,258,0
1815109887,4,8,10,259,258,0
1815109992,9,6,16,306,443,0
1815109992,9,6,16,306,443,0
1815110104,18,2,13,540,519,1
1815110104,18,2,13,540,519,1
1815110524,5,9,14,319,416,0
1815110524,5,9,14,319,416,0
1815110763,3,16,14,229,234,0
1815110763,3,16,14,229,234,0
1815111011,4,7,9,317,371,0
1815111011,4,7,9,317,371,0
1815111529,11,9,15,420,462,1
1815111529,11,9,15,420,462,1
1815111531,8,11,7,366,459,0
1815111531,8,11,7,366,459,0
1815111586,15,6,15,468,529,1
1815111586,15,6,15,468,529,1
1815111643,28,8,11,650,771,1
1815111643,28,8,11,650,771,1
1815111880,9,9,11,382,411,1
1815111880,9,9,11,382,411,1
1815112265,7,13,18,330,398,1
1815112265,7,13,18,330,398,1
1815112447,8,8,6,345,384,1
1815112447,8,8,6,345,384,1
1815112576,2,8,28,303,292,1
1815112576,2,8,28,303,292,1
1815112622,18,6,12,574,654,1
1815112622,18,6,12,574,654,1
1815112713,14,7,17,448,569,1
1815112713,14,7,17,448,569,1
1815113529,21,8,19,524,648,1
1815113529,21,8,19,524,648,1
1815113719,5,10,25,266,341,0
1815113719,5,10,25,266,341,0
1815114040,10,2,10,565,580,1
1815114040,10,2,10,565,580,1
1815115183,20,2,9,651,628,1
1815115183,20,2,9,651,628,1
1815115961,5,8,10,391,448,0
1815115961,5,8,10,391,448,0
1815116365,5,3,11,518,364,1
1815116365,5,3,11,518,364,1
1815116842,9,13,18,365,508,0
1815116842,9,13,18,365,508,0
1815117101,7,14,13,353,485,0
1815117101,7,14,13,353,485,0
1815117497,13,9,8,321,293,0
1815117497,13,9,8,321,293,0
1815117764,5,3,14,434,402,1
1815117764,5,3,14,434,402,1
1815117933,5,12,7,282,303,0
1815117933,5,12,7,282,303,0
1815118167,12,10,29,457,627,1
1815118167,12,10,29,457,627,1
1815118168,5,10,7,300,308,0
1815118168,5,10,7,300,308,0
1815118549,19,11,25,574,607,1
1815118549,19,11,25,574,607,1
1815119227,2,12,12,229,293,0
1815119227,2,12,12,229,293,0
1815119600,13,2,12,509,503,1
1815119600,13,2,12,509,503,1
1815119679,3,9,2,316,316,0
1815119679,3,9,2,316,316,0
1815119696,3,5,16,356,412,1
1815119696,3,5,16,356,412,1
1815120118,1,9,6,310,269,1
1815120118,1,9,6,310,269,1
1815120189,3,10,9,266,295,0
1815120189,3,10,9,266,295,0
1815120269,9,6,13,419,486,1
1815120269,9,6,13,419,486,1
1815120632,5,12,18,298,394,0
1815120632,5,12,18,298,394,0
1815120931,18,20,13,416,487,0
1815120931,18,20,13,416,487,0
1815121093,8,5,20,473,486,1
1815121093,8,5,20,473,486,1
1815121591,16,18,17,308,365,0
1815121591,16,18,17,308,365,0
1815121626,19,6,16,485,612,1
1815121626,19,6,16,485,612,1
1815122113,22,13,7,410,590,0
1815122113,22,13,7,410,590,0
1815122468,4,9,6,305,298,0
1815122468,4,9,6,305,298,0
1815122931,20,13,13,488,616,1
1815122931,20,13,13,488,616,1
1815122984,3,15,22,348,342,1
1815122984,3,15,22,348,342,1
1815123307,6,15,9,334,414,0
1815123307,6,15,9,334,414,0
1815098692,9,12,7,413,578,0
1815098692,9,12,7,413,578,0
1815098701,10,8,15,404,490,1
1815098701,10,8,15,404,490,1
1815098760,4,11,10,258,255,0
1815098760,4,11,10,258,255,0
1815098789,4,16,25,332,449,1
1815098789,4,16,25,332,449,1
1815098809,13,14,8,424,486,0
1815098809,13,14,8,424,486,0
1815098841,19,14,22,454,631,1
1815098841,19,14,22,454,631,1
1815098933,4,9,15,335,430,1
1815098933,4,9,15,335,430,1
1815098960,5,9,14,332,379,1
1815098960,5,9,14,332,379,1
1815098962,19,11,22,439,520,0
1815098962,19,11,22,439,520,0
1815099007,13,14,6,405,489,0
1815099007,13,14,6,405,489,0
1815099084,2,15,4,234,206,0
1815099084,2,15,4,234,206,0
1815099122,9,14,14,391,493,0
1815099122,9,14,14,391,493,0
1815099143,2,6,1,273,312,0
1815099143,2,6,1,273,312,0
1815099149,6,10,28,343,498,0
1815099149,6,10,28,343,498,0
1815099195,13,3,13,517,673,1
1815099195,13,3,13,517,673,1
1815099272,4,2,10,519,426,1
1815099272,4,2,10,519,426,1
1815099330,8,6,13,426,434,1
1815099330,8,6,13,426,434,1
1815099351,8,12,23,335,487,1
1815099351,8,12,23,335,487,1
1815099368,6,10,9,269,348,0
1815099368,6,10,9,269,348,0
1815099370,4,8,15,358,356,1
1815099370,4,8,15,358,356,1
1815099427,22,5,17,597,772,1
1815099427,22,5,17,597,772,1
1815099437,1,16,20,222,291,0
1815099437,1,16,20,222,291,0
1815099452,6,15,14,286,357,0
1815099452,6,15,14,286,357,0
1815099760,2,8,11,373,422,0
1815099760,2,8,11,373,422,0
1815099763,1,8,9,261,281,1
1815099763,1,8,9,261,281,1
1815099774,7,6,7,285,303,0
1815099774,7,6,7,285,303,0
1815099881,28,7,17,603,658,1
1815099881,28,7,17,603,658,1
1815099882,8,9,11,351,458,0
1815099882,8,9,11,351,458,0
1815100179,11,7,14,364,505,0
1815100179,11,7,14,364,505,0
1815100198,32,11,17,559,671,1
1815100198,32,11,17,559,671,1
1815100244,29,7,11,553,631,1
1815100244,29,7,11,553,631,1
1815100264,16,11,14,466,554,1
1815100264,16,11,14,466,554,1
1815100374,9,10,6,354,416,0
1815100374,9,10,6,354,416,0
1815100487,12,12,3,379,450,0
1815100487,12,12,3,379,450,0
1815100508,2,11,8,238,318,0
1815100508,2,11,8,238,318,0
1815100524,30,10,17,530,435,0
1815100524,30,10,17,530,435,0
1815100531,11,9,9,378,425,1
1815100531,11,9,9,378,425,1
1815100571,20,16,15,381,513,1
1815100571,20,16,15,381,513,1
1815100574,16,9,13,403,450,1
1815100574,16,9,13,403,450,1
1815100709,15,13,11,386,623,0
1815100709,15,13,11,386,623,0
1815100767,11,13,7,314,434,0
1815100767,11,13,7,314,434,0
1815100839,6,10,9,307,328,0
1815100839,6,10,9,307,328,0
1815100841,6,13,12,362,366,1
1815100841,6,13,12,362,366,1
1815105210,10,13,3,249,233,0
1815105210,10,13,3,249,233,0
1815105247,4,7,5,316,319,1
1815105247,4,7,5,316,319,1
1815105397,15,17,12,382,412,0
1815105397,15,17,12,382,412,0
1815105445,21,9,7,372,404,0
1815105445,21,9,7,372,404,0
1815105479,8,9,12,428,485,1
1815105479,8,9,12,428,485,1
1815105511,4,1,3,445,392,1
1815105511,4,1,3,445,392,1
1815105582,7,2,11,436,520,1
1815105582,7,2,11,436,520,1
1815105688,6,13,9,262,313,0
1815105688,6,13,9,262,313,0
1815105719,1,7,2,242,268,0
1815105719,1,7,2,242,268,0
1815105799,9,10,20,376,421,1
1815105799,9,10,20,376,421,1
1815105800,8,13,6,264,315,0
1815105800,8,13,6,264,315,0
1815105837,6,16,13,285,258,0
1815105837,6,16,13,285,258,0
1815105839,8,12,16,436,548,1
1815105839,8,12,16,436,548,1
1815105896,6,12,10,296,334,1
1815105896,6,12,10,296,334,1
1815105968,14,4,16,495,624,1
1815105968,14,4,16,495,624,1
1815106008,7,11,8,268,293,0
1815106008,7,11,8,268,293,0
1815106082,9,5,10,374,457,0
1815106082,9,5,10,374,457,0
1815106110,9,7,13,357,300,1
1815106110,9,7,13,357,300,1
1815106231,14,7,20,435,559,1
1815106231,14,7,20,435,559,1
1815106421,8,10,20,357,501,0
1815106421,8,10,20,357,501,0
1815106489,0,2,4,213,160,0
1815106489,0,2,4,213,160,0
1815106505,6,10,8,330,408,0
1815106505,6,10,8,330,408,0
1815106512,8,8,23,369,388,1
1815106512,8,8,23,369,388,1
1815106529,21,7,8,431,579,0
1815106529,21,7,8,431,579,0
1815106565,4,10,3,254,234,0
1815106565,4,10,3,254,234,0
1815106622,22,14,7,462,643,0
1815106622,22,14,7,462,643,0
1815106666,4,11,9,338,411,1
1815106666,4,11,9,338,411,1
1815106857,18,15,21,450,538,1
1815106857,18,15,21,450,538,1
1815106944,11,8,9,453,635,0
1815106944,11,8,9,453,635,0
1815107017,5,15,8,357,350,0
1815107017,5,15,8,357,350,0
1815107078,10,12,11,366,483,0
1815107078,10,12,11,366,483,0
1815107208,13,13,4,368,536,0
1815107208,13,13,4,368,536,0
1815107248,8,6,6,387,472,0
1815107248,8,6,6,387,472,0
1815107381,14,7,23,487,640,1
1815107381,14,7,23,487,640,1
1815107421,3,15,14,233,259,0
1815107421,3,15,14,233,259,0
1815107559,3,7,9,275,307,0
1815107559,3,7,9,275,307,0
1815107576,4,10,12,380,307,1
1815107576,4,10,12,380,307,1
1815107663,19,12,12,536,722,0
1815107663,19,12,12,536,722,0
1815107818,25,8,8,536,615,1
1815107818,25,8,8,536,615,1
1815107824,2,12,13,265,331,0
1815107824,2,12,13,265,331,0
1815107881,7,14,17,349,381,1
1815107881,7,14,17,349,381,1
1815107882,3,11,13,274,349,0
1815107882,3,11,13,274,349,0
1815108032,13,8,8,413,427,0
1815108032,13,8,8,413,427,0
1815108037,18,14,27,379,440,0
1815108037,18,14,27,379,440,0
1815108065,13,14,14,420,510,0
1815108065,13,14,14,420,510,0
1815108105,9,17,31,308,420,1
1815108105,9,17,31,308,420,1
1815108160,10,16,25,372,484,1
1815108160,10,16,25,372,484,1
1815108450,8,6,6,328,369,1
1815108450,8,6,6,328,369,1
1815108463,9,10,20,332,295,1
1815108463,9,10,20,332,295,1
1815108466,6,8,18,385,573,1
1815108466,6,8,18,385,573,1
1815108477,9,14,23,355,516,1
1815108477,9,14,23,355,516,1
1815108551,18,6,18,542,587,1
1815108551,18,6,18,542,587,1
1815108593,6,12,14,300,364,0
1815108593,6,12,14,300,364,0
1815108713,14,6,12,481,575,1
1815108713,14,6,12,481,575,1
1815108732,12,13,16,355,446,1
1815108732,12,13,16,355,446,1
1815108833,28,17,11,466,552,0
1815108833,28,17,11,466,552,0
1815108861,15,1,14,465,471,1
1815108861,15,1,14,465,471,1
1815108898,0,8,4,164,148,0
1815108898,0,8,4,164,148,0
1815108926,15,7,14,452,656,1
1815108926,15,7,14,452,656,1
1815108928,5,14,8,296,338,0
1815108928,5,14,8,296,338,0
1815108967,9,6,8,341,309,0
1815108967,9,6,8,341,309,0
1815108976,33,6,19,674,789,1
1815108976,33,6,19,674,789,1
1815109066,22,7,10,544,589,1
1815109066,22,7,10,544,589,1
1815109124,17,9,13,442,518,1
1815109124,17,9,13,442,518,1
1815109267,7,14,10,340,380,0
1815109267,7,14,10,340,380,0
1815109589,2,16,8,281,335,0
1815109589,2,16,8,281,335,0
1815109624,9,21,17,387,412,1
1815109624,9,21,17,387,412,1
1815109634,14,13,13,342,501,0
1815109634,14,13,13,342,501,0
1815109703,11,6,10,363,387,1
1815109703,11,6,10,363,387,1
1815109722,7,17,22,379,421,0
1815109722,7,17,22,379,421,0
1815109827,10,12,12,355,491,0
1815109827,10,12,12,355,491,0
1815109834,15,2,8,562,699,1
1815109834,15,2,8,562,699,1
1815109920,10,12,11,430,500,1
1815109920,10,12,11,430,500,1
1815110070,15,11,5,463,574,0
1815110070,15,11,5,463,574,0
1815110159,8,10,11,335,461,0
1815110159,8,10,11,335,461,0
1815110323,15,8,21,446,619,1
1815110323,15,8,21,446,619,1
1815110347,26,10,18,507,651,1
1815110347,26,10,18,507,651,1
1815110368,12,12,6,444,517,0
1815110368,12,12,6,444,517,0
1815110548,5,9,2,314,367,0
1815110548,5,9,2,314,367,0
1815110641,4,8,14,244,343,0
1815110641,4,8,14,244,343,0
1815110745,15,9,7,443,555,1
1815110745,15,9,7,443,555,1
1815110774,0,5,7,271,292,0
1815110774,0,5,7,271,292,0
1815110795,9,1,8,524,524,1
1815110795,9,1,8,524,524,1
1815110797,8,10,18,384,414,1
1815110797,8,10,18,384,414,1
1815110953,3,11,8,257,324,0
1815110953,3,11,8,257,324,0
1815110984,16,4,13,370,520,0
1815110984,16,4,13,370,520,0
1815110985,3,17,3,227,231,0
1815110985,3,17,3,227,231,0
