id,k,d,a,gpm,xpm,win
1815098837,3,12,9,243,222,0
1815098837,3,12,9,243,222,0
1815100053,5,2,16,432,390,1
1815100053,5,2,16,432,390,1
1815100576,0,1,1,389,211,1
1815100576,0,1,1,389,211,1
1815105958,2,1,4,192,198,0
1815105958,2,1,4,192,198,0
1815106214,8,5,15,390,465,1
1815106214,8,5,15,390,465,1
1815106540,9,3,26,425,549,1
1815106540,9,3,26,425,549,1
1815107293,9,11,30,337,428,1
1815107293,9,11,30,337,428,1
1815108232,2,9,32,352,422,1
1815108232,2,9,32,352,422,1
1815109513,5,10,15,430,370,1
1815109513,5,10,15,430,370,1
1815110203,9,17,14,346,439,0
1815110203,9,17,14,346,439,0
1815110450,11,9,23,437,557,1
1815110450,11,9,23,437,557,1
1815110973,10,8,20,394,373,1
1815110973,10,8,20,394,373,1
1815111397,5,4,8,394,338,1
1815111397,5,4,8,394,338,1
1815111494,5,12,23,311,455,1
1815111494,5,12,23,311,455,1
1815111940,11,9,13,486,483,1
1815111940,11,9,13,486,483,1
1815114909,10,13,20,363,444,0
1815114909,10,13,20,363,444,0
1815115412,9,5,10,360,398,0
1815115412,9,5,10,360,398,0
1815116006,9,5,32,406,526,1
1815116006,9,5,32,406,526,1
1815116088,0,9,8,182,203,0
1815116088,0,9,8,182,203,0
1815116249,5,6,20,365,407,1
1815116249,5,6,20,365,407,1
1815116460,10,5,27,455,425,1
1815116460,10,5,27,455,425,1
1815118126,2,4,17,387,520,1
1815118126,2,4,17,387,520,1
1815118352,9,10,23,454,493,1
1815118352,9,10,23,454,493,1
1815118466,4,11,1,279,250,0
1815118466,4,11,1,279,250,0
1815118639,4,10,19,332,315,1
1815118639,4,10,19,332,315,1
1815120043,6,3,22,468,565,1
1815120043,6,3,22,468,565,1
1815120240,6,7,16,333,360,0
1815120240,6,7,16,333,360,0
1815121018,13,11,19,442,505,1
1815121018,13,11,19,442,505,1
1815121433,8,8,26,349,456,1
1815121433,8,8,26,349,456,1
1815123044,9,5,28,378,418,1
1815123044,9,5,28,378,418,1
1815099190,1,10,10,262,221,0
1815099190,1,10,10,262,221,0
1815099373,5,3,19,500,377,1
1815099373,5,3,19,500,377,1
1815099775,2,7,20,316,349,1
1815099775,2,7,20,316,349,1
1815099860,2,6,13,364,401,1
1815099860,2,6,13,364,401,1
1815099878,6,14,18,270,335,0
1815099878,6,14,18,270,335,0
1815100023,4,3,17,418,418,1
1815100023,4,3,17,418,418,1
1815100105,4,8,17,360,345,1
1815100105,4,8,17,360,345,1
1815105492,9,6,11,434,522,0
1815105492,9,6,11,434,522,0
1815105643,13,8,27,405,539,1
1815105643,13,8,27,405,539,1
1815106550,6,10,9,319,310,0
1815106550,6,10,9,319,310,0
1815106791,5,19,34,345,483,0
1815106791,5,19,34,345,483,0
1815106912,9,6,15,417,413,1
1815106912,9,6,15,417,413,1
1815106983,3,10,17,257,284,1
1815106983,3,10,17,257,284,1
1815107318,12,8,27,381,560,0
1815107318,12,8,27,381,560,0
1815107392,11,9,24,314,431,0
1815107392,11,9,24,314,431,0
1815108085,7,1,10,448,395,1
1815108085,7,1,10,448,395,1
1815108574,6,11,10,343,345,0
1815108574,6,11,10,343,345,0
1815108728,15,1,14,620,601,1
1815108728,15,1,14,620,601,1
1815109110,2,3,20,380,346,1
1815109110,2,3,20,380,346,1
1815109123,5,6,28,397,429,1
1815109123,5,6,28,397,429,1
1815109288,6,0,10,478,380,1
1815109288,6,0,10,478,380,1
1815109345,7,3,22,417,417,1
1815109345,7,3,22,417,417,1
1815109431,2,9,12,240,260,0
1815109431,2,9,12,240,260,0
1815110115,5,3,20,471,452,1
1815110115,5,3,20,471,452,1
1815110216,2,0,12,423,353,1
1815110216,2,0,12,423,353,1
1815110405,6,9,24,295,330,1
1815110405,6,9,24,295,330,1
1815111407,6,13,6,349,369,0
1815111407,6,13,6,349,369,0
1815111529,4,17,26,280,318,0
1815111529,4,17,26,280,318,0
1815112529,13,11,28,361,417,0
1815112529,13,11,28,361,417,0
1815112576,1,8,27,331,386,1
1815112576,1,8,27,331,386,1
