id,k,d,a,gpm,xpm,win
1815098804,9,10,9,404,548,0
1815098804,9,10,9,404,548,0
1815105657,32,8,19,664,656,1
1815105657,32,8,19,664,656,1
1815106065,33,10,15,569,577,0
1815106065,33,10,15,569,577,0
1815106195,23,7,14,634,786,1
1815106195,23,7,14,634,786,1
1815106214,1,8,7,299,325,0
1815106214,1,8,7,299,325,0
1815108500,9,9,0,365,436,0
1815108500,9,9,0,365,436,0
1815108961,16,6,10,485,556,0
1815108961,16,6,10,485,556,0
1815110182,16,5,17,543,732,1
1815110182,16,5,17,543,732,1
1815111124,1,9,2,268,379,0
1815111124,1,9,2,268,379,0
1815111397,16,2,0,615,579,1
1815111397,16,2,0,615,579,1
1815112562,7,11,5,326,360,0
1815112562,7,11,5,326,360,0
1815113151,14,6,7,502,611,1
1815113151,14,6,7,502,611,1
1815113892,11,4,10,499,664,1
1815113892,11,4,10,499,664,1
1815114035,23,3,1,666,666,1
1815114035,23,3,1,666,666,1
1815114091,15,5,12,487,584,1
1815114091,15,5,12,487,584,1
1815115117,5,2,4,554,514,1
1815115117,5,2,4,554,514,1
1815115320,21,4,20,570,684,1
1815115320,21,4,20,570,684,1
1815116249,18,6,9,523,650,1
1815116249,18,6,9,523,650,1
1815116993,11,5,7,375,483,0
1815116993,11,5,7,375,483,0
1815117316,14,7,6,501,706,0
1815117316,14,7,6,501,706,0
1815118309,24,11,10,490,596,0
1815118309,24,11,10,490,596,0
1815118963,14,1,4,655,610,1
1815118963,14,1,4,655,610,1
1815120516,3,12,4,303,274,0
1815120516,3,12,4,303,274,0
1815122846,12,3,4,581,602,1
1815122846,12,3,4,581,602,1
1815105643,20,10,15,522,625,0
1815105643,20,10,15,522,625,0
1815105664,8,8,4,441,533,1
1815105664,8,8,4,441,533,1
1815106739,8,11,4,382,496,0
1815106739,8,11,4,382,496,0
1815106780,13,3,11,608,654,1
1815106780,13,3,11,608,654,1
1815107061,11,8,9,493,652,1
1815107061,11,8,9,493,652,1
1815107956,6,5,13,498,634,1
1815107956,6,5,13,498,634,1
1815108812,16,1,8,583,726,1
1815108812,16,1,8,583,726,1
1815109185,3,15,10,313,344,0
1815109185,3,15,10,313,344,0
1815109288,0,9,3,278,272,0
1815109288,0,9,3,278,272,0
1815110115,1,7,2,271,263,0
1815110115,1,7,2,271,263,0
1815110720,15,8,10,474,664,0
1815110720,15,8,10,474,664,0
1815112785,12,4,5,529,625,1
1815112785,12,4,5,529,625,1
1815115047,13,4,7,593,582,1
1815115047,13,4,7,593,582,1
1815117791,10,13,4,311,332,0
1815117791,10,13,4,311,332,0
1815117933,17,3,13,608,870,1
1815117933,17,3,13,608,870,1
1815118407,11,6,14,500,679,1
1815118407,11,6,14,500,679,1
1815120120,10,7,7,397,517,0
1815120120,10,7,7,397,517,0
1815120189,10,11,9,434,523,0
1815120189,10,11,9,434,523,0
1815120303,10,2,5,660,519,1
1815120303,10,2,5,660,519,1
1815120524,2,6,5,385,377,1
1815120524,2,6,5,385,377,1
1815120698,9,7,6,403,537,0
1815120698,9,7,6,403,537,0
1815120942,19,7,15,592,736,1
1815120942,19,7,15,592,736,1
1815121314,0,2,1,328,369,0
1815121314,0,2,1,328,369,0
1815121552,13,1,9,501,611,1
1815121552,13,1,9,501,611,1
1815121708,11,6,6,437,710,0
1815121708,11,6,6,437,710,0
1815121753,16,7,12,547,710,1
1815121753,16,7,12,547,710,1
1815121798,7,13,7,286,292,0
1815121798,7,13,7,286,292,0
1815123150,1,9,5,278,299,0
1815123150,1,9,5,278,299,0
1815098663,3,8,0,307,444,0
1815098663,3,8,0,307,444,0
1815098789,3,11,4,422,492,1
1815098789,3,11,4,422,492,1
1815098826,5,7,1,317,348,0
1815098826,5,7,1,317,348,0
1815099008,18,3,9,536,697,1
1815099008,18,3,9,536,697,1
1815099137,5,5,0,276,354,0
1815099137,5,5,0,276,354,0
1815099139,6,15,1,264,347,0
1815099139,6,15,1,264,347,0
1815099149,10,12,17,353,513,0
1815099149,10,12,17,353,513,0
1815099213,26,12,10,533,584,1
1815099213,26,12,10,533,584,1
1815099234,12,9,7,383,471,0
1815099234,12,9,7,383,471,0
1815099330,12,4,6,524,592,1
1815099330,12,4,6,524,592,1
1815099352,3,9,5,303,264,0
1815099352,3,9,5,303,264,0
1815099397,14,2,9,486,556,1
1815099397,14,2,9,486,556,1
1815099415,21,12,18,398,471,0
1815099415,21,12,18,398,471,0
1815099427,13,3,8,540,679,1
1815099427,13,3,8,540,679,1
1815099465,2,8,5,323,400,1
1815099465,2,8,5,323,400,1
1815099544,9,15,13,364,445,0
1815099544,9,15,13,364,445,0
1815099581,18,9,7,544,646,1
1815099581,18,9,7,544,646,1
1815099618,4,4,7,372,439,1
1815099618,4,4,7,372,439,1
1815099652,7,20,4,284,287,0
1815099652,7,20,4,284,287,0
1815099720,19,5,14,557,627,1
1815099720,19,5,14,557,627,1
1815099755,14,2,3,562,688,1
1815099755,14,2,3,562,688,1
1815099780,4,6,7,400,434,1
1815099780,4,6,7,400,434,1
1815099799,10,12,5,355,407,0
1815099799,10,12,5,355,407,0
1815099814,20,5,6,518,610,1
1815099814,20,5,6,518,610,1
1815099891,10,13,9,348,407,0
1815099891,10,13,9,348,407,0
1815099922,30,7,8,538,541,0
1815099922,30,7,8,538,541,0
1815099958,9,12,8,378,486,0
1815099958,9,12,8,378,486,0
1815099993,11,10,13,422,452,1
1815099993,11,10,13,422,452,1
1815100005,13,10,2,438,667,0
1815100005,13,10,2,438,667,0
1815100011,10,10,6,369,538,0
1815100011,10,10,6,369,538,0
1815100026,46,4,5,776,757,1
1815100026,46,4,5,776,757,1
1815100091,9,15,20,372,508,1
1815100091,9,15,20,372,508,1
1815100120,9,9,11,450,570,1
1815100120,9,9,11,450,570,1
1815100196,11,8,12,393,458,0
1815100196,11,8,12,393,458,0
1815100264,9,7,5,397,437,1
1815100264,9,7,5,397,437,1
1815100410,7,6,9,393,495,1
1815100410,7,6,9,393,495,1
1815100487,13,3,8,458,680,1
1815100487,13,3,8,458,680,1
1815100531,15,12,6,418,605,0
1815100531,15,12,6,418,605,0
1815100575,0,1,0,100,0,0
1815100575,0,1,0,100,0,0
1815100589,21,10,4,613,644,0
1815100589,21,10,4,613,644,0
1815100595,9,7,16,393,552,1
1815100595,9,7,16,393,552,1
1815100716,8,6,7,366,498,0
1815100716,8,6,7,366,498,0
1815100796,17,5,9,575,809,1
1815100796,17,5,9,575,809,1
1815105183,14,11,2,373,401,0
1815105183,14,11,2,373,401,0
1815105247,35,3,6,653,790,1
1815105247,35,3,6,653,790,1
1815105261,8,9,12,329,420,0
1815105261,8,9,12,329,420,0
1815105280,12,2,4,475,565,1
1815105280,12,2,4,475,565,1
1815105330,4,12,8,295,405,0
1815105330,4,12,8,295,405,0
1815105332,21,2,9,537,728,1
1815105332,21,2,9,537,728,1
1815105397,11,14,5,405,508,0
1815105397,11,14,5,405,508,0
1815105438,20,7,14,405,470,1
1815105438,20,7,14,405,470,1
1815105445,13,6,13,525,676,1
1815105445,13,6,13,525,676,1
1815105496,20,9,6,485,602,1
1815105496,20,9,6,485,602,1
1815105511,2,4,1,272,258,0
1815105511,2,4,1,272,258,0
1815105538,11,4,14,502,542,1
1815105538,11,4,14,502,542,1
1815105582,12,2,6,514,512,1
1815105582,12,2,6,514,512,1
1815105586,7,5,10,439,474,1
1815105586,7,5,10,439,474,1
1815105639,8,8,8,406,467,1
1815105639,8,8,8,406,467,1
1815105640,22,9,10,403,534,1
1815105640,22,9,10,403,534,1
1815105667,8,6,15,532,680,1
1815105667,8,6,15,532,680,1
1815105837,24,3,7,784,968,1
1815105837,24,3,7,784,968,1
1815105889,17,4,9,463,460,1
1815105889,17,4,9,463,460,1
1815106007,4,3,7,410,486,1
1815106007,4,3,7,410,486,1
1815106008,18,6,15,419,514,1
