id,k,d,a,gpm,xpm,win
1815100763,5,15,14,264,303,0
1815100763,5,15,14,264,303,0
1815106065,5,16,21,333,484,0
1815106065,5,16,21,333,484,0
1815106195,3,10,12,222,316,0
1815106195,3,10,12,222,316,0
1815107585,3,16,17,263,324,0
1815107585,3,16,17,263,324,0
1815108053,5,11,14,314,315,1
1815108053,5,11,14,314,315,1
1815108454,2,9,2,151,168,0
1815108454,2,9,2,151,168,0
1815108520,6,9,5,351,419,0
1815108520,6,9,5,351,419,0
1815109596,3,4,8,256,261,0
1815109596,3,4,8,256,261,0
1815110973,3,13,13,216,253,0
1815110973,3,13,13,216,253,0
1815112037,3,11,6,319,313,0
1815112037,3,11,6,319,313,0
1815112669,4,10,8,289,363,0
1815112669,4,10,8,289,363,0
1815113186,1,10,6,293,299,0
1815113186,1,10,6,293,299,0
1815115117,2,3,12,437,339,1
1815115117,2,3,12,437,339,1
1815116052,0,15,19,259,447,0
1815116052,0,15,19,259,447,0
1815118126,0,10,18,195,266,0
1815118126,0,10,18,195,266,0
1815119048,2,11,6,186,275,0
1815119048,2,11,6,186,275,0
1815120130,1,5,5,286,331,0
1815120130,1,5,5,286,331,0
1815120337,0,8,12,220,319,0
1815120337,0,8,12,220,319,0
1815120417,11,12,13,363,399,0
1815120417,11,12,13,363,399,0
1815099716,3,10,5,185,177,0
1815099716,3,10,5,185,177,0
1815100365,4,12,17,271,394,0
1815100365,4,12,17,271,394,0
1815105424,2,13,22,312,449,0
1815105424,2,13,22,312,449,0
1815105492,2,10,13,243,269,0
1815105492,2,10,13,243,269,0
1815106283,0,9,6,267,295,0
1815106283,0,9,6,267,295,0
1815106791,9,17,21,428,490,1
1815106791,9,17,21,428,490,1
1815107358,0,10,3,142,124,0
1815107358,0,10,3,142,124,0
1815107480,3,13,10,190,178,0
1815107480,3,13,10,190,178,0
1815111823,2,10,23,268,399,1
1815111823,2,10,23,268,399,1
1815112447,1,6,16,319,445,1
1815112447,1,6,16,319,445,1
1815113590,5,8,17,365,475,1
1815113590,5,8,17,365,475,1
1815114390,0,9,13,310,347,1
1815114390,0,9,13,310,347,1
1815115054,3,11,16,226,245,0
1815115054,3,11,16,226,245,0
1815115815,0,7,3,190,200,0
1815115815,0,7,3,190,200,0
1815116126,1,9,21,279,389,0
1815116126,1,9,21,279,389,0
1815116884,2,8,4,194,181,0
1815116884,2,8,4,194,181,0
1815118562,2,17,19,254,304,1
1815118562,2,17,19,254,304,1
1815118679,5,13,32,344,471,1
1815118679,5,13,32,344,471,1
1815119165,1,17,14,220,335,0
1815119165,1,17,14,220,335,0
1815119203,3,6,14,278,293,0
1815119203,3,6,14,278,293,0
1815119636,8,12,7,347,336,1
1815119636,8,12,7,347,336,1
1815119676,5,11,15,267,378,0
1815119676,5,11,15,267,378,0
1815121626,3,13,15,303,364,1
1815121626,3,13,15,303,364,1
1815121815,3,8,13,336,361,1
1815121815,3,8,13,336,361,1
1815122575,3,9,24,346,462,1
1815122575,3,9,24,346,462,1
