id,k,d,a,gpm,xpm,win
1815106540,1,7,8,205,240,0
1815106540,1,7,8,205,240,0
1815107097,11,7,13,537,476,0
1815107097,11,7,13,537,476,0
1815112502,9,7,16,440,413,1
1815112502,9,7,16,440,413,1
1815112505,3,15,18,244,325,0
1815112505,3,15,18,244,325,0
1815113007,15,6,13,611,593,1
1815113007,15,6,13,611,593,1
1815113474,7,2,12,438,481,1
1815113474,7,2,12,438,481,1
1815116224,2,20,18,325,327,0
1815116224,2,20,18,325,327,0
1815117237,4,10,6,287,363,0
1815117237,4,10,6,287,363,0
1815118564,7,1,18,373,353,1
1815118564,7,1,18,373,353,1
1815118893,5,8,14,345,400,1
1815118893,5,8,14,345,400,1
1815120240,2,8,14,267,269,0
1815120240,2,8,14,267,269,0
1815120417,3,14,22,334,310,1
1815120417,3,14,22,334,310,1
1815123077,5,9,14,347,430,0
1815123077,5,9,14,347,430,0
1815099235,6,13,8,278,266,0
1815099235,6,13,8,278,266,0
1815099273,5,11,25,358,336,1
1815099273,5,11,25,358,336,1
1815099730,3,2,18,359,363,1
1815099730,3,2,18,359,363,1
1815099829,3,9,18,328,375,1
1815099829,3,9,18,328,375,1
1815100105,2,8,9,234,286,0
1815100105,2,8,9,234,286,0
1815105643,13,9,23,415,453,1
1815105643,13,9,23,415,453,1
1815106108,1,8,3,162,147,0
1815106108,1,8,3,162,147,0
1815106983,5,14,17,260,321,0
1815106983,5,14,17,260,321,0
1815108256,9,10,15,359,368,0
1815108256,9,10,15,359,368,0
1815109287,6,8,25,351,421,1
1815109287,6,8,25,351,421,1
1815109992,4,9,13,336,370,1
1815109992,4,9,13,336,370,1
1815111407,1,11,12,318,244,1
1815111407,1,11,12,318,244,1
1815111597,3,7,19,330,274,1
1815111597,3,7,19,330,274,1
1815111881,4,9,8,227,234,0
1815111881,4,9,8,227,234,0
1815112851,3,14,8,249,269,0
1815112851,3,14,8,249,269,0
1815114171,5,5,27,445,501,1
1815114171,5,5,27,445,501,1
1815114387,5,7,19,408,466,1
1815114387,5,7,19,408,466,1
1815117269,1,1,3,367,245,1
1815117269,1,1,3,367,245,1
1815123184,3,11,9,200,171,0
1815123184,3,11,9,200,171,0
1815098828,4,1,16,417,330,1
1815098828,4,1,16,417,330,1
1815098917,15,7,23,471,576,1
1815098917,15,7,23,471,576,1
1815099195,2,7,5,167,161,0
