id,k,d,a,gpm,xpm,win
1815100781,10,7,12,390,579,0
1815100781,10,7,12,390,579,0
1815107492,13,5,16,447,607,0
1815107492,13,5,16,447,607,0
1815109513,4,1,9,551,508,1
1815109513,4,1,9,551,508,1
1815109702,14,18,17,506,441,1
1815109702,14,18,17,506,441,1
1815110203,9,11,14,327,377,0
1815110203,9,11,14,327,377,0
1815110311,1,8,12,317,439,0
1815110311,1,8,12,317,439,0
1815113363,7,4,8,538,616,1
1815113363,7,4,8,538,616,1
1815114012,0,2,2,225,301,0
1815114012,0,2,2,225,301,0
1815116460,17,3,19,657,626,1
1815116460,17,3,19,657,626,1
1815118469,13,7,11,491,595,1
1815118469,13,7,11,491,595,1
1815118587,7,12,8,407,519,0
1815118587,7,12,8,407,519,0
1815119376,13,11,9,500,564,1
1815119376,13,11,9,500,564,1
1815121018,14,7,12,403,585,0
1815121018,14,7,12,403,585,0
1815121226,17,8,15,592,574,1
1815121226,17,8,15,592,574,1
1815122222,6,6,4,463,456,1
1815122222,6,6,4,463,456,1
1815099705,14,10,16,555,628,1
1815099705,14,10,16,555,628,1
1815099878,15,10,24,608,719,1
1815099878,15,10,24,608,719,1
1815105185,7,7,8,477,545,1
1815105185,7,7,8,477,545,1
1815105308,6,8,9,390,520,0
1815105308,6,8,9,390,520,0
1815105664,7,8,8,356,477,0
1815105664,7,8,8,356,477,0
1815105993,1,8,4,183,180,0
1815105993,1,8,4,183,180,0
1815106756,6,9,6,339,405,0
1815106756,6,9,6,339,405,0
1815106791,22,6,12,532,486,1
1815106791,22,6,12,532,486,1
1815108402,10,8,11,491,554,1
1815108402,10,8,11,491,554,1
1815108741,6,4,14,573,643,1
1815108741,6,4,14,573,643,1
1815109153,5,3,8,440,699,0
1815109153,5,3,8,440,699,0
1815109977,13,4,10,489,610,0
1815109977,13,4,10,489,610,0
1815110271,2,8,6,270,384,0
1815110271,2,8,6,270,384,0
1815111529,13,12,14,469,592,0
1815111529,13,12,14,469,592,0
1815112230,11,16,15,461,583,1
1815112230,11,16,15,461,583,1
1815112895,6,15,9,423,557,1
1815112895,6,15,9,423,557,1
1815113590,9,3,15,486,599,1
1815113590,9,3,15,486,599,1
1815113844,5,6,10,469,531,1
1815113844,5,6,10,469,531,1
1815115047,4,7,9,355,413,0
