@relation windrunner

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1,0}

@data
9,5,5,389,388,0
9,5,5,389,388,0
1,12,3,315,338,0
1,12,3,315,338,0
5,13,24,420,458,1
5,13,24,420,458,1
2,4,3,300,157,0
2,4,3,300,157,0
11,9,16,390,514,0
11,9,16,390,514,0
14,13,10,421,372,1
14,13,10,421,372,1
10,5,7,507,539,1
10,5,7,507,539,1
9,10,9,336,355,0
9,10,9,336,355,0
3,4,4,310,381,0
3,4,4,310,381,0
13,9,10,404,500,1
13,9,10,404,500,1
10,11,12,390,517,0
10,11,12,390,517,0
8,3,20,542,548,1
8,3,20,542,548,1
23,7,13,599,663,1
23,7,13,599,663,1
8,12,15,391,442,0
8,12,15,391,442,0
6,3,13,444,541,1
6,3,13,444,541,1
5,0,7,594,435,1
5,0,7,594,435,1
13,9,10,444,594,1
13,9,10,444,594,1
3,9,5,277,354,0
3,9,5,277,354,0
4,8,8,291,388,0
4,8,8,291,388,0
7,6,19,419,559,1
7,6,19,419,559,1
10,9,16,502,450,1
10,9,16,502,450,1
5,12,12,340,461,0
5,12,12,340,461,0
11,7,6,415,536,0
11,7,6,415,536,0
4,12,16,389,441,0
4,12,16,389,441,0
4,8,10,375,454,0
4,8,10,375,454,0
11,12,14,363,435,1
11,12,14,363,435,1
3,10,17,357,420,1
3,10,17,357,420,1
5,2,5,543,513,1
5,2,5,543,513,1
8,8,12,417,499,1
8,8,12,417,499,1
5,9,1,282,329,0
5,9,1,282,329,0
12,6,16,400,625,0
12,6,16,400,625,0
7,6,10,315,337,0
7,6,10,315,337,0
11,10,14,473,564,0
11,10,14,473,564,0
14,17,8,407,480,0
14,17,8,407,480,0
10,8,9,436,496,1
10,8,9,436,496,1
3,4,3,296,271,1
3,4,3,296,271,1
2,1,7,456,453,1
2,1,7,456,453,1
6,6,6,414,487,0
6,6,6,414,487,0
10,8,14,494,569,1
10,8,14,494,569,1
14,10,5,385,485,0
14,10,5,385,485,0
6,5,8,545,525,1
6,5,8,545,525,1
33,3,19,795,775,1
33,3,19,795,775,1
6,3,18,415,403,1
6,3,18,415,403,1
10,11,14,370,413,1
10,11,14,370,413,1
2,17,3,313,279,0
2,17,3,313,279,0
2,4,0,355,341,0
2,4,0,355,341,0
5,6,4,436,420,1
5,6,4,436,420,1
15,8,13,528,594,1
15,8,13,528,594,1
6,15,4,311,346,0
6,15,4,311,346,0
11,2,7,609,557,1
11,2,7,609,557,1
2,15,11,264,244,0
2,15,11,264,244,0
7,1,21,537,561,1
7,1,21,537,561,1
5,13,10,347,446,0
5,13,10,347,446,0
12,0,8,467,452,1
12,0,8,467,452,1
0,9,8,207,255,0
0,9,8,207,255,0
1,9,7,353,302,1
1,9,7,353,302,1
7,1,11,429,413,1
7,1,11,429,413,1
9,0,5,612,578,1
9,0,5,612,578,1
2,1,12,400,471,1
2,1,12,400,471,1
1,8,7,359,383,0
1,8,7,359,383,0
7,12,11,397,502,0
7,12,11,397,502,0
31,4,16,689,695,1
31,4,16,689,695,1
4,12,11,325,363,0
4,12,11,325,363,0
5,4,9,293,308,0
5,4,9,293,308,0
7,7,14,426,551,0
7,7,14,426,551,0
4,8,6,303,354,0
4,8,6,303,354,0
5,20,10,357,353,0
5,20,10,357,353,0
13,4,7,397,458,0
13,4,7,397,458,0
10,0,16,465,457,1
10,0,16,465,457,1
12,11,15,475,499,0
12,11,15,475,499,0
12,6,15,435,425,1
12,6,15,435,425,1
4,10,7,279,289,0
4,10,7,279,289,0
7,8,15,450,581,1
7,8,15,450,581,1
12,11,5,513,616,0
12,11,5,513,616,0
4,3,8,439,330,1
4,3,8,439,330,1
1,4,1,294,267,0
1,4,1,294,267,0
17,12,14,498,542,1
17,12,14,498,542,1
9,13,9,374,461,0
9,13,9,374,461,0
5,8,6,443,416,1
5,8,6,443,416,1
5,7,9,306,328,0
5,7,9,306,328,0
3,3,1,327,345,0
3,3,1,327,345,0
6,3,14,493,624,1
6,3,14,493,624,1
12,4,11,566,644,1
