id,k,d,a,gpm,xpm,win
1815098954,9,5,5,389,388,0
1815098954,9,5,5,389,388,0
1815099214,1,12,3,315,338,0
1815099214,1,12,3,315,338,0
1815099663,5,13,24,420,458,1
1815099663,5,13,24,420,458,1
1815100053,2,4,3,300,157,0
1815100053,2,4,3,300,157,0
1815100081,11,9,16,390,514,0
1815100081,11,9,16,390,514,0
1815100126,14,13,10,421,372,1
1815100126,14,13,10,421,372,1
1815100620,10,5,7,507,539,1
1815100620,10,5,7,507,539,1
1815100727,9,10,9,336,355,0
1815100727,9,10,9,336,355,0
1815100758,3,4,4,310,381,0
1815100758,3,4,4,310,381,0
1815100763,13,9,10,404,500,1
1815100763,13,9,10,404,500,1
1815100781,10,11,12,390,517,0
1815100781,10,11,12,390,517,0
1815105337,8,3,20,542,548,1
1815105337,8,3,20,542,548,1
1815105470,23,7,13,599,663,1
1815105470,23,7,13,599,663,1
1815105631,8,12,15,391,442,0
1815105631,8,12,15,391,442,0
1815105721,6,3,13,444,541,1
1815105721,6,3,13,444,541,1
1815105974,5,0,7,594,435,1
1815105974,5,0,7,594,435,1
1815106211,13,9,10,444,594,1
1815106211,13,9,10,444,594,1
1815106287,3,9,5,277,354,0
1815106287,3,9,5,277,354,0
1815106491,4,8,8,291,388,0
1815106491,4,8,8,291,388,0
1815106653,7,6,19,419,559,1
1815106653,7,6,19,419,559,1
1815106732,10,9,16,502,450,1
1815106732,10,9,16,502,450,1
1815106805,5,12,12,340,461,0
1815106805,5,12,12,340,461,0
1815106976,11,7,6,415,536,0
1815106976,11,7,6,415,536,0
1815107293,4,12,16,389,441,0
1815107293,4,12,16,389,441,0
1815107439,4,8,10,375,454,0
1815107439,4,8,10,375,454,0
1815107796,11,12,14,363,435,1
1815107796,11,12,14,363,435,1
1815108053,3,10,17,357,420,1
1815108053,3,10,17,357,420,1
1815108190,5,2,5,543,513,1
1815108190,5,2,5,543,513,1
1815108232,8,8,12,417,499,1
1815108232,8,8,12,417,499,1
1815108872,5,9,1,282,329,0
1815108872,5,9,1,282,329,0
1815109047,12,6,16,400,625,0
1815109047,12,6,16,400,625,0
1815109133,7,6,10,315,337,0
1815109133,7,6,10,315,337,0
1815109238,11,10,14,473,564,0
1815109238,11,10,14,473,564,0
1815109300,14,17,8,407,480,0
1815109300,14,17,8,407,480,0
1815109435,10,8,9,436,496,1
1815109435,10,8,9,436,496,1
1815109442,3,4,3,296,271,1
1815109442,3,4,3,296,271,1
1815109596,2,1,7,456,453,1
1815109596,2,1,7,456,453,1
1815109632,6,6,6,414,487,0
1815109632,6,6,6,414,487,0
1815109752,10,8,14,494,569,1
1815109752,10,8,14,494,569,1
1815109854,14,10,5,385,485,0
1815109854,14,10,5,385,485,0
1815109872,6,5,8,545,525,1
1815109872,6,5,8,545,525,1
1815109885,33,3,19,795,775,1
1815109885,33,3,19,795,775,1
1815110202,6,3,18,415,403,1
1815110202,6,3,18,415,403,1
1815110248,10,11,14,370,413,1
1815110248,10,11,14,370,413,1
1815110437,2,17,3,313,279,0
1815110437,2,17,3,313,279,0
1815111093,2,4,0,355,341,0
1815111093,2,4,0,355,341,0
1815111198,5,6,4,436,420,1
1815111198,5,6,4,436,420,1
1815111331,15,8,13,528,594,1
1815111331,15,8,13,528,594,1
1815111609,6,15,4,311,346,0
1815111609,6,15,4,311,346,0
1815111850,11,2,7,609,557,1
1815111850,11,2,7,609,557,1
1815111923,2,15,11,264,244,0
1815111923,2,15,11,264,244,0
1815111993,7,1,21,537,561,1
1815111993,7,1,21,537,561,1
1815112505,5,13,10,347,446,0
1815112505,5,13,10,347,446,0
1815112562,12,0,8,467,452,1
1815112562,12,0,8,467,452,1
1815113151,0,9,8,207,255,0
1815113151,0,9,8,207,255,0
1815113363,1,9,7,353,302,1
1815113363,1,9,7,353,302,1
1815113791,7,1,11,429,413,1
1815113791,7,1,11,429,413,1
1815114012,9,0,5,612,578,1
1815114012,9,0,5,612,578,1
1815114035,2,1,12,400,471,1
1815114035,2,1,12,400,471,1
1815114091,1,8,7,359,383,0
1815114091,1,8,7,359,383,0
1815114812,7,12,11,397,502,0
1815114812,7,12,11,397,502,0
1815114909,31,4,16,689,695,1
1815114909,31,4,16,689,695,1
1815115229,4,12,11,325,363,0
1815115229,4,12,11,325,363,0
1815115364,5,4,9,293,308,0
1815115364,5,4,9,293,308,0
1815115412,7,7,14,426,551,0
1815115412,7,7,14,426,551,0
1815115828,4,8,6,303,354,0
1815115828,4,8,6,303,354,0
1815116224,5,20,10,357,353,0
1815116224,5,20,10,357,353,0
1815116249,13,4,7,397,458,0
1815116249,13,4,7,397,458,0
1815116460,10,0,16,465,457,1
1815116460,10,0,16,465,457,1
1815116508,12,11,15,475,499,0
1815116508,12,11,15,475,499,0
1815117139,12,6,15,435,425,1
1815117139,12,6,15,435,425,1
1815117237,4,10,7,279,289,0
1815117237,4,10,7,279,289,0
1815117316,7,8,15,450,581,1
1815117316,7,8,15,450,581,1
1815117845,12,11,5,513,616,0
1815117845,12,11,5,513,616,0
1815117969,4,3,8,439,330,1
1815117969,4,3,8,439,330,1
1815118075,1,4,1,294,267,0
1815118075,1,4,1,294,267,0
1815118126,17,12,14,498,542,1
1815118126,17,12,14,498,542,1
1815118155,9,13,9,374,461,0
1815118155,9,13,9,374,461,0
1815118309,5,8,6,443,416,1
1815118309,5,8,6,443,416,1
1815118441,5,7,9,306,328,0
1815118441,5,7,9,306,328,0
1815118466,3,3,1,327,345,0
1815118466,3,3,1,327,345,0
1815118469,6,3,14,493,624,1
1815118469,6,3,14,493,624,1
1815118639,12,4,11,566,644,1
1815118639,12,4,11,566,644,1
1815118822,11,5,7,564,551,1
1815118822,11,5,7,564,551,1
1815118857,21,10,13,580,719,1
1815118857,21,10,13,580,719,1
1815119362,2,9,8,313,324,0
1815119362,2,9,8,313,324,0
1815119466,7,4,10,411,468,0
1815119466,7,4,10,411,468,0
1815119958,11,8,10,420,486,1
1815119958,11,8,10,420,486,1
1815120947,5,8,4,351,416,0
1815120947,5,8,4,351,416,0
1815121196,2,7,9,305,353,0
1815121196,2,7,9,305,353,0
1815121226,10,14,17,480,580,1
1815121226,10,14,17,480,580,1
1815121433,6,1,7,348,414,0
1815121433,6,1,7,348,414,0
1815121900,7,6,11,445,550,1
1815121900,7,6,11,445,550,1
1815122414,6,5,6,380,389,0
1815122414,6,5,6,380,389,0
1815122517,9,10,20,421,597,0
1815122517,9,10,20,421,597,0
1815122718,14,7,15,445,578,0
1815122718,14,7,15,445,578,0
1815122758,8,10,12,418,556,1
1815122758,8,10,12,418,556,1
1815123009,7,5,10,338,449,1
1815123009,7,5,10,338,449,1
1815123124,7,6,13,352,499,0
1815123124,7,6,13,352,499,0
1815123167,11,2,15,444,522,1
1815123167,11,2,15,444,522,1
1815123211,16,8,10,435,481,1
1815123211,16,8,10,435,481,1
1815098910,4,10,12,386,483,0
1815098910,4,10,12,386,483,0
1815099190,2,9,0,310,297,0
1815099190,2,9,0,310,297,0
1815099284,4,10,6,268,317,0
1815099284,4,10,6,268,317,0
1815099373,4,7,4,294,211,0
1815099373,4,7,4,294,211,0
1815099451,6,2,8,357,417,0
1815099451,6,2,8,357,417,0
1815099596,14,14,12,465,652,0
1815099596,14,14,12,465,652,0
1815099705,19,12,9,479,630,0
1815099705,19,12,9,479,630,0
1815099730,6,15,4,309,380,0
1815099730,6,15,4,309,380,0
1815099948,25,16,16,462,571,1
1815099948,25,16,16,462,571,1
1815099970,6,9,6,263,246,0
1815099970,6,9,6,263,246,0
1815100348,11,7,10,489,596,1
1815100348,11,7,10,489,596,1
1815100365,5,10,15,336,367,1
1815100365,5,10,15,336,367,1
1815100460,11,8,14,505,644,1
1815100460,11,8,14,505,644,1
1815100532,1,10,13,348,372,0
1815100532,1,10,13,348,372,0
1815100556,9,8,9,327,366,0
1815100556,9,8,9,327,366,0
1815100569,14,5,12,446,545,1
1815100569,14,5,12,446,545,1
1815100570,11,6,15,496,520,1
1815100570,11,6,15,496,520,1
1815100572,10,5,10,447,450,1
1815100572,10,5,10,447,450,1
1815100590,2,8,11,335,414,0
1815100590,2,8,11,335,414,0
1815100680,3,3,4,469,467,1
1815100680,3,3,4,469,467,1
1815100701,10,7,10,440,601,1
1815100701,10,7,10,440,601,1
1815100822,9,2,8,529,484,1
1815100822,9,2,8,529,484,1
1815100838,7,10,7,318,401,0
1815100838,7,10,7,318,401,0
1815105308,22,4,18,546,650,1
1815105308,22,4,18,546,650,1
1815105531,9,14,7,411,476,0
1815105531,9,14,7,411,476,0
1815105863,12,10,15,435,468,1
1815105863,12,10,15,435,468,1
1815105973,9,7,12,376,450,0
1815105973,9,7,12,376,450,0
1815106091,4,7,8,428,485,1
1815106091,4,7,8,428,485,1
1815106213,23,8,12,497,570,0
1815106213,23,8,12,497,570,0
1815106240,4,7,5,370,362,0
1815106240,4,7,5,370,362,0
1815106550,3,5,8,417,332,1
1815106550,3,5,8,417,332,1
1815106739,3,8,6,351,400,0
