id,k,d,a,gpm,xpm,win
1815098954,5,2,14,419,462,1
1815098954,5,2,14,419,462,1
1815105337,0,2,1,122,6,0
1815105337,0,2,1,122,6,0
1815105721,2,6,15,262,387,0
1815105721,2,6,15,262,387,0
1815105974,2,0,8,382,207,1
1815105974,2,0,8,382,207,1
1815106491,3,5,5,253,324,0
1815106491,3,5,5,253,324,0
1815106805,3,4,17,311,375,1
1815106805,3,4,17,311,375,1
1815107439,4,3,12,369,351,1
1815107439,4,3,12,369,351,1
1815108454,1,4,19,285,327,1
1815108454,1,4,19,285,327,1
1815108505,0,12,11,203,235,0
1815108505,0,12,11,203,235,0
1815110072,3,14,14,252,315,0
1815110072,3,14,14,252,315,0
1815110311,1,11,14,322,375,1
1815110311,1,11,14,322,375,1
1815110721,3,1,20,313,449,1
1815110721,3,1,20,313,449,1
1815111198,1,8,9,357,374,1
1815111198,1,8,9,357,374,1
1815111940,5,5,14,423,533,0
1815111940,5,5,14,423,533,0
1815112562,2,9,4,215,215,0
1815112562,2,9,4,215,215,0
1815112587,10,2,14,399,400,1
1815112587,10,2,14,399,400,1
1815113471,9,7,18,327,436,1
1815113471,9,7,18,327,436,1
1815114197,4,8,8,376,424,1
1815114197,4,8,8,376,424,1
1815117237,3,7,10,219,249,0
1815117237,3,7,10,219,249,0
1815118124,4,11,16,369,496,0
1815118124,4,11,16,369,496,0
1815119031,1,9,16,320,429,1
1815119031,1,9,16,320,429,1
1815120130,1,9,0,210,166,0
1815120130,1,9,0,210,166,0
1815120516,6,3,12,488,457,1
1815120516,6,3,12,488,457,1
1815121797,1,5,17,266,306,1
1815121797,1,5,17,266,306,1
1815121900,9,10,8,379,423,1
1815121900,9,10,8,379,423,1
1815122280,0,12,5,211,260,0
1815122280,0,12,5,211,260,0
1815123130,6,5,11,351,425,0
1815123130,6,5,11,351,425,0
1815123167,8,6,12,379,359,1
1815123167,8,6,12,379,359,1
1815098739,2,8,8,281,270,1
1815098739,2,8,8,281,270,1
1815099731,6,9,16,360,354,1
1815099731,6,9,16,360,354,1
1815099970,5,11,9,294,399,0
1815099970,5,11,9,294,399,0
1815100460,4,12,6,261,358,0
1815100460,4,12,6,261,358,0
1815100532,3,14,11,277,247,0
1815100532,3,14,11,277,247,0
1815100680,5,4,11,369,457,0
1815100680,5,4,11,369,457,0
1815105308,6,10,9,343,457,0
1815105308,6,10,9,343,457,0
1815106675,2,8,8,229,279,0
1815106675,2,8,8,229,279,0
1815106854,7,10,18,337,411,0
1815106854,7,10,18,337,411,0
1815106983,2,14,17,237,302,0
1815106983,2,14,17,237,302,0
1815107985,0,2,1,144,55,0
1815107985,0,2,1,144,55,0
1815108129,1,9,9,208,220,0
1815108129,1,9,9,208,220,0
1815110104,1,8,6,190,196,0
1815110104,1,8,6,190,196,0
1815110216,1,7,1,196,211,0
1815110216,1,7,1,196,211,0
1815110502,2,11,10,261,300,0
1815110502,2,11,10,261,300,0
1815111673,0,12,2,196,136,0
1815111673,0,12,2,196,136,0
1815112366,3,12,20,342,468,0
1815112366,3,12,20,342,468,0
1815113399,2,12,3,199,199,0
1815113399,2,12,3,199,199,0
1815113529,3,16,12,307,427,0
1815113529,3,16,12,307,427,0
1815114011,6,10,11,414,479,0
1815114011,6,10,11,414,479,0
1815114040,2,2,16,385,410,1
1815114040,2,2,16,385,410,1
1815114295,0,7,2,205,226,0
1815114295,0,7,2,205,226,0
1815114390,5,10,15,343,377,0
1815114390,5,10,15,343,377,0
1815115585,1,9,1,242,281,0
1815115585,1,9,1,242,281,0
1815117689,5,11,13,280,329,0
1815117689,5,11,13,280,329,0
