id,k,d,a,gpm,xpm,win
1815105760,3,10,10,194,242,0
1815105760,3,10,10,194,242,0
1815106122,3,12,9,207,203,0
1815106122,3,12,9,207,203,0
1815106805,3,8,24,285,331,1
1815106805,3,8,24,285,331,1
1815109300,3,22,21,287,418,1
1815109300,3,22,21,287,418,1
1815109421,5,11,8,257,251,0
1815109421,5,11,8,257,251,0
1815109435,3,4,26,313,465,1
1815109435,3,4,26,313,465,1
1815109717,4,10,13,321,497,0
1815109717,4,10,13,321,497,0
1815114732,4,7,13,324,215,1
1815114732,4,7,13,324,215,1
1815116088,1,3,5,244,207,1
1815116088,1,3,5,244,207,1
1815118075,3,12,9,379,332,0
1815118075,3,12,9,379,332,0
1815118138,8,9,16,337,518,1
1815118138,8,9,16,337,518,1
1815118469,1,9,9,188,170,0
1815118469,1,9,9,188,170,0
1815118857,2,12,10,220,256,0
1815118857,2,12,10,220,256,0
1815119152,3,7,6,271,246,1
1815119152,3,7,6,271,246,1
1815120684,0,19,7,188,218,0
1815120684,0,19,7,188,218,0
1815122961,10,15,23,291,378,0
1815122961,10,15,23,291,378,0
1815106912,1,8,2,200,188,0
1815106912,1,8,2,200,188,0
1815107392,3,19,19,299,359,1
1815107392,3,19,19,299,359,1
1815112622,2,10,12,192,227,0
1815112622,2,10,12,192,227,0
1815117764,6,6,7,234,155,0
1815117764,6,6,7,234,155,0
1815121093,1,11,6,191,208,0
1815121093,1,11,6,191,208,0
1815121314,1,2,5,312,264,1
1815121314,1,2,5,312,264,1
1815122851,0,12,6,236,219,0
1815122851,0,12,6,236,219,0
1815098664,0,12,11,232,308,1
1815098664,0,12,11,232,308,1
1815099034,3,13,6,200,226,0
1815099034,3,13,6,200,226,0
1815099137,0,1,0,128,108,0
1815099137,0,1,0,128,108,0
1815099257,7,10,10,395,312,1
1815099257,7,10,10,395,312,1
1815099814,2,5,16,288,361,1
1815099814,2,5,16,288,361,1
1815099897,1,18,18,229,319,0
1815099897,1,18,18,229,319,0
1815105413,1,15,3,180,201,0
1815105413,1,15,3,180,201,0
1815105642,1,12,4,183,104,1
1815105642,1,12,4,183,104,1
1815105666,1,11,6,257,269,0
1815105666,1,11,6,257,269,0
1815105667,7,12,16,300,371,0
1815105667,7,12,16,300,371,0
1815106082,2,3,20,381,529,1
1815106082,2,3,20,381,529,1
1815106603,1,10,11,236,264,1
1815106603,1,10,11,236,264,1
1815106621,0,18,4,213,245,0
1815106621,0,18,4,213,245,0
1815106630,1,9,6,259,284,0
1815106630,1,9,6,259,284,0
1815106683,0,14,5,172,162,0
1815106683,0,14,5,172,162,0
