id,k,d,a,gpm,xpm,win
1815099098,9,5,10,367,341,1
1815099098,9,5,10,367,341,1
1815099196,11,8,23,294,465,0
1815099196,11,8,23,294,465,0
1815099515,4,4,11,326,365,1
1815099515,4,4,11,326,365,1
1815099663,6,10,25,317,365,1
1815099663,6,10,25,317,365,1
1815100576,0,0,1,340,148,1
1815100576,0,0,1,340,148,1
1815100620,3,8,6,207,210,0
1815100620,3,8,6,207,210,0
1815100781,4,16,12,192,224,0
1815100781,4,16,12,192,224,0
1815105368,9,9,13,414,455,1
1815105368,9,9,13,414,455,1
1815105631,12,14,13,360,396,0
1815105631,12,14,13,360,396,0
1815106122,6,7,20,340,461,1
1815106122,6,7,20,340,461,1
1815106616,10,4,14,391,447,1
1815106616,10,4,14,391,447,1
1815107537,3,7,6,240,269,0
1815107537,3,7,6,240,269,0
1815107904,14,10,24,417,477,1
1815107904,14,10,24,417,477,1
1815109421,6,3,15,399,463,1
1815109421,6,3,15,399,463,1
1815109957,0,20,9,165,175,0
1815109957,0,20,9,165,175,0
1815110248,10,8,23,381,524,1
1815110248,10,8,23,381,524,1
1815111331,11,12,10,368,448,0
1815111331,11,12,10,368,448,0
1815112505,6,15,13,253,225,0
1815112505,6,15,13,253,225,0
1815113151,5,6,12,398,414,1
1815113151,5,6,12,398,414,1
1815113474,5,12,10,248,246,0
1815113474,5,12,10,248,246,0
1815113773,1,13,7,181,195,0
1815113773,1,13,7,181,195,0
1815114197,5,12,9,219,269,0
1815114197,5,12,9,219,269,0
1815114640,3,5,2,217,229,0
1815114640,3,5,2,217,229,0
1815114848,1,8,9,205,207,0
1815114848,1,8,9,205,207,0
1815115828,3,8,4,240,247,0
1815115828,3,8,4,240,247,0
1815115931,4,8,9,376,369,1
1815115931,4,8,9,376,369,1
1815116993,3,8,9,290,321,0
1815116993,3,8,9,290,321,0
1815117362,6,14,12,283,325,0
1815117362,6,14,12,283,325,0
1815117882,3,6,9,306,279,1
1815117882,3,6,9,306,279,1
1815117979,8,5,8,372,462,1
1815117979,8,5,8,372,462,1
1815119031,6,10,17,339,418,0
1815119031,6,10,17,339,418,0
1815119376,4,6,10,346,398,1
1815119376,4,6,10,346,398,1
1815119466,7,7,7,302,316,0
1815119466,7,7,7,302,316,0
1815120417,10,11,20,372,532,0
1815120417,10,11,20,372,532,0
1815120653,4,5,3,275,237,0
1815120653,4,5,3,275,237,0
1815121135,4,3,7,314,356,1
1815121135,4,3,7,314,356,1
1815121226,15,13,16,375,431,1
1815121226,15,13,16,375,431,1
1815121341,16,14,30,375,440,0
1815121341,16,14,30,375,440,0
1815121496,9,4,12,337,395,1
1815121496,9,4,12,337,395,1
1815122718,16,10,15,388,426,1
1815122718,16,10,15,388,426,1
1815123124,16,13,16,451,556,1
1815123124,16,13,16,451,556,1
1815123211,15,11,14,350,412,0
1815123211,15,11,14,350,412,0
1815099190,5,4,11,348,332,1
1815099190,5,4,11,348,332,1
1815099284,3,8,4,253,245,0
1815099284,3,8,4,253,245,0
1815100023,3,8,8,237,226,0
1815100023,3,8,8,237,226,0
1815100569,4,11,10,265,263,1
1815100569,4,11,10,265,263,1
1815100775,1,1,13,330,301,1
1815100775,1,1,13,330,301,1
1815100822,0,9,3,178,180,0
1815100822,0,9,3,178,180,0
1815100838,8,2,19,371,471,1
1815100838,8,2,19,371,471,1
1815105209,5,7,6,243,261,0
1815105209,5,7,6,243,261,0
1815105643,4,7,26,297,400,1
1815105643,4,7,26,297,400,1
1815105849,15,17,13,342,395,1
1815105849,15,17,13,342,395,1
1815105973,8,7,18,331,400,1
1815105973,8,7,18,331,400,1
1815106494,7,13,16,330,343,1
1815106494,7,13,16,330,343,1
1815106675,11,11,8,331,373,0
1815106675,11,11,8,331,373,0
1815106780,8,3,16,446,370,1
1815106780,8,3,16,446,370,1
1815106975,2,5,11,305,298,1
1815106975,2,5,11,305,298,1
1815107061,6,10,10,281,303,0
1815107061,6,10,10,281,303,0
1815107358,1,13,3,167,108,0
1815107358,1,13,3,167,108,0
1815107956,10,10,6,361,346,1
1815107956,10,10,6,361,346,1
1815108085,0,5,2,132,104,0
1815108085,0,5,2,132,104,0
1815108591,4,12,5,240,216,0
1815108591,4,12,5,240,216,0
1815108977,2,11,7,221,282,0
1815108977,2,11,7,221,282,0
1815109048,6,17,12,255,278,0
1815109048,6,17,12,255,278,0
1815109592,3,16,8,246,203,0
1815109592,3,16,8,246,203,0
1815111011,5,11,5,252,260,0
1815111011,5,11,5,252,260,0
1815111253,5,14,9,321,367,0
1815111253,5,14,9,321,367,0
1815111529,4,11,19,329,395,1
1815111529,4,11,19,329,395,1
1815111642,7,11,13,289,350,0
1815111642,7,11,13,289,350,0
1815112992,6,4,9,332,280,1
1815112992,6,4,9,332,280,1
1815113529,6,11,19,344,374,1
1815113529,6,11,19,344,374,1
1815113531,12,10,25,358,474,0
1815113531,12,10,25,358,474,0
1815113619,10,7,16,392,447,1
1815113619,10,7,16,392,447,1
1815113976,20,2,19,564,694,1
1815113976,20,2,19,564,694,1
1815114023,6,11,4,270,197,0
1815114023,6,11,4,270,197,0
1815114171,9,5,22,418,459,1
1815114171,9,5,22,418,459,1
1815114631,3,10,13,312,233,1
1815114631,3,10,13,312,233,1
1815115545,7,1,7,558,386,1
1815115545,7,1,7,558,386,1
1815115795,3,5,2,192,185,0
1815115795,3,5,2,192,185,0
1815116450,7,9,30,342,502,0
1815116450,7,9,30,342,502,0
1815116894,9,14,20,416,425,1
1815116894,9,14,20,416,425,1
1815117217,7,1,28,449,537,1
1815117217,7,1,28,449,537,1
1815117258,2,12,17,320,341,1
1815117258,2,12,17,320,341,1
1815117659,6,4,22,374,357,1
1815117659,6,4,22,374,357,1
1815117791,7,7,16,337,400,1
1815117791,7,7,16,337,400,1
1815118407,6,10,12,268,346,0
1815118407,6,10,12,268,346,0
1815119203,3,5,21,315,284,1
1815119203,3,5,21,315,284,1
1815119227,6,12,13,273,323,1
1815119227,6,12,13,273,323,1
1815119300,7,13,11,205,269,0
1815119300,7,13,11,205,269,0
1815119600,8,5,19,433,414,1
1815119600,8,5,19,433,414,1
1815119636,4,16,22,354,378,1
1815119636,4,16,22,354,378,1
1815119637,11,2,33,438,537,1
1815119637,11,2,33,438,537,1
1815119696,3,5,11,188,201,0
1815119696,3,5,11,188,201,0
1815120161,15,14,15,307,419,0
1815120161,15,14,15,307,419,0
1815120237,1,13,3,181,156,0
1815120237,1,13,3,181,156,0
1815120303,0,3,3,203,194,0
1815120303,0,3,3,203,194,0
1815120325,4,6,9,338,368,1
1815120325,4,6,9,338,368,1
1815121371,0,17,10,170,138,0
1815121371,0,17,10,170,138,0
1815121539,3,8,16,253,325,0
1815121539,3,8,16,253,325,0
1815122801,0,7,4,196,188,0
1815122801,0,7,4,196,188,0
1815122837,4,14,13,259,241,1
1815122837,4,14,13,259,241,1
1815098728,1,0,2,316,204,1
1815098728,1,0,2,316,204,1
1815098746,17,2,26,462,634,1
1815098746,17,2,26,462,634,1
1815098809,6,13,14,361,346,1
1815098809,6,13,14,361,346,1
1815099005,21,7,11,469,596,1
1815099005,21,7,11,469,596,1
1815099033,8,2,17,455,427,1
1815099033,8,2,17,455,427,1
1815099150,7,4,21,305,452,1
1815099150,7,4,21,305,452,1
1815099427,5,16,6,246,219,0
1815099427,5,16,6,246,219,0
1815099589,3,12,9,263,319,0
1815099589,3,12,9,263,319,0
1815099815,18,11,28,468,492,1
1815099815,18,11,28,468,492,1
1815099862,8,16,20,373,467,0
1815099862,8,16,20,373,467,0
1815099881,9,6,14,330,366,1
1815099881,9,6,14,330,366,1
1815099971,2,15,9,210,224,0
1815099971,2,15,9,210,224,0
1815100185,14,11,21,433,592,1
1815100185,14,11,21,433,592,1
1815100543,7,9,11,282,307,1
1815100543,7,9,11,282,307,1
1815100571,14,9,29,415,550,0
1815100571,14,9,29,415,550,0
1815100711,14,7,15,443,490,1
1815100711,14,7,15,443,490,1
1815100722,9,5,16,446,499,1
1815100722,9,5,16,446,499,1
1815100751,12,2,20,554,787,1
1815100751,12,2,20,554,787,1
1815100796,8,15,12,333,350,0
1815100796,8,15,12,333,350,0
1815105186,8,7,12,326,346,1
1815105186,8,7,12,326,346,1
1815105215,5,7,10,290,303,0
1815105215,5,7,10,290,303,0
1815105280,2,12,1,222,241,0
1815105280,2,12,1,222,241,0
1815105369,4,8,7,280,263,0
